#Annotated with Bakta v1.5.0, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1270	1647	+	VFAGAHAV_00010	14.5	10.2	PF03946.17|Ribosomal_L11_N	PFAM:PF03946.17
contig_1	1640	2236	+	VFAGAHAV_00015	23.8	10.2		
contig_1	2233	2646	+	VFAGAHAV_00020	16.9	10.2		
contig_1	2624	2968	+	VFAGAHAV_00025	13.3	9.7	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
contig_1	2962	6813	+	VFAGAHAV_00030	151.8	10.0	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
contig_1	6810	10694	+	VFAGAHAV_00035	151.4	10.0	PF00623.23|RNA_pol_Rpb1_2, PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5	PFAM:PF00623.23, PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20
contig_1	13542	13838	+	VFAGAHAV_00055	11.8	10.1	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
contig_1	14294	14707	+	VFAGAHAV_00065	16.8	10.1		
contig_1	14685	15371	-	VFAGAHAV_00070	28.0	10.3	PF00398.23|RrnaAD	PFAM:PF00398.23
contig_1	15347	16444	-	VFAGAHAV_00075	43.7	10.2		
contig_1	16441	16830	-	VFAGAHAV_00080	15.3	10.3		
contig_1	16827	17120	-	VFAGAHAV_00085	11.7	10.5		
contig_1	17117	17902	-	VFAGAHAV_00090	31.7	10.2		
contig_1	17889	18551	-	VFAGAHAV_00095	26.5	10.0		
contig_1	18551	20020	-	VFAGAHAV_00100	58.3	10.0	PF10662.12|PduV-EutP	PFAM:PF10662.12
contig_1	20108	20953	+	VFAGAHAV_00110	34.1	10.3	PF13793.9|Pribosyltran_N	PFAM:PF13793.9
contig_1	20946	21422	+	VFAGAHAV_00115	19.2	10.2		
contig_1	21417	22163	-	VFAGAHAV_00120	29.1	10.2	PF01564.20|Spermine_synth, PF05175.17|MTS, PF13847.9|Methyltransf_31	PFAM:PF01564.20, PFAM:PF05175.17, PFAM:PF13847.9
contig_1	22243	23346	+	VFAGAHAV_00125	43.1	10.2	PF00266.22|Aminotran_5, PF01212.24|Beta_elim_lyase	PFAM:PF00266.22, PFAM:PF01212.24
contig_1	23332	24651	-	VFAGAHAV_00130	52.4	10.1	PF00152.23|tRNA-synt_2, PF01336.28|tRNA_anti-codon	PFAM:PF00152.23, PFAM:PF01336.28
contig_1	24629	25324	-	VFAGAHAV_00135	27.7	10.2	PF03462.21|PCRF	PFAM:PF03462.21
contig_1	25314	26186	-	VFAGAHAV_00140	33.5	10.3	PF00701.25|DHDPS	PFAM:PF00701.25
contig_1	28465	30762	-	VFAGAHAV_00150	93.6	10.1	PF08264.16|Anticodon_1	PFAM:PF08264.16
contig_1	30759	30896	-	VFAGAHAV_00155	5.5	10.4		
contig_1	30889	31071	-	VFAGAHAV_00160	7.4	10.6		
contig_1	31087	33303	+	VFAGAHAV_00165	88.9	10.1	PF01717.21|Meth_synt_2, PF08267.15|Meth_synt_1	PFAM:PF01717.21, PFAM:PF08267.15
contig_1	33516	34268	+	VFAGAHAV_00170	31.1	10.3		
contig_1	34265	35431	+	VFAGAHAV_00175	45.6	10.2	PF01053.23|Cys_Met_Meta_PP	PFAM:PF01053.23
contig_1	36270	36992	-	VFAGAHAV_00185	29.3	10.1	PF00218.24|IGPS	PFAM:PF00218.24
contig_1	36964	37869	-	VFAGAHAV_00190	35.1	10.1		
contig_1	37862	38434	-	VFAGAHAV_00195	22.7	10.1	PF00117.31|GATase	PFAM:PF00117.31
contig_1	38431	39672	-	VFAGAHAV_00200	49.7	10.1		
contig_1	39657	41051	-	VFAGAHAV_00205	54.2	10.0	PF00206.23|Lyase_1, PF14698.9|ASL_C2	PFAM:PF00206.23, PFAM:PF14698.9
contig_1	41291	42238	-	VFAGAHAV_00210	38.0	10.2	PF00749.24|tRNA-synt_1c	PFAM:PF00749.24
contig_1	42201	43160	-	VFAGAHAV_00215	38.7	10.1		
contig_1	43213	44409	+	VFAGAHAV_00220	49.1	10.2		
contig_1	45874	48735	+	VFAGAHAV_00230	114.0	10.2	PF07733.15|DNA_pol3_alpha, PF14579.9|HHH_6, PF17657.4|DNA_pol3_finger	PFAM:PF07733.15, PFAM:PF14579.9, PFAM:PF17657.4
contig_1	49060	49803	+	VFAGAHAV_00245	30.4	10.3		
contig_1	49793	50815	+	VFAGAHAV_00250	39.8	10.2	PF01118.27|Semialdhyde_dh, PF02774.21|Semialdhyde_dhC	PFAM:PF01118.27, PFAM:PF02774.21
contig_1	50808	51365	+	VFAGAHAV_00255	21.8	10.0	PF00697.25|PRAI	PFAM:PF00697.25
contig_1	52506	53225	+	VFAGAHAV_00265	29.3	10.3	PF00290.23|Trp_syntA	PFAM:PF00290.23
contig_1	53191	53451	+	VFAGAHAV_00270	10.3	10.6		
contig_1	53417	53647	+	VFAGAHAV_00275	9.3	10.3		
contig_1	53967	54440	-	VFAGAHAV_00290	18.7	10.6		
contig_1	54474	55511	+	VFAGAHAV_00295	40.2	9.9	PF00117.31|GATase, PF00988.25|CPSase_sm_chain, PF07722.16|Peptidase_C26	PFAM:PF00117.31, PFAM:PF00988.25, PFAM:PF07722.16
contig_1	58565	59092	+	VFAGAHAV_00305	21.3	9.9		
contig_1	60809	61537	+	VFAGAHAV_00320	29.6	10.2		
contig_1	61538	62599	+	VFAGAHAV_00325	42.6	9.9	PF00004.32|AAA, PF13177.9|DNA_pol3_delta2	PFAM:PF00004.32, PFAM:PF13177.9
contig_1	62855	63448	+	VFAGAHAV_00340	23.4	10.1		
contig_1	63445	64692	+	VFAGAHAV_00345	47.4	10.1		
contig_1	64670	65596	+	VFAGAHAV_00350	37.4	10.2	PF00155.24|Aminotran_1_2	PFAM:PF00155.24
contig_1	66162	66764	+	VFAGAHAV_00360	23.5	10.0	PF00117.31|GATase	PFAM:PF00117.31
contig_1	66765	67451	+	VFAGAHAV_00365	26.8	10.4		
contig_1	70168	70623	-	VFAGAHAV_00395	17.9	10.2	PF05198.19|IF3_N	PFAM:PF05198.19
contig_1	72138	72476	+	VFAGAHAV_00415	13.4	10.5		
contig_1	72451	72945	-	VFAGAHAV_00420	19.8	10.0		
contig_1	72942	73838	-	VFAGAHAV_00425	37.0	10.1		
contig_1	73879	74961	+	VFAGAHAV_00430	43.0	10.1	PF00155.24|Aminotran_1_2	PFAM:PF00155.24
contig_1	74948	75769	+	VFAGAHAV_00435	31.5	10.3	PF00132.27|Hexapep, PF14602.9|Hexapep_2, PF14805.9|THDPS_N_2	PFAM:PF00132.27, PFAM:PF14602.9, PFAM:PF14805.9
contig_1	75738	76820	+	VFAGAHAV_00440	41.5	9.9	PF07687.17|M20_dimer	PFAM:PF07687.17
contig_1	76812	78134	-	VFAGAHAV_00445	52.0	10.2	PF14821.9|Thr_synth_N	PFAM:PF14821.9
contig_1	78131	79252	-	VFAGAHAV_00450	44.2	10.2	PF00742.22|Homoserine_dh	PFAM:PF00742.22
