gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	VFMEEALB	0	1185	f	0	1	Prodigal	002006
2	VFMEEALB	1221	1605	f	0	1	Prodigal	002006
3	VFMEEALB	1597	2029	f	0	1	Prodigal	002006
4	VFMEEALB	2009	2354	f	0	1	Prodigal	002006
5	VFMEEALB	2346	6132	f	0	1	Prodigal	002006
6	VFMEEALB	6128	9728	f	0	1	Prodigal	002006
7	VFMEEALB	9715	10096	f	0	1	Prodigal	002006
8	VFMEEALB	10076	10547	f	0	1	Prodigal	002006
9	VFMEEALB	10549	12586	f	0	1	Prodigal	002006
10	VFMEEALB	12582	12870	f	0	1	Prodigal	002006
11	VFMEEALB	12866	12971	f	0	1	Prodigal	002006
12	VFMEEALB	13479	13551	f	0	2	Aragorn	001002
13	VFMEEALB	13660	14149	r	0	1	Prodigal	002006
14	VFMEEALB	14138	15119	r	0	1	Prodigal	002006
15	VFMEEALB	15115	15511	r	0	1	Prodigal	002006
16	VFMEEALB	15504	15768	r	0	1	Prodigal	002006
17	VFMEEALB	15764	16490	r	0	1	Prodigal	002006
18	VFMEEALB	16486	17032	r	0	1	Prodigal	002006
19	VFMEEALB	17031	17364	r	0	1	Prodigal	002006
20	VFMEEALB	17364	17436	f	0	2	Aragorn	001002
21	VFMEEALB	18288	18735	f	0	1	Prodigal	002006
22	VFMEEALB	18711	19290	r	0	1	Prodigal	002006
23	VFMEEALB	19484	20456	f	0	1	Prodigal	002006
24	VFMEEALB	20452	21775	r	0	1	Prodigal	002006
25	VFMEEALB	21771	22410	r	0	1	Prodigal	002006
26	VFMEEALB	22397	23126	r	0	1	Prodigal	002006
27	VFMEEALB	23100	24048	r	0	1	Prodigal	002006
28	VFMEEALB	24032	24611	r	0	1	Prodigal	002006
29	VFMEEALB	24591	25833	r	0	1	Prodigal	002006
30	VFMEEALB	25814	27185	r	0	1	Prodigal	002006
31	VFMEEALB	27336	28587	r	0	1	Prodigal	002006
32	VFMEEALB	28583	29489	r	0	1	Prodigal	002006
33	VFMEEALB	29488	30286	r	0	1	Prodigal	002006
34	VFMEEALB	30407	31340	f	0	1	Prodigal	002006
35	VFMEEALB	31370	32639	f	0	1	Prodigal	002006
36	VFMEEALB	35668	35743	f	0	2	Aragorn	001002
37	VFMEEALB	35743	35834	f	1	2	Aragorn	001002
38	VFMEEALB	36624	37626	f	0	1	Prodigal	002006
39	VFMEEALB	37618	38185	f	0	1	Prodigal	002006
40	VFMEEALB	38171	39278	f	0	1	Prodigal	002006
41	VFMEEALB	39274	39922	f	0	1	Prodigal	002006
42	VFMEEALB	39908	40142	f	0	1	Prodigal	002006
43	VFMEEALB	40308	40382	r	1	2	Aragorn	001002
44	VFMEEALB	40511	40584	r	1	2	Aragorn	001002
45	VFMEEALB	40585	40656	r	1	2	Aragorn	001002
46	VFMEEALB	41445	42303	f	0	1	Prodigal	002006
47	VFMEEALB	42299	45395	f	0	1	Prodigal	002006
48	VFMEEALB	45391	45949	f	0	1	Prodigal	002006
49	VFMEEALB	47118	47193	f	0	2	Aragorn	001002
50	VFMEEALB	48605	48682	r	1	2	Aragorn	001002
51	VFMEEALB	48682	48766	r	0	2	Aragorn	001002
52	VFMEEALB	48767	48841	f	1	2	Aragorn	001002
53	VFMEEALB	49403	50636	f	0	1	Prodigal	002006
54	VFMEEALB	50625	51642	f	0	1	Prodigal	002006
55	VFMEEALB	51598	52132	f	0	1	Prodigal	002006
56	VFMEEALB	52125	52725	f	0	1	Prodigal	002006
57	VFMEEALB	52721	53444	f	0	1	Prodigal	002006
58	VFMEEALB	53433	54186	f	0	1	Prodigal	002006
59	VFMEEALB	54182	54473	f	0	1	Prodigal	002006
60	VFMEEALB	54712	54785	f	1	2	Aragorn	001002
61	VFMEEALB	54785	54858	f	1	2	Aragorn	001002
62	VFMEEALB	55685	55759	r	1	2	Aragorn	001002
63	VFMEEALB	56089	56518	r	0	1	Prodigal	002006
64	VFMEEALB	56518	57577	r	0	1	Prodigal	002006
65	VFMEEALB	57581	57652	r	1	2	Aragorn	001002
66	VFMEEALB	57654	57730	r	1	2	Aragorn	001002
67	VFMEEALB	57765	57839	f	1	2	Aragorn	001002
68	VFMEEALB	57839	58133	f	0	1	Prodigal	002006
69	VFMEEALB	58100	58556	r	0	1	Prodigal	002006
70	VFMEEALB	58555	58999	r	0	1	Prodigal	002006
71	VFMEEALB	58995	59490	r	0	1	Prodigal	002006
72	VFMEEALB	59509	60562	f	0	1	Prodigal	002006
73	VFMEEALB	60545	61340	f	0	1	Prodigal	002006
74	VFMEEALB	61333	62380	f	0	1	Prodigal	002006
75	VFMEEALB	62365	62548	r	0	1	Prodigal	002006
76	VFMEEALB	62528	63812	r	0	1	Prodigal	002006
77	VFMEEALB	63811	65068	r	0	1	Prodigal	002006
78	VFMEEALB	65067	65496	r	0	1	Prodigal	002006
79	VFMEEALB	65637	65709	r	0	2	Aragorn	001002
80	VFMEEALB	65708	65782	r	1	2	Aragorn	001002
81	VFMEEALB	66761	68030	f	0	1	Prodigal	002006
82	VFMEEALB	68026	69700	f	0	1	Prodigal	002006
83	VFMEEALB	69717	69996	f	0	1	Prodigal	002006
84	VFMEEALB	69992	71549	f	0	1	Prodigal	002006
85	VFMEEALB	71545	72820	f	0	1	Prodigal	002006
86	VFMEEALB	72795	73920	f	0	1	Prodigal	002006
87	VFMEEALB	73916	74948	r	0	1	Prodigal	002006
88	VFMEEALB	75044	75599	f	0	1	Prodigal	002006
89	VFMEEALB	75591	76560	r	0	1	Prodigal	002006
90	VFMEEALB	76560	78360	r	0	1	Prodigal	002006
91	VFMEEALB	78356	78851	r	0	1	Prodigal	002006
92	VFMEEALB	78851	79835	f	0	1	Prodigal	002006
93	VFMEEALB	79817	80783	r	0	1	Prodigal	002006
94	VFMEEALB	80761	81373	r	0	1	Prodigal	002006
95	VFMEEALB	81350	83354	r	0	1	Prodigal	002006
96	VFMEEALB	83350	83971	r	0	1	Prodigal	002006
97	VFMEEALB	83948	84557	r	0	1	Prodigal	002006
98	VFMEEALB	84663	85092	f	0	1	Prodigal	002006
99	VFMEEALB	85072	85327	r	0	1	Prodigal	002006
100	VFMEEALB	85296	85614	r	0	1	Prodigal	002006
101	VFMEEALB	85597	86275	r	0	1	Prodigal	002006
102	VFMEEALB	86281	86349	r	1	2	Aragorn	001002
103	VFMEEALB	87728	90409	r	1	2	barrnap	0.9
104	VFMEEALB	90427	90498	r	1	2	Aragorn	001002
105	VFMEEALB	90504	91964	r	1	2	barrnap	0.9
106	VFMEEALB	92039	92630	f	0	1	Prodigal	002006
107	VFMEEALB	92619	93177	f	0	1	Prodigal	002006
108	VFMEEALB	93173	93386	f	0	1	Prodigal	002006
