# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
VFTETIMP	tRNA	1179	1250	+	HENIPC_00005	trnW	tRNA-Trp(cca)	SO:0000271
VFTETIMP	cds	1258	1644	+	HENIPC_00010		hypothetical protein	
VFTETIMP	cds	1634	2275	+	HENIPC_00015		hypothetical protein	
VFTETIMP	cds	2268	2714	+	HENIPC_00020		hypothetical protein	
VFTETIMP	cds	2692	3051	+	HENIPC_00025		hypothetical protein	PFAM:PF00542.22
VFTETIMP	cds	3048	6938	+	HENIPC_00030		hypothetical protein	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04561.17, PFAM:PF04565.19
VFTETIMP	cds	6935	10840	+	HENIPC_00035		hypothetical protein	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20, PFAM:PF05000.20
VFTETIMP	cds	10837	11232	+	HENIPC_00040		hypothetical protein	
VFTETIMP	cds	11201	11674	+	HENIPC_00045		hypothetical protein	PFAM:PF00177.24
VFTETIMP	cds	11674	13728	+	HENIPC_00050		Elongation factor G 1	SO:0001217, UniRef:UniRef50_Q9KUZ7
VFTETIMP	cds	13716	14012	+	HENIPC_00055		hypothetical protein	PFAM:PF00338.25
VFTETIMP	tRNA	14428	14500	+	HENIPC_00060	trnF	tRNA-Phe(gaa)	SO:0000267
VFTETIMP	cds	14509	14847	+	HENIPC_00065		hypothetical protein	
VFTETIMP	cds	14840	15535	-	HENIPC_00070		hypothetical protein	PFAM:PF00398.23
VFTETIMP	cds	15532	16638	-	HENIPC_00075		hypothetical protein	
VFTETIMP	cds	16635	17018	-	HENIPC_00080		30S ribosomal protein S9	SO:0001217, UniRef:UniRef50_S5SQL1
VFTETIMP	cds	17024	17359	-	HENIPC_00085		hypothetical protein	
VFTETIMP	cds	17346	18149	-	HENIPC_00090		hypothetical protein	PFAM:PF01678.22
VFTETIMP	cds	18150	18785	-	HENIPC_00095		hypothetical protein	
VFTETIMP	cds	18775	20322	-	HENIPC_00100		hypothetical protein	PFAM:PF00009.30, PFAM:PF10662.12
VFTETIMP	tRNA	20356	20427	+	HENIPC_00105	trnQ	tRNA-Gln(ttg)	SO:0000261
VFTETIMP	cds	21312	21812	+	HENIPC_00110		hypothetical protein	
VFTETIMP	cds	21809	22369	-	HENIPC_00115		hypothetical protein	PFAM:PF01564.20, PFAM:PF05175.17, PFAM:PF08241.15, PFAM:PF13649.9, PFAM:PF13847.9
VFTETIMP	cds	22455	23582	+	HENIPC_00120		hypothetical protein	PFAM:PF00266.22
VFTETIMP	cds	23586	24884	-	HENIPC_00125		hypothetical protein	PFAM:PF00152.23, PFAM:PF01409.23
VFTETIMP	cds	24891	25589	-	HENIPC_00130		hypothetical protein	PFAM:PF03462.21
VFTETIMP	cds	25567	26475	-	HENIPC_00135		hypothetical protein	PFAM:PF00701.25
VFTETIMP	tRNA	28577	28660	+	HENIPC_00140	trnS	tRNA-Ser(gct)	SO:0000269
VFTETIMP	cds	28872	29012	-	HENIPC_00145		hypothetical protein	
VFTETIMP	cds	28994	29188	-	HENIPC_00150		hypothetical protein	
VFTETIMP	cds	29208	31430	+	HENIPC_00155		hypothetical protein	PFAM:PF01717.21, PFAM:PF08267.15
VFTETIMP	cds	31636	32454	+	HENIPC_00160		hypothetical protein	
VFTETIMP	cds	32451	33584	+	HENIPC_00165		hypothetical protein	PFAM:PF01053.23
VFTETIMP	cds	33573	34376	-	HENIPC_00170		Peptide chain release factor RF1	SO:0001217, UniRef:UniRef50_S5SQ94
VFTETIMP	cds	34378	34968	-	HENIPC_00175		hypothetical protein	PFAM:PF00117.31
VFTETIMP	cds	35129	35404	-	HENIPC_00180		hypothetical protein	
VFTETIMP	cds	35739	36239	-	HENIPC_00185		hypothetical protein	
VFTETIMP	cds	36461	37912	-	HENIPC_00190		hypothetical protein	PFAM:PF00749.24
VFTETIMP	cds	37914	38819	-	HENIPC_00195		hypothetical protein	
VFTETIMP	tRNA	40261	40510	+	HENIPC_00200		tRNA-Xxx	
VFTETIMP	cds	43457	43627	+	HENIPC_00205		hypothetical protein	PFAM:PF00312.25
VFTETIMP	cds	43702	44433	+	HENIPC_00210		hypothetical protein	
VFTETIMP	cds	44430	45470	+	HENIPC_00215		hypothetical protein	PFAM:PF01118.27, PFAM:PF02774.21
VFTETIMP	cds	45472	45624	+	HENIPC_00220		hypothetical protein	
VFTETIMP	cds	45728	45985	+	HENIPC_00225		hypothetical protein	
VFTETIMP	cds	45966	46184	+	HENIPC_00230		hypothetical protein	
VFTETIMP	tRNA	46185	46256	-	HENIPC_00235	trnN	tRNA-Asn(gtt)	SO:0000257
VFTETIMP	tRNA	46364	46436	-	HENIPC_00240	trnC	tRNA-Cys(gca)	SO:0000258
VFTETIMP	cds	46494	47030	-	HENIPC_00245		hypothetical protein	PFAM:PF01612.23, PFAM:PF13482.9, PFAM:PF16473.8
VFTETIMP	cds	47110	47565	+	HENIPC_00250		hypothetical protein	
VFTETIMP	cds	47555	48121	+	HENIPC_00255		ATP-dependent Clp protease proteolytic subunit 1	SO:0001217, UniRef:UniRef50_Q5WLZ7
VFTETIMP	tRNA	49269	49340	+	HENIPC_00260	trnV	tRNA-Val(tac)	SO:0000273
VFTETIMP	cds	49344	50144	+	HENIPC_00265		hypothetical protein	
VFTETIMP	cds	50116	51156	+	HENIPC_00270		hypothetical protein	PFAM:PF00004.32, PFAM:PF05496.15, PFAM:PF13177.9
VFTETIMP	cds	51311	51910	+	HENIPC_00275		hypothetical protein	
VFTETIMP	cds	51907	53130	+	HENIPC_00280		hypothetical protein	
VFTETIMP	cds	53117	54082	+	HENIPC_00285		hypothetical protein	PFAM:PF00155.24
VFTETIMP	cds	54079	54672	+	HENIPC_00290		hypothetical protein	
VFTETIMP	cds	54672	55268	+	HENIPC_00295		hypothetical protein	PFAM:PF00117.31
VFTETIMP	cds	55265	55975	+	HENIPC_00300		hypothetical protein	
VFTETIMP	cds	55965	56711	+	HENIPC_00305		hypothetical protein	
VFTETIMP	cds	56708	57001	+	HENIPC_00310		hypothetical protein	
VFTETIMP	cds	56982	57245	+	HENIPC_00315		hypothetical protein	
VFTETIMP	tRNA	57322	57394	-	HENIPC_00320	trnK	tRNA-Lys(ttt)	SO:0000265
VFTETIMP	cds	57726	57887	-	HENIPC_00325		hypothetical protein	
VFTETIMP	cds	57868	58326	-	HENIPC_00330		hypothetical protein	PFAM:PF05198.19
VFTETIMP	tRNA	58338	58410	-	HENIPC_00335	trnV	tRNA-Val(aac)	SO:0000273
VFTETIMP	tRNA	59471	59542	-	HENIPC_00340	trnR	(pseudo) tRNA-Arg(tct)	SO:0001036
VFTETIMP	tRNA	59668	59736	-	HENIPC_00345	trnfM	tRNA-fMet(cat)	SO:0000266
VFTETIMP	tRNA	59777	59848	+	HENIPC_00350	trnP	tRNA-Pro(tgg)	SO:0000268
VFTETIMP	cds	60135	60668	-	HENIPC_00355		hypothetical protein	
VFTETIMP	cds	60665	61603	-	HENIPC_00360		hypothetical protein	
VFTETIMP	cds	61641	62696	+	HENIPC_00365		hypothetical protein	PFAM:PF00155.24
VFTETIMP	cds	62675	63463	+	HENIPC_00370		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	SO:0001217, UniRef:UniRef50_Q8EGH9
VFTETIMP	cds	63456	64538	+	HENIPC_00375		hypothetical protein	PFAM:PF07687.17
VFTETIMP	cds	64535	65821	-	HENIPC_00380		hypothetical protein	PFAM:PF14821.9
VFTETIMP	cds	65818	66993	-	HENIPC_00385		hypothetical protein	PFAM:PF00742.22
VFTETIMP	cds	66983	68212	-	HENIPC_00390		hypothetical protein	PFAM:PF03796.18, PFAM:PF08423.14, PFAM:PF13481.9
VFTETIMP	cds	68205	68384	-	HENIPC_00395		hypothetical protein	
VFTETIMP	cds	68381	68686	-	HENIPC_00400		hypothetical protein	PFAM:PF01250.20
VFTETIMP	tRNA	68902	68975	-	HENIPC_00405	trnD	tRNA-Asp(gtc)	SO:0000256
VFTETIMP	cds	69089	70399	+	HENIPC_00410		hypothetical protein	
VFTETIMP	cds	70399	72258	+	HENIPC_00415		hypothetical protein	PFAM:PF13932.9
VFTETIMP	cds	72292	73566	+	HENIPC_00420		hypothetical protein	
VFTETIMP	cds	73563	74747	+	HENIPC_00425		hypothetical protein	
VFTETIMP	cds	74744	75826	-	HENIPC_00430		hypothetical protein	PFAM:PF02767.19, PFAM:PF02768.18
VFTETIMP	cds	75827	75964	+	HENIPC_00435		50S ribosomal protein L34	SO:0001217, UniRef:UniRef50_Q0ATU1
VFTETIMP	cds	75957	76556	+	HENIPC_00440		hypothetical protein	
VFTETIMP	cds	76548	77570	-	HENIPC_00445		hypothetical protein	PFAM:PF00226.34, PFAM:PF00684.22, PFAM:PF01556.21
VFTETIMP	cds	77563	79422	-	HENIPC_00450	dnaK	Chaperone protein DnaK	SO:0001217, UniRef:UniRef50_A6T226
VFTETIMP	cds	79371	79811	-	HENIPC_00455		hypothetical protein	
VFTETIMP	cds	79846	80796	+	HENIPC_00460		hypothetical protein	PFAM:PF00793.23
VFTETIMP	cds	80767	81768	-	HENIPC_00465		hypothetical protein	PFAM:PF03054.19
VFTETIMP	cds	81770	82357	-	HENIPC_00470		hypothetical protein	
VFTETIMP	cds	82384	83058	-	HENIPC_00475		hypothetical protein	PFAM:PF01113.23, PFAM:PF05173.17
VFTETIMP	cds	83055	83804	-	HENIPC_00480		hypothetical protein	PFAM:PF08501.14
VFTETIMP	cds	83833	84240	+	HENIPC_00485		hypothetical protein	PFAM:PF01220.22
VFTETIMP	cds	84226	84591	-	HENIPC_00490		hypothetical protein	
VFTETIMP	cds	84581	84829	-	HENIPC_00495		hypothetical protein	
VFTETIMP	cds	84808	85134	-	HENIPC_00500		hypothetical protein	
VFTETIMP	cds	85131	85931	-	HENIPC_00505		hypothetical protein	
VFTETIMP	tRNA	85933	86004	-	HENIPC_00510	trnA	tRNA-Ala(tgc)	SO:0000254
VFTETIMP	rRNA	86011	86120	-	HENIPC_00515	rrf	5S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01985, RFAM:RF00001, SO:0000652
VFTETIMP	rRNA	86139	88879	-	HENIPC_00520	rrl	23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
VFTETIMP	tRNA	88893	88964	-	HENIPC_00525	trnI	tRNA-Ile(gat)	SO:0000263
VFTETIMP	rRNA	88970	90466	-	HENIPC_00530	rrs	16S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01977, RFAM:RF00177, SO:0001000
VFTETIMP	cds	90590	91000	+	HENIPC_00535		hypothetical protein	
VFTETIMP	cds	90993	91592	+	HENIPC_00540		hypothetical protein	
VFTETIMP	cds	91585	91767	+	HENIPC_00545		hypothetical protein	
VFTETIMP	cds	91764	92558	+	HENIPC_00550		50S ribosomal protein L2	SO:0001217, UniRef:UniRef50_Q605B5
VFTETIMP	cds	92542	92805	+	HENIPC_00555		30S ribosomal protein S19	SO:0001217, UniRef:UniRef50_A0A346E0N5
VFTETIMP	cds	92802	93119	+	HENIPC_00560		hypothetical protein	PFAM:PF00237.22
VFTETIMP	cds	93119	93760	+	HENIPC_00565		hypothetical protein	PFAM:PF00189.23, PFAM:PF07650.20
VFTETIMP	cds	93723	94142	+	HENIPC_00570		50S ribosomal protein L16	SO:0001217, UniRef:UniRef50_S5TET1
VFTETIMP	cds	94143	94373	+	HENIPC_00575		hypothetical protein	PFAM:PF00366.23
VFTETIMP	cds	94370	94735	+	HENIPC_00580		50S ribosomal protein L14	SO:0001217, UniRef:UniRef50_E0TJ38
VFTETIMP	cds	94725	95276	+	HENIPC_00585		50S ribosomal protein L5	SO:0001217, UniRef:UniRef50_A0A286QUT1
VFTETIMP	cds	95276	95578	+	HENIPC_00590		30S ribosomal protein S14	SO:0001217, UniRef:UniRef50_A1JS18
VFTETIMP	cds	95578	95949	+	HENIPC_00595		hypothetical protein	PFAM:PF00410.22
VFTETIMP	cds	95942	96475	+	HENIPC_00600		hypothetical protein	
VFTETIMP	cds	96438	96770	+	HENIPC_00605		hypothetical protein	
VFTETIMP	cds	96774	97205	+	HENIPC_00610		hypothetical protein	PFAM:PF00333.23, PFAM:PF03719.18
VFTETIMP	cds	97198	97545	+	HENIPC_00615		hypothetical protein	
VFTETIMP	cds	97535	97750	+	HENIPC_00620		Translation initiation factor IF-1	SO:0001217, UniRef:UniRef50_D5V3V7
