locus_tag	ftype	length_bp	gene	EC_number	COG	product
VFCEDSP1_00001	CDS	1182	tuf1			Elongation factor Tu
VFCEDSP1_00001	gene	1182	tuf1			
VFCEDSP1_00002	CDS	408	rplK		COG0080	50S ribosomal protein L11
VFCEDSP1_00002	gene	408	rplK			
VFCEDSP1_00003	CDS	669				hypothetical protein
VFCEDSP1_00003	gene	669				
VFCEDSP1_00004	CDS	447				hypothetical protein
VFCEDSP1_00004	gene	447				
VFCEDSP1_00005	CDS	411	rplL			50S ribosomal protein L7/L12
VFCEDSP1_00005	gene	411	rplL			
VFCEDSP1_00006	CDS	3423	rpoB	2.7.7.6		DNA-directed RNA polymerase subunit beta
VFCEDSP1_00006	gene	3423	rpoB			
VFCEDSP1_00007	CDS	3621	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
VFCEDSP1_00007	gene	3621	rpoC			
VFCEDSP1_00008	CDS	390	rpsL		COG0048	30S ribosomal protein S12
VFCEDSP1_00008	gene	390	rpsL			
VFCEDSP1_00009	CDS	465	rpsG		COG0049	30S ribosomal protein S7
VFCEDSP1_00009	gene	465	rpsG			
VFCEDSP1_00010	CDS	2112	fusA		COG0480	Elongation factor G
VFCEDSP1_00010	gene	2112	fusA			
VFCEDSP1_00011	CDS	312	rpsJ		COG0051	30S ribosomal protein S10
VFCEDSP1_00011	gene	312	rpsJ			
VFCEDSP1_00012	CDS	465	def	3.5.1.88	COG0242	Peptide deformylase
VFCEDSP1_00012	gene	465	def			
VFCEDSP1_00013	CDS	318				hypothetical protein
VFCEDSP1_00013	gene	318				
VFCEDSP1_00014	CDS	726	ermD	2.1.1.-		rRNA adenine N-6-methyltransferase
VFCEDSP1_00014	gene	726	ermD			
VFCEDSP1_00015	CDS	393	rpsI		COG0103	30S ribosomal protein S9
VFCEDSP1_00015	gene	393	rpsI			
VFCEDSP1_00016	CDS	333	rplM		COG0102	50S ribosomal protein L13
VFCEDSP1_00016	gene	333	rplM			
VFCEDSP1_00017	CDS	132				hypothetical protein
VFCEDSP1_00017	gene	132				
VFCEDSP1_00018	CDS	612				hypothetical protein
VFCEDSP1_00018	gene	612				
VFCEDSP1_00019	CDS	318				hypothetical protein
VFCEDSP1_00019	gene	318				
VFCEDSP1_00020	CDS	681	prfB		COG1186	Peptide chain release factor 2
VFCEDSP1_00020	gene	681	prfB			
VFCEDSP1_00021	CDS	2241	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
VFCEDSP1_00021	gene	2241	metE			
VFCEDSP1_00022	CDS	732	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
VFCEDSP1_00022	gene	732	rluD			
VFCEDSP1_00023	CDS	1149	metC	4.4.1.8	COG0626	Cystathionine beta-lyase
VFCEDSP1_00023	gene	1149	metC			
VFCEDSP1_00024	CDS	723	prfA		COG0216	Peptide chain release factor 1
VFCEDSP1_00024	gene	723	prfA			
VFCEDSP1_00025	CDS	903	rpoS		COG0568	RNA polymerase sigma factor RpoS
VFCEDSP1_00025	gene	903	rpoS			
VFCEDSP1_00026	CDS	3021	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
VFCEDSP1_00026	gene	3021	dnaE			
VFCEDSP1_00027	CDS	240				hypothetical protein
VFCEDSP1_00027	gene	240				
VFCEDSP1_00028	CDS	795				hypothetical protein
VFCEDSP1_00028	gene	795				
VFCEDSP1_00029	CDS	225				hypothetical protein
VFCEDSP1_00029	gene	225				
VFCEDSP1_00030	CDS	225				hypothetical protein
VFCEDSP1_00030	gene	225				
VFCEDSP1_00031	CDS	603	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
VFCEDSP1_00031	gene	603	dnaQ			
VFCEDSP1_00032	CDS	531	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
VFCEDSP1_00032	gene	531	clpP			
VFCEDSP1_00033	CDS	1080	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
VFCEDSP1_00033	gene	1080	clpX			
VFCEDSP1_00034	CDS	471	infC			Translation initiation factor IF-3
VFCEDSP1_00034	gene	471	infC			
VFCEDSP1_00035	CDS	1059	aroC	4.2.3.5	COG0082	Chorismate synthase
VFCEDSP1_00035	gene	1059	aroC			
VFCEDSP1_00036	tRNA	72				tRNA-Arg(tct)
VFCEDSP1_00036	gene	72				
VFCEDSP1_00037	tRNA	75				tRNA-Met(cat)
VFCEDSP1_00037	gene	75				
VFCEDSP1_00038	CDS	534				hypothetical protein
VFCEDSP1_00038	gene	534				
VFCEDSP1_00039	CDS	306				Thioredoxin C-2
VFCEDSP1_00039	gene	306				
VFCEDSP1_00040	CDS	231				hypothetical protein
VFCEDSP1_00040	gene	231				
VFCEDSP1_00041	tRNA	74				tRNA-Asp(gtc)
VFCEDSP1_00041	gene	74				
VFCEDSP1_00042	tRNA	71				tRNA-Glu(ttc)
VFCEDSP1_00042	gene	71				
VFCEDSP1_00043	CDS	1347	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
VFCEDSP1_00043	gene	1347	aroA			
VFCEDSP1_00044	CDS	453				hypothetical protein
VFCEDSP1_00044	gene	453				
VFCEDSP1_00045	CDS	1098				hypothetical protein
VFCEDSP1_00045	gene	1098				
VFCEDSP1_00046	CDS	1089	dnaJ		COG0484	Chaperone protein DnaJ
VFCEDSP1_00046	gene	1089	dnaJ			
VFCEDSP1_00047	CDS	1827	dnaK		COG0443	Chaperone protein DnaK
VFCEDSP1_00047	gene	1827	dnaK			
VFCEDSP1_00048	CDS	930	aroF	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
VFCEDSP1_00048	gene	930	aroF			
VFCEDSP1_00049	CDS	507	aroQ	4.2.1.10	COG0757	3-dehydroquinate dehydratase
VFCEDSP1_00049	gene	507	aroQ			
