locus_tag	ftype	length_bp	gene	EC_number	COG	product
VFORGSP_00001	CDS	1191	tufA		COG0050	Elongation factor Tu
VFORGSP_00001	gene	1191	tufA			
VFORGSP_00002	tRNA	73				tRNA-Trp(cca)
VFORGSP_00002	gene	73				
VFORGSP_00003	CDS	408	rplK		COG0080	50S ribosomal protein L11
VFORGSP_00003	gene	408	rplK			
VFORGSP_00004	CDS	606				hypothetical protein
VFORGSP_00004	gene	606				
VFORGSP_00005	CDS	459	rplJ			50S ribosomal protein L10
VFORGSP_00005	gene	459	rplJ			
VFORGSP_00006	CDS	351	rplL			50S ribosomal protein L7/L12
VFORGSP_00006	gene	351	rplL			
VFORGSP_00007	CDS	3777	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
VFORGSP_00007	gene	3777	rpoB			
VFORGSP_00008	CDS	3912	rpoC	2.7.7.6		DNA-directed RNA polymerase subunit beta'
VFORGSP_00008	gene	3912	rpoC			
VFORGSP_00009	CDS	393	rpsL		COG0048	30S ribosomal protein S12
VFORGSP_00009	gene	393	rpsL			
VFORGSP_00010	CDS	474	rpsG		COG0049	30S ribosomal protein S7
VFORGSP_00010	gene	474	rpsG			
VFORGSP_00011	CDS	2091	fusA		COG0480	Elongation factor G
VFORGSP_00011	gene	2091	fusA			
VFORGSP_00012	CDS	303	rpsJ		COG0051	30S ribosomal protein S10
VFORGSP_00012	gene	303	rpsJ			
VFORGSP_00013	CDS	426	def	3.5.1.88	COG0242	Peptide deformylase
VFORGSP_00013	gene	426	def			
VFORGSP_00014	tRNA	73				tRNA-Phe(gaa)
VFORGSP_00014	gene	73				
VFORGSP_00015	CDS	351				hypothetical protein
VFORGSP_00015	gene	351				
VFORGSP_00016	CDS	705	rsmA	2.1.1.182		Ribosomal RNA small subunit methyltransferase A
VFORGSP_00016	gene	705	rsmA			
VFORGSP_00017	CDS	1074	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
VFORGSP_00017	gene	1074	tyrS			
VFORGSP_00018	CDS	390	rpsI		COG0103	30S ribosomal protein S9
VFORGSP_00018	gene	390	rpsI			
VFORGSP_00019	CDS	297	rplM		COG0102	50S ribosomal protein L13
VFORGSP_00019	gene	297	rplM			
VFORGSP_00020	CDS	789	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
VFORGSP_00020	gene	789	dapF			
VFORGSP_00021	CDS	534				hypothetical protein
VFORGSP_00021	gene	534				
VFORGSP_00022	tRNA	75				tRNA-Gln(ttg)
VFORGSP_00022	gene	75				
VFORGSP_00023	CDS	882	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
VFORGSP_00023	gene	882	prs			
VFORGSP_00024	CDS	510				hypothetical protein
VFORGSP_00024	gene	510				
VFORGSP_00025	CDS	549	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
VFORGSP_00025	gene	549	rsmD			
VFORGSP_00026	CDS	168				hypothetical protein
VFORGSP_00026	gene	168				
VFORGSP_00027	CDS	1128	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
VFORGSP_00027	gene	1128	iscS			
VFORGSP_00028	CDS	1260	lysS	6.1.1.6		Lysine--tRNA ligase
VFORGSP_00028	gene	1260	lysS			
VFORGSP_00029	CDS	690	prfB		COG1186	Peptide chain release factor RF2
VFORGSP_00029	gene	690	prfB			
VFORGSP_00030	CDS	870	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
VFORGSP_00030	gene	870	dapA			
VFORGSP_00031	CDS	954	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
VFORGSP_00031	gene	954	tilS			
VFORGSP_00032	CDS	1179		2.7.2.4	COG0527	Aspartate kinase
VFORGSP_00032	gene	1179				
VFORGSP_00033	tRNA	85				tRNA-Ser(gct)
VFORGSP_00033	gene	85				
VFORGSP_00034	CDS	231				hypothetical protein
VFORGSP_00034	gene	231				
VFORGSP_00035	CDS	2211	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
VFORGSP_00035	gene	2211	ileS			
VFORGSP_00036	CDS	153				hypothetical protein
VFORGSP_00036	gene	153				
VFORGSP_00037	CDS	2328	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
VFORGSP_00037	gene	2328	metE			
VFORGSP_00038	CDS	708				hypothetical protein
VFORGSP_00038	gene	708				
VFORGSP_00039	CDS	1170	metC	4.4.1.8	COG0626	Cystathionine beta-lyase MetC
VFORGSP_00039	gene	1170	metC			
VFORGSP_00040	CDS	861	prfA		COG0216	Peptide chain release factor 1
VFORGSP_00040	gene	861	prfA			
VFORGSP_00041	CDS	741	trpC	4.1.1.48	COG0134	Indole-3-glycerol phosphate synthase
VFORGSP_00041	gene	741	trpC			
VFORGSP_00042	CDS	1035	trpD	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
VFORGSP_00042	gene	1035	trpD			
VFORGSP_00043	CDS	567	pabA	2.6.1.85	COG0512	Aminodeoxychorismate synthase component 2
VFORGSP_00043	gene	567	pabA			
VFORGSP_00044	CDS	1227	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
VFORGSP_00044	gene	1227	trpE			
VFORGSP_00045	CDS	1386	argH	4.3.2.1	COG0165	Argininosuccinate lyase
VFORGSP_00045	gene	1386	argH			
VFORGSP_00046	CDS	1398	glnS	6.1.1.18	COG0008	Glutamine--tRNA ligase
VFORGSP_00046	gene	1398	glnS			
VFORGSP_00047	CDS	981	thrB	2.7.1.39	COG2334	Homoserine kinase
VFORGSP_00047	gene	981	thrB			
VFORGSP_00048	CDS	1413	sigA		COG0568	RNA polymerase sigma factor SigA
VFORGSP_00048	gene	1413	sigA			
