REF_START	REF_END	QUERY_START	QUERY_END	REF_LENGTH	QUERY_LENGTH	IDENTITY	REF_NAME	QUERY_NAME
0	651	0	681	652	682	62.6	SMAGAHAV	SMAKOQUE
683	3296	1088	3878	2614	2791	78.8	SMAGAHAV	SMAKOQUE
3318	3651	3971	4310	334	340	89.2	SMAGAHAV	SMAKOQUE
3670	4780	5849	6956	1111	1108	82.7	SMAGAHAV	SMAKOQUE
4877	6005	7010	8153	1129	1144	87.5	SMAGAHAV	SMAKOQUE
7260	5997	10625	9407	1264	1219	97.6	SMAGAHAV	SMAKOQUE
7305	8388	10698	11763	1084	1066	81.39	SMAGAHAV	SMAKOQUE
8374	9133	75568	74794	760	775	87.4	SMAGAHAV	SMAKOQUE
9341	12767	74405	70733	3427	3673	77.4	SMAGAHAV	SMAKOQUE
14570	12974	65177	66839	1597	1663	87.5	SMAGAHAV	SMAKOQUE
81788	81551	50381	50177	238	205	74.2	SMAGAHAV	SMAKOQUE
83080	81835	51922	50686	1246	1237	85.1	SMAGAHAV	SMAKOQUE
86776	84031	55215	52488	2746	2728	84.5	SMAGAHAV	SMAKOQUE
88028	86765	56539	55204	1264	1336	89.4	SMAGAHAV	SMAKOQUE
88127	89282	56573	57734	1156	1162	91.9	SMAGAHAV	SMAKOQUE
89283	90693	57750	59160	1411	1411	95.7	SMAGAHAV	SMAKOQUE
90679	91264	59146	59734	586	589	83.5	SMAGAHAV	SMAKOQUE
91346	92435	59783	60869	1090	1087	90.9	SMAGAHAV	SMAKOQUE
54009	54735	14803	15769	727	967	86.4	SMAGAHAV	SMAKOQUE
54718	55345	15910	16627	628	718	64.2	SMAGAHAV	SMAKOQUE
58219	55621	21081	18429	2599	2653	84.3	SMAGAHAV	SMAKOQUE
59465	58238	22459	21235	1228	1225	89.4	SMAGAHAV	SMAKOQUE
60142	59485	23155	22507	658	649	93.4	SMAGAHAV	SMAKOQUE
61227	60180	24396	23340	1048	1057	85.4	SMAGAHAV	SMAKOQUE
66156	67335	31622	33005	1180	1384	87.1	SMAGAHAV	SMAKOQUE
68454	69642	34469	35657	1189	1189	96.9	SMAGAHAV	SMAKOQUE
95055	94092	107498	108485	964	988	73.8	SMAGAHAV	SMAKOQUE
121510	121891	130187	129809	382	379	67.7	SMAGAHAV	SMAKOQUE
122551	122956	128770	128365	406	406	96.2	SMAGAHAV	SMAKOQUE
123202	123571	127822	127453	370	370	98.3	SMAGAHAV	SMAKOQUE
123594	123942	127057	126631	349	427	54.3	SMAGAHAV	SMAKOQUE
139380	139146	176689	176449	235	241	81.79	SMAGAHAV	SMAKOQUE
16436	14573	63198	65100	1864	1903	83.1	SMAGAHAV	SMAKOQUE
17029	17698	62566	61960	670	607	82.8	SMAGAHAV	SMAKOQUE
18002	17795	77954	77759	208	196	77.5	SMAGAHAV	SMAKOQUE
18280	18010	78242	77966	271	277	81.79	SMAGAHAV	SMAKOQUE
80180	81155	48069	49098	976	1030	73.7	SMAGAHAV	SMAKOQUE
81377	81254	49925	49790	124	136	72.2	SMAGAHAV	SMAKOQUE
81568	81382	50169	49938	187	232	54.2	SMAGAHAV	SMAKOQUE
103856	104603	99315	98568	748	748	90.7	SMAGAHAV	SMAKOQUE
105935	107165	96554	95315	1231	1240	85.0	SMAGAHAV	SMAKOQUE
