# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
VFSACSP1	cds	1	1197	+	CMPLCC_00005		hypothetical protein	PFAM:PF00009.30, PFAM:PF03143.20, PFAM:PF03144.28
VFSACSP1	cds	1194	1598	+	CMPLCC_00010		hypothetical protein	PFAM:PF00298.22, PFAM:PF03946.17
VFSACSP1	cds	1588	2013	+	CMPLCC_00015		hypothetical protein	
VFSACSP1	cds	1991	2335	+	CMPLCC_00020		hypothetical protein	PFAM:PF00542.22
VFSACSP1	cds	2332	5661	+	CMPLCC_00025		hypothetical protein	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
VFSACSP1	cds	5658	9350	+	CMPLCC_00030		hypothetical protein	PFAM:PF00623.23, PFAM:PF04997.15, PFAM:PF04998.20
VFSACSP1	cds	9322	9690	+	CMPLCC_00035		hypothetical protein	
VFSACSP1	cds	9680	10144	+	CMPLCC_00040		hypothetical protein	PFAM:PF00177.24
VFSACSP1	cds	10141	12201	+	CMPLCC_00045		hypothetical protein	PFAM:PF00009.30, PFAM:PF00679.27, PFAM:PF03144.28, PFAM:PF03764.21, PFAM:PF14492.9
VFSACSP1	cds	12198	12488	+	CMPLCC_00050		hypothetical protein	PFAM:PF00338.25
VFSACSP1	cds	12485	12925	+	CMPLCC_00055		hypothetical protein	PFAM:PF01327.24
VFSACSP1	cds	12915	13136	-	CMPLCC_00060		hypothetical protein	
VFSACSP1	cds	13222	13530	-	CMPLCC_00065		hypothetical protein	
VFSACSP1	cds	13530	14084	-	CMPLCC_00070		hypothetical protein	
VFSACSP1	cds	14084	14626	-	CMPLCC_00075		hypothetical protein	
VFSACSP1	cds	14619	15068	-	CMPLCC_00080		hypothetical protein	PFAM:PF03462.21
VFSACSP1	cds	15201	16295	+	CMPLCC_00085		hypothetical protein	PFAM:PF04542.17, PFAM:PF04545.19
VFSACSP1	cds	16415	19024	+	CMPLCC_00090		hypothetical protein	PFAM:PF07733.15, PFAM:PF14579.9, PFAM:PF17657.4
VFSACSP1	cds	19111	19329	+	CMPLCC_00095		hypothetical protein	
VFSACSP1	cds	19290	19523	+	CMPLCC_00100		hypothetical protein	
VFSACSP1	cds	19477	19572	+	CMPLCC_00105		hypothetical protein	
VFSACSP1	cds	19549	20052	-	CMPLCC_00110		hypothetical protein	PFAM:PF13482.9, PFAM:PF16473.8
VFSACSP1	cds	20060	20569	+	CMPLCC_00115		hypothetical protein	
VFSACSP1	cds	20556	21074	+	CMPLCC_00120		ATP-dependent Clp protease proteolytic subunit	SO:0001217, UniRef:UniRef50_Q05FR8
VFSACSP1	cds	21071	22210	+	CMPLCC_00125	clpX	ATP-dependent Clp protease ATP-binding subunit ClpX	SO:0001217, UniRef:UniRef50_A0A346E0H3
VFSACSP1	cds	22239	22565	-	CMPLCC_00130		hypothetical protein	
VFSACSP1	cds	22534	22680	-	CMPLCC_00135		hypothetical protein	
VFSACSP1	cds	22677	23111	-	CMPLCC_00140		hypothetical protein	PFAM:PF05198.19
VFSACSP1	cds	23111	24172	-	CMPLCC_00145		Chorismate synthase	SO:0001217, UniRef:UniRef50_A0A346E0J1
VFSACSP1	cds	24180	24335	+	CMPLCC_00150		hypothetical protein	
VFSACSP1	cds	24433	24876	-	CMPLCC_00155		hypothetical protein	
VFSACSP1	cds	24863	25360	-	CMPLCC_00160		hypothetical protein	
VFSACSP1	cds	25357	26508	-	CMPLCC_00165		hypothetical protein	PFAM:PF03796.18
VFSACSP1	cds	26505	26954	-	CMPLCC_00170		hypothetical protein	
VFSACSP1	cds	27440	27658	+	CMPLCC_00175		hypothetical protein	
VFSACSP1	cds	27691	28947	+	CMPLCC_00180		hypothetical protein	
VFSACSP1	cds	28916	29998	-	CMPLCC_00185		hypothetical protein	
VFSACSP1	cds	30121	31080	-	CMPLCC_00190		hypothetical protein	PFAM:PF00226.34, PFAM:PF01556.21
VFSACSP1	cds	31080	32897	-	CMPLCC_00195	dnaK	Chaperone protein DnaK	SO:0001217, UniRef:UniRef50_A0A346E0L5
VFSACSP1	cds	32956	33930	+	CMPLCC_00200		hypothetical protein	PFAM:PF00793.23
VFSACSP1	cds	34050	34292	+	CMPLCC_00205		hypothetical protein	
VFSACSP1	cds	34491	34994	+	CMPLCC_00210		hypothetical protein	PFAM:PF01220.22
VFSACSP1	cds	34981	35235	-	CMPLCC_00215		hypothetical protein	
VFSACSP1	cds	35205	35510	-	CMPLCC_00220		hypothetical protein	
VFSACSP1	rRNA	35649	38397	-	CMPLCC_00225	rrl	23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
VFSACSP1	rRNA	38444	39919	-	CMPLCC_00230	rrs	16S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01977, RFAM:RF00177, SO:0001000
VFSACSP1	cds	39939	40391	+	CMPLCC_00235		hypothetical protein	
