locus_tag	ftype	length_bp	gene	EC_number	COG	product
VFSTEMIN_00001	CDS	1188	tufA		COG0050	Elongation factor Tu
VFSTEMIN_00001	gene	1188	tufA			
VFSTEMIN_00002	CDS	390	rplK		COG0080	50S ribosomal protein L11
VFSTEMIN_00002	gene	390	rplK			
VFSTEMIN_00003	CDS	558				hypothetical protein
VFSTEMIN_00003	gene	558				
VFSTEMIN_00004	CDS	441	rplJ			50S ribosomal protein L10
VFSTEMIN_00004	gene	441	rplJ			
VFSTEMIN_00005	CDS	360	rplL			50S ribosomal protein L7/L12
VFSTEMIN_00005	gene	360	rplL			
VFSTEMIN_00006	CDS	3357	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
VFSTEMIN_00006	gene	3357	rpoB			
VFSTEMIN_00007	CDS	3774	rpoC	2.7.7.6		DNA-directed RNA polymerase subunit beta'
VFSTEMIN_00007	gene	3774	rpoC			
VFSTEMIN_00008	CDS	366	rpsL		COG0048	30S ribosomal protein S12
VFSTEMIN_00008	gene	366	rpsL			
VFSTEMIN_00009	CDS	465	rpsG		COG0049	30S ribosomal protein S7
VFSTEMIN_00009	gene	465	rpsG			
VFSTEMIN_00010	CDS	2067	fusA		COG0480	Elongation factor G
VFSTEMIN_00010	gene	2067	fusA			
VFSTEMIN_00011	CDS	300	rpsJ			30S ribosomal protein S10
VFSTEMIN_00011	gene	300	rpsJ			
VFSTEMIN_00012	CDS	336	def	3.5.1.88	COG0242	Peptide deformylase
VFSTEMIN_00012	gene	336	def			
VFSTEMIN_00013	CDS	114				hypothetical protein
VFSTEMIN_00013	gene	114				
VFSTEMIN_00014	CDS	456	rsmA	2.1.1.-		Ribosomal RNA small subunit methyltransferase A
VFSTEMIN_00014	gene	456	rsmA			
VFSTEMIN_00015	CDS	297	rpsI		COG0103	30S ribosomal protein S9
VFSTEMIN_00015	gene	297	rpsI			
VFSTEMIN_00016	CDS	318	rplM			50S ribosomal protein L13
VFSTEMIN_00016	gene	318	rplM			
VFSTEMIN_00017	CDS	831	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
VFSTEMIN_00017	gene	831	dapF			
VFSTEMIN_00018	CDS	615				hypothetical protein
VFSTEMIN_00018	gene	615				
VFSTEMIN_00019	CDS	1332	infB			Translation initiation factor IF-2
VFSTEMIN_00019	gene	1332	infB			
VFSTEMIN_00020	CDS	849	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
VFSTEMIN_00020	gene	849	prs			
VFSTEMIN_00021	CDS	447				hypothetical protein
VFSTEMIN_00021	gene	447				
VFSTEMIN_00022	CDS	510	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
VFSTEMIN_00022	gene	510	rsmD			
VFSTEMIN_00023	CDS	732	prfA_1		COG0216	Peptide chain release factor 1
VFSTEMIN_00023	gene	732	prfA_1			
VFSTEMIN_00024	CDS	828	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
VFSTEMIN_00024	gene	828	dapA			
VFSTEMIN_00025	CDS	921	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
VFSTEMIN_00025	gene	921	tilS			
VFSTEMIN_00026	CDS	1119	lysC	2.7.2.4	COG0527	Aspartate kinase Ask_LysC
VFSTEMIN_00026	gene	1119	lysC			
VFSTEMIN_00027	CDS	2019	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
VFSTEMIN_00027	gene	2019	ileS			
VFSTEMIN_00028	CDS	198				hypothetical protein
VFSTEMIN_00028	gene	198				
VFSTEMIN_00029	CDS	2196	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
VFSTEMIN_00029	gene	2196	metE			
VFSTEMIN_00030	tmRNA	484	ssrA			transfer-messenger RNA, SsrA
VFSTEMIN_00030	gene	484	ssrA			
VFSTEMIN_00031	CDS	918	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
VFSTEMIN_00031	gene	918	rluC			
VFSTEMIN_00032	CDS	1098	metC	4.4.1.8	COG0626	Cystathionine beta-lyase
VFSTEMIN_00032	gene	1098	metC			
VFSTEMIN_00033	CDS	699	prfA_2		COG0216	Peptide chain release factor 1
VFSTEMIN_00033	gene	699	prfA_2			
VFSTEMIN_00034	CDS	1380	argH	4.3.2.1	COG0165	Argininosuccinate lyase
VFSTEMIN_00034	gene	1380	argH			
VFSTEMIN_00035	CDS	879	thrB	2.7.1.39	COG2334	Homoserine kinase
VFSTEMIN_00035	gene	879	thrB			
VFSTEMIN_00036	CDS	1161	rpoD		COG0568	RNA polymerase sigma factor RpoD
VFSTEMIN_00036	gene	1161	rpoD			
VFSTEMIN_00037	CDS	2790	dnaE1	2.7.7.7		DNA polymerase III subunit alpha
VFSTEMIN_00037	gene	2790	dnaE1			
VFSTEMIN_00038	CDS	144	rpsO			30S ribosomal protein S15
VFSTEMIN_00038	gene	144	rpsO			
VFSTEMIN_00039	CDS	714	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
VFSTEMIN_00039	gene	714	metF			
VFSTEMIN_00040	CDS	996	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
VFSTEMIN_00040	gene	996	asd			
VFSTEMIN_00041	CDS	351	rpsP			30S ribosomal protein S16
VFSTEMIN_00041	gene	351	rpsP			
VFSTEMIN_00042	CDS	564	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
VFSTEMIN_00042	gene	564	rluD			
VFSTEMIN_00043	CDS	300	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
VFSTEMIN_00043	gene	300	dnaQ			
VFSTEMIN_00044	CDS	1224	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
VFSTEMIN_00044	gene	1224	carA			
VFSTEMIN_00045	CDS	3144	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
VFSTEMIN_00045	gene	3144	carB			
VFSTEMIN_00046	CDS	519	rlmE	2.1.1.166		Ribosomal RNA large subunit methyltransferase E
VFSTEMIN_00046	gene	519	rlmE			
VFSTEMIN_00047	CDS	519	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
VFSTEMIN_00047	gene	519	clpP			
VFSTEMIN_00048	CDS	1137	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
VFSTEMIN_00048	gene	1137	clpX			
VFSTEMIN_00049	CDS	483				hypothetical protein
VFSTEMIN_00049	gene	483				
VFSTEMIN_00050	CDS	945	dnaX	2.7.7.7	COG2812	DNA polymerase III subunit tau
VFSTEMIN_00050	gene	945	dnaX			
VFSTEMIN_00051	CDS	621	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
VFSTEMIN_00051	gene	621	hisG			
VFSTEMIN_00052	CDS	1206	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
VFSTEMIN_00052	gene	1206	hisD			
VFSTEMIN_00053	CDS	903	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
VFSTEMIN_00053	gene	903	hisC			
VFSTEMIN_00054	CDS	552	hisB	4.2.1.19		Imidazoleglycerol-phosphate dehydratase
VFSTEMIN_00054	gene	552	hisB			
VFSTEMIN_00055	CDS	585	hisH	2.4.2.-	COG0118	Imidazole glycerol phosphate synthase subunit HisH
VFSTEMIN_00055	gene	585	hisH			
VFSTEMIN_00056	CDS	699	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
VFSTEMIN_00056	gene	699	hisA			
VFSTEMIN_00057	CDS	744	hisF	4.1.3.-	COG0107	Imidazole glycerol phosphate synthase subunit HisF
VFSTEMIN_00057	gene	744	hisF			
VFSTEMIN_00058	CDS	237	hisI	3.5.4.19	COG0139	Phosphoribosyl-AMP cyclohydrolase
VFSTEMIN_00058	gene	237	hisI			
VFSTEMIN_00059	CDS	282	hisE	3.6.1.31	COG0140	Phosphoribosyl-ATP pyrophosphatase
VFSTEMIN_00059	gene	282	hisE			
VFSTEMIN_00060	CDS	825	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase, anabolic
VFSTEMIN_00060	gene	825	argF			
VFSTEMIN_00061	CDS	420	rplT		COG0292	50S ribosomal protein L20
VFSTEMIN_00061	gene	420	rplT			
VFSTEMIN_00062	CDS	450	infC		COG0290	Translation initiation factor IF-3
VFSTEMIN_00062	gene	450	infC			
VFSTEMIN_00063	CDS	1041	aroC	4.2.3.5	COG0082	Chorismate synthase
VFSTEMIN_00063	gene	1041	aroC			
VFSTEMIN_00064	tRNA	69				tRNA-Thr(ggt)
VFSTEMIN_00064	gene	69				
VFSTEMIN_00065	tRNA	74				tRNA-Met(cat)
VFSTEMIN_00065	gene	74				
VFSTEMIN_00066	CDS	309				hypothetical protein
VFSTEMIN_00066	gene	309				
VFSTEMIN_00067	CDS	471				hypothetical protein
VFSTEMIN_00067	gene	471				
VFSTEMIN_00068	CDS	468				hypothetical protein
VFSTEMIN_00068	gene	468				
VFSTEMIN_00069	CDS	576				hypothetical protein
VFSTEMIN_00069	gene	576				
VFSTEMIN_00070	CDS	735	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
VFSTEMIN_00070	gene	735	dapD			
VFSTEMIN_00071	CDS	1062	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
VFSTEMIN_00071	gene	1062	dapE			
VFSTEMIN_00072	CDS	1275	thrC	4.2.3.1	COG0498	Threonine synthase
VFSTEMIN_00072	gene	1275	thrC			
VFSTEMIN_00073	CDS	1119	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
VFSTEMIN_00073	gene	1119	hom			
VFSTEMIN_00074	CDS	1140	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
VFSTEMIN_00074	gene	1140	dnaC			
VFSTEMIN_00075	CDS	1047	rho	3.6.4.-	COG1158	Transcription termination factor Rho
VFSTEMIN_00075	gene	1047	rho			
VFSTEMIN_00076	CDS	249	ykgM		COG0254	50S ribosomal protein L31 type B
VFSTEMIN_00076	gene	249	ykgM			
VFSTEMIN_00077	CDS	1158	mnmE	3.6.-.-		tRNA modification GTPase MnmE
VFSTEMIN_00077	gene	1158	mnmE			
VFSTEMIN_00078	CDS	234	groS			10 kDa chaperonin
VFSTEMIN_00078	gene	234	groS			
VFSTEMIN_00079	CDS	1560	groL		COG0459	60 kDa chaperonin
VFSTEMIN_00079	gene	1560	groL			
VFSTEMIN_00080	CDS	1266	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
VFSTEMIN_00080	gene	1266	aroA			
VFSTEMIN_00081	CDS	1068				hypothetical protein
VFSTEMIN_00081	gene	1068				
VFSTEMIN_00082	CDS	633		3.1.3.-	COG0560	putative phosphatase
VFSTEMIN_00082	gene	633				
VFSTEMIN_00083	CDS	978	dnaJ		COG0484	Chaperone protein DnaJ
VFSTEMIN_00083	gene	978	dnaJ			
VFSTEMIN_00084	CDS	1800	dnaK		COG0443	Chaperone protein DnaK
VFSTEMIN_00084	gene	1800	dnaK			
VFSTEMIN_00085	CDS	972	aroH	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive
VFSTEMIN_00085	gene	972	aroH			
VFSTEMIN_00086	CDS	570				hypothetical protein
VFSTEMIN_00086	gene	570				
VFSTEMIN_00087	CDS	579	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
VFSTEMIN_00087	gene	579	dapB			
VFSTEMIN_00088	CDS	645	aroE	1.1.1.25		Shikimate dehydrogenase (NADP(+))
VFSTEMIN_00088	gene	645	aroE			
VFSTEMIN_00089	CDS	429	aroQ	4.2.1.10	COG0757	3-dehydroquinate dehydratase
VFSTEMIN_00089	gene	429	aroQ			
VFSTEMIN_00090	CDS	243	rpmA		COG0211	50S ribosomal protein L27
VFSTEMIN_00090	gene	243	rpmA			
VFSTEMIN_00091	CDS	312				hypothetical protein
VFSTEMIN_00091	gene	312				
VFSTEMIN_00092	CDS	1233	argG	6.3.4.5	COG0137	Argininosuccinate synthase
VFSTEMIN_00092	gene	1233	argG			
VFSTEMIN_00093	rRNA	2858				23S ribosomal RNA
VFSTEMIN_00093	gene	2858				
