# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
VFSCODIS	tRNA	1173	1243	+	OFGCDB_00005	trnW	tRNA-Trp(cca)	SO:0000271
VFSCODIS	cds	1635	2219	+	OFGCDB_00010		hypothetical protein	PFAM:PF00687.24
VFSCODIS	cds	2209	2637	+	OFGCDB_00015		hypothetical protein	
VFSCODIS	cds	2594	2971	+	OFGCDB_00020		hypothetical protein	PFAM:PF00542.22
VFSCODIS	cds	2949	6764	+	OFGCDB_00025		hypothetical protein	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
VFSCODIS	cds	6740	10630	+	OFGCDB_00030		hypothetical protein	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20, PFAM:PF05000.20
VFSCODIS	cds	10627	11010	+	OFGCDB_00035		hypothetical protein	
VFSCODIS	cds	10986	11462	+	OFGCDB_00040		hypothetical protein	PFAM:PF00177.24
VFSCODIS	cds	11462	13507	+	OFGCDB_00045		Elongation factor G 1	SO:0001217, UniRef:UniRef50_Q9KUZ7
VFSCODIS	cds	13504	13797	+	OFGCDB_00050		hypothetical protein	PFAM:PF00338.25
VFSCODIS	tRNA	14186	14258	+	OFGCDB_00055	trnF	tRNA-Phe(gaa)	SO:0000267
VFSCODIS	cds	14266	14682	+	OFGCDB_00060		hypothetical protein	
VFSCODIS	cds	14679	15767	-	OFGCDB_00065		hypothetical protein	
VFSCODIS	cds	15772	16161	-	OFGCDB_00070		hypothetical protein	
VFSCODIS	cds	16158	16445	-	OFGCDB_00075		hypothetical protein	
VFSCODIS	cds	16442	17230	-	OFGCDB_00080		hypothetical protein	PFAM:PF01678.22
VFSCODIS	cds	17217	17885	-	OFGCDB_00085		hypothetical protein	
VFSCODIS	cds	17886	19379	-	OFGCDB_00090		hypothetical protein	PFAM:PF00009.30, PFAM:PF03193.19, PFAM:PF08477.16, PFAM:PF10662.12, PFAM:PF11987.11
VFSCODIS	tRNA	19387	19458	+	OFGCDB_00095	trnQ	tRNA-Gln(ttg)	SO:0000261
VFSCODIS	cds	19468	20316	+	OFGCDB_00100		hypothetical protein	PFAM:PF00156.30, PFAM:PF13793.9
