# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
VFMEETHA	tRNA	1179	1250	+	FKEGEC_00005	trnW	tRNA-Trp(cca)	SO:0000271
VFMEETHA	cds	1254	1616	+	FKEGEC_00010		hypothetical protein	
VFMEETHA	cds	1613	2050	+	FKEGEC_00015		hypothetical protein	
VFMEETHA	cds	2019	2363	+	FKEGEC_00020		hypothetical protein	PFAM:PF00542.22
VFMEETHA	cds	2356	6132	+	FKEGEC_00025		hypothetical protein	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
VFMEETHA	cds	6129	9779	+	FKEGEC_00030		hypothetical protein	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20
VFMEETHA	cds	9721	10101	+	FKEGEC_00035		hypothetical protein	
VFMEETHA	cds	10082	10552	+	FKEGEC_00040		hypothetical protein	PFAM:PF00177.24
VFMEETHA	cds	10552	12570	+	FKEGEC_00045		Elongation factor G 2	SO:0001217, UniRef:UniRef50_Q62GK2
VFMEETHA	cds	12567	12854	+	FKEGEC_00050		hypothetical protein	PFAM:PF00338.25
VFMEETHA	tRNA	13462	13533	+	FKEGEC_00055	trnF	tRNA-Phe(gaa)	SO:0000267
VFMEETHA	cds	13534	13674	+	FKEGEC_00060		hypothetical protein	
VFMEETHA	cds	13681	14658	-	FKEGEC_00065		hypothetical protein	
VFMEETHA	cds	14655	15041	-	FKEGEC_00070		hypothetical protein	
VFMEETHA	cds	15035	15298	-	FKEGEC_00075		hypothetical protein	
VFMEETHA	cds	15295	16041	-	FKEGEC_00080		hypothetical protein	PFAM:PF01678.22
VFMEETHA	cds	16038	16586	-	FKEGEC_00085		hypothetical protein	
VFMEETHA	cds	16589	16918	-	FKEGEC_00090		hypothetical protein	PFAM:PF00436.28
VFMEETHA	tRNA	16919	16990	+	FKEGEC_00095	trnQ	tRNA-Gln(ttg)	SO:0000261
VFMEETHA	cds	16992	17840	+	FKEGEC_00100		hypothetical protein	PFAM:PF13793.9, PFAM:PF14572.9
VFMEETHA	cds	17840	18013	+	FKEGEC_00105		hypothetical protein	
VFMEETHA	cds	17963	18496	-	FKEGEC_00110		hypothetical protein	PFAM:PF03462.21
VFMEETHA	cds	18484	19230	-	FKEGEC_00115		hypothetical protein	PFAM:PF00218.24
VFMEETHA	cds	19221	20123	-	FKEGEC_00120		hypothetical protein	
VFMEETHA	cds	20108	20683	-	FKEGEC_00125		hypothetical protein	PFAM:PF00117.31, PFAM:PF07722.16
VFMEETHA	cds	20664	21896	-	FKEGEC_00130		hypothetical protein	
VFMEETHA	cds	21886	23253	-	FKEGEC_00135		Argininosuccinate lyase	SO:0001217, UniRef:UniRef50_A0A346E0F0
VFMEETHA	cds	23408	24643	-	FKEGEC_00140		hypothetical protein	PFAM:PF00749.24
VFMEETHA	cds	24633	25535	-	FKEGEC_00145		hypothetical protein	
VFMEETHA	cds	25532	26452	-	FKEGEC_00150		hypothetical protein	
VFMEETHA	cds	26455	27516	+	FKEGEC_00155		hypothetical protein	PFAM:PF08275.14, PFAM:PF13662.9
VFMEETHA	tRNA	28750	28948	+	FKEGEC_00160		(pseudo) tRNA-Xxx	
VFMEETHA	tRNA	31775	31847	+	FKEGEC_00165	trnL	tRNA-Leu(tag)	SO:0000264
VFMEETHA	tRNA	31850	31932	+	FKEGEC_00170	trnS	tRNA-Ser(aga)	SO:0000269
VFMEETHA	cds	31933	32712	+	FKEGEC_00175		hypothetical protein	PFAM:PF02219.20
VFMEETHA	cds	32705	33703	+	FKEGEC_00180		hypothetical protein	PFAM:PF01118.27, PFAM:PF02774.21
VFMEETHA	cds	33696	34247	+	FKEGEC_00185		hypothetical protein	PFAM:PF00697.25
VFMEETHA	cds	34244	35347	+	FKEGEC_00190		Tryptophan synthase beta chain	SO:0001217, UniRef:UniRef50_A0A346E0G4
VFMEETHA	cds	35344	35973	+	FKEGEC_00195		hypothetical protein	PFAM:PF00290.23
VFMEETHA	cds	35966	36199	+	FKEGEC_00200		hypothetical protein	
VFMEETHA	tRNA	36367	36438	-	FKEGEC_00205	trnN	tRNA-Asn(gtt)	SO:0000257
VFMEETHA	cds	36444	36590	+	FKEGEC_00210		hypothetical protein	
VFMEETHA	cds	36703	37293	-	FKEGEC_00215		hypothetical protein	PFAM:PF16473.8
VFMEETHA	cds	37330	38364	+	FKEGEC_00220		hypothetical protein	PFAM:PF00117.31, PFAM:PF00988.25
VFMEETHA	cds	38361	41447	+	FKEGEC_00225		hypothetical protein	PFAM:PF02786.20, PFAM:PF02787.22, PFAM:PF15632.9
VFMEETHA	cds	41444	42001	+	FKEGEC_00230		ATP-dependent Clp protease proteolytic subunit	SO:0001217, UniRef:UniRef50_P80244
VFMEETHA	tRNA	43171	43241	+	FKEGEC_00235	trnV	tRNA-Val(tac)	SO:0000273
VFMEETHA	cds	43243	43356	+	FKEGEC_00240		hypothetical protein	
VFMEETHA	cds	43356	44444	+	FKEGEC_00245		hypothetical protein	PFAM:PF00004.32, PFAM:PF05496.15, PFAM:PF13177.9
VFMEETHA	tRNA	44504	44586	-	FKEGEC_00250	trnS	tRNA-Ser(tga)	SO:0000269
VFMEETHA	cds	44649	45212	+	FKEGEC_00255		hypothetical protein	
VFMEETHA	cds	45209	46444	+	FKEGEC_00260		hypothetical protein	
VFMEETHA	cds	46434	47435	+	FKEGEC_00265		hypothetical protein	PFAM:PF00155.24
VFMEETHA	cds	47410	47940	+	FKEGEC_00270		Imidazoleglycerol-phosphate dehydratase	SO:0001217, UniRef:UniRef50_Q8Y9G2
VFMEETHA	cds	47934	48533	+	FKEGEC_00275		hypothetical protein	PFAM:PF00117.31
VFMEETHA	cds	48530	49252	+	FKEGEC_00280		hypothetical protein	
VFMEETHA	cds	49242	50018	+	FKEGEC_00285		hypothetical protein	
VFMEETHA	cds	49990	50277	+	FKEGEC_00290		phosphoribosyl-AMP cyclohydrolase	SO:0001217, UniRef:UniRef50_A0A2K8K4J9
VFMEETHA	cds	50222	50527	+	FKEGEC_00295		hypothetical protein	
VFMEETHA	tRNA	50586	50656	+	FKEGEC_00300	trnH	(pseudo) tRNA-His(gtg)	SO:0000262
VFMEETHA	tRNA	51484	51555	-	FKEGEC_00305	trnK	tRNA-Lys(ttt)	SO:0000265
VFMEETHA	cds	51868	52179	-	FKEGEC_00310		hypothetical protein	
VFMEETHA	cds	52179	53237	-	FKEGEC_00315		Chorismate synthase	SO:0001217, UniRef:UniRef50_Q82TK9
VFMEETHA	tRNA	53242	53312	-	FKEGEC_00320	trnR	(pseudo) tRNA-Arg(tct)	SO:0001036
VFMEETHA	tRNA	53317	53388	-	FKEGEC_00325	trnfM	tRNA-fMet(cat)	SO:0000266
VFMEETHA	tRNA	53420	53491	+	FKEGEC_00330	trnP	tRNA-Pro(tgg)	SO:0000268
VFMEETHA	cds	53493	53795	+	FKEGEC_00335		hypothetical protein	
VFMEETHA	cds	53760	54212	-	FKEGEC_00340		hypothetical protein	
VFMEETHA	cds	54212	54652	-	FKEGEC_00345		hypothetical protein	
VFMEETHA	cds	54649	55143	-	FKEGEC_00350		hypothetical protein	
VFMEETHA	cds	55163	56221	+	FKEGEC_00355		hypothetical protein	PFAM:PF00155.24
VFMEETHA	cds	56181	56975	+	FKEGEC_00360		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	SO:0001217, UniRef:UniRef50_Q73H59
VFMEETHA	cds	56969	57991	+	FKEGEC_00365		hypothetical protein	
VFMEETHA	cds	57974	58156	-	FKEGEC_00370		hypothetical protein	
VFMEETHA	cds	58137	59426	-	FKEGEC_00375		hypothetical protein	
VFMEETHA	cds	59426	60670	-	FKEGEC_00380		hypothetical protein	PFAM:PF00772.24, PFAM:PF03796.18, PFAM:PF06745.16, PFAM:PF13481.9
VFMEETHA	cds	60674	61105	-	FKEGEC_00385		hypothetical protein	
VFMEETHA	tRNA	61236	61306	-	FKEGEC_00390	trnD	tRNA-Asp(gtc)	SO:0000256
VFMEETHA	cds	61369	62175	-	FKEGEC_00395		hypothetical protein	PFAM:PF00749.24
VFMEETHA	cds	62374	63648	+	FKEGEC_00400		hypothetical protein	PFAM:PF02421.21
VFMEETHA	cds	63645	65315	+	FKEGEC_00405		hypothetical protein	PFAM:PF13932.9
VFMEETHA	cds	65391	66659	+	FKEGEC_00410		hypothetical protein	
VFMEETHA	cds	66635	67762	+	FKEGEC_00415		hypothetical protein	PFAM:PF00575.26
VFMEETHA	cds	67759	68796	-	FKEGEC_00420		hypothetical protein	
VFMEETHA	cds	68893	69447	+	FKEGEC_00425		hypothetical protein	
VFMEETHA	cds	69440	70405	-	FKEGEC_00430		hypothetical protein	PFAM:PF00226.34, PFAM:PF00684.22, PFAM:PF01556.21
VFMEETHA	cds	70411	72210	-	FKEGEC_00435	dnaK	Chaperone protein DnaK	SO:0001217, UniRef:UniRef50_A6T226
VFMEETHA	cds	72210	72707	-	FKEGEC_00440		hypothetical protein	
VFMEETHA	cds	72708	73688	+	FKEGEC_00445		hypothetical protein	PFAM:PF00793.23
VFMEETHA	cds	73671	74627	-	FKEGEC_00450		hypothetical protein	PFAM:PF03054.19
VFMEETHA	cds	74606	75259	-	FKEGEC_00455		hypothetical protein	
VFMEETHA	cds	75237	77228	-	FKEGEC_00460		hypothetical protein	
VFMEETHA	cds	77225	77842	-	FKEGEC_00465		hypothetical protein	PFAM:PF01113.23, PFAM:PF05173.17
VFMEETHA	cds	77820	78536	-	FKEGEC_00470		hypothetical protein	PFAM:PF08501.14
VFMEETHA	cds	78583	78975	+	FKEGEC_00475		3-dehydroquinate dehydratase	SO:0001217, UniRef:UniRef50_A0A346E0M3
VFMEETHA	cds	78941	79204	-	FKEGEC_00480		50S ribosomal protein L27	SO:0001217, UniRef:UniRef50_P60493
VFMEETHA	cds	79174	79491	-	FKEGEC_00485		hypothetical protein	
VFMEETHA	cds	79485	80159	-	FKEGEC_00490		hypothetical protein	
VFMEETHA	tRNA	80161	80232	-	FKEGEC_00495	trnA	tRNA-Ala(tgc)	SO:0000254
VFMEETHA	rRNA	81460	81567	-	FKEGEC_00500	rrf	5S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01985, RFAM:RF00001, SO:0000652
VFMEETHA	rRNA	81577	84326	-	FKEGEC_00505	rrl	23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
VFMEETHA	tRNA	84330	84400	-	FKEGEC_00510	trnI	(pseudo) tRNA-Ile(gat)	SO:0000263
VFMEETHA	rRNA	84397	85871	-	FKEGEC_00515	rrs	16S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01977, RFAM:RF00177, SO:0001000
VFMEETHA	cds	85875	86516	+	FKEGEC_00520		hypothetical protein	
VFMEETHA	cds	86509	87069	+	FKEGEC_00525		hypothetical protein	
VFMEETHA	cds	87071	87283	+	FKEGEC_00530		hypothetical protein	
VFMEETHA	cds	87246	88040	+	FKEGEC_00535		50S ribosomal protein L2	SO:0001217, UniRef:UniRef50_Q32B34
VFMEETHA	cds	88040	88309	+	FKEGEC_00540		30S ribosomal protein S19	SO:0001217, UniRef:UniRef50_A0A346E0N5
VFMEETHA	cds	88278	88616	+	FKEGEC_00545		hypothetical protein	PFAM:PF00237.22
VFMEETHA	cds	88600	89220	+	FKEGEC_00550		hypothetical protein	PFAM:PF00189.23, PFAM:PF07650.20
