gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	VFPENVAR	0	1188	f	0	1	Prodigal	2.6
2	VFPENVAR	1186	1257	f	1	2	Prodigal	2.6
3	VFPENVAR	1271	1685	f	0	1	Prodigal	2.6
4	VFPENVAR	1677	2265	f	0	1	Prodigal	2.6
5	VFPENVAR	2257	2719	f	0	1	Prodigal	2.6
6	VFPENVAR	2693	3053	f	0	1	Prodigal	2.6
7	VFPENVAR	3054	6837	f	0	1	Prodigal	2.6
8	VFPENVAR	6833	10667	f	0	1	Prodigal	2.6
9	VFPENVAR	10668	11064	f	0	1	Prodigal	2.6
10	VFPENVAR	11035	11506	f	0	1	Prodigal	2.6
11	VFPENVAR	11506	13567	f	0	1	Prodigal	2.6
12	VFPENVAR	13556	13892	f	0	1	Prodigal	2.6
13	VFPENVAR	13863	14295	f	0	1	Prodigal	2.6
14	VFPENVAR	14285	14358	f	1	2	Prodigal	2.6
15	VFPENVAR	14366	14765	f	0	1	Prodigal	2.6
16	VFPENVAR	14757	15669	f	0	1	Prodigal	2.6
17	VFPENVAR	15639	16332	r	0	1	Prodigal	2.6
18	VFPENVAR	16318	17425	r	0	1	Prodigal	2.6
19	VFPENVAR	17421	17814	r	0	1	Prodigal	2.6
20	VFPENVAR	17810	18110	r	0	1	Prodigal	2.6
21	VFPENVAR	18093	18897	r	0	1	Prodigal	2.6
22	VFPENVAR	18886	19444	r	0	1	Prodigal	2.6
23	VFPENVAR	19437	20799	r	0	1	Prodigal	2.6
24	VFPENVAR	20828	20900	f	0	2	Prodigal	2.6
25	VFPENVAR	20907	21774	f	0	1	Prodigal	2.6
26	VFPENVAR	21761	22280	f	0	1	Prodigal	2.6
27	VFPENVAR	22281	22824	r	0	1	Prodigal	2.6
28	VFPENVAR	23117	24239	f	0	1	Prodigal	2.6
29	VFPENVAR	24487	25531	r	0	1	Prodigal	2.6
30	VFPENVAR	25527	26223	r	0	1	Prodigal	2.6
31	VFPENVAR	26222	26819	r	0	1	Prodigal	2.6
32	VFPENVAR	26964	28005	f	0	1	Prodigal	2.6
33	VFPENVAR	27985	28726	f	0	1	Prodigal	2.6
34	VFPENVAR	28722	29115	f	0	1	Prodigal	2.6
35	VFPENVAR	29116	29199	f	1	2	Prodigal	2.6
36	VFPENVAR	29388	31728	r	0	1	Prodigal	2.6
37	VFPENVAR	29388	31638	r	0	1	Prodigal	2.6
38	VFPENVAR	31699	31882	r	0	1	Prodigal	2.6
39	VFPENVAR	31878	32019	r	0	1	Prodigal	2.6
40	VFPENVAR	32048	34214	f	0	1	Prodigal	2.6
41	VFPENVAR	34415	35117	f	0	1	Prodigal	2.6
42	VFPENVAR	34415	35117	f	0	1	Prodigal	2.6
43	VFPENVAR	35113	36244	f	0	1	Prodigal	2.6
44	VFPENVAR	36235	37087	r	0	1	Prodigal	2.6
45	VFPENVAR	37031	37799	r	0	1	Prodigal	2.6
46	VFPENVAR	37788	38787	r	0	1	Prodigal	2.6
47	VFPENVAR	38770	39343	r	0	1	Prodigal	2.6
48	VFPENVAR	39326	40559	r	0	1	Prodigal	2.6
49	VFPENVAR	40555	41938	r	0	1	Prodigal	2.6
50	VFPENVAR	41937	42903	r	0	1	Prodigal	2.6
51	VFPENVAR	48457	49825	r	0	1	Prodigal	2.6
52	VFPENVAR	49784	50759	r	0	1	Prodigal	2.6
