gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	VFPARPLA	269	1187	f	0	1	Prodigal	002006
2	VFPARPLA	1267	1681	f	0	1	Prodigal	002006
3	VFPARPLA	1683	2298	f	0	1	Prodigal	002006
4	VFPARPLA	2287	2740	f	0	1	Prodigal	002006
5	VFPARPLA	2717	3071	f	0	1	Prodigal	002006
6	VFPARPLA	3079	6844	f	0	1	Prodigal	002006
7	VFPARPLA	6840	10722	f	0	1	Prodigal	002006
8	VFPARPLA	10718	11111	f	0	1	Prodigal	002006
9	VFPARPLA	11085	11559	f	0	1	Prodigal	002006
10	VFPARPLA	11558	13625	f	0	1	Prodigal	002006
11	VFPARPLA	13621	13924	f	0	1	Prodigal	002006
12	VFPARPLA	14343	14416	f	1	2	Aragorn	001002
13	VFPARPLA	14773	15472	r	0	1	Prodigal	002006
14	VFPARPLA	15461	16556	r	0	1	Prodigal	002006
15	VFPARPLA	16552	16942	r	0	1	Prodigal	002006
16	VFPARPLA	16941	17238	r	0	1	Prodigal	002006
17	VFPARPLA	17234	18035	r	0	1	Prodigal	002006
18	VFPARPLA	18028	18580	r	0	1	Prodigal	002006
19	VFPARPLA	18841	18914	f	1	2	Aragorn	001002
20	VFPARPLA	18957	19809	f	0	1	Prodigal	002006
21	VFPARPLA	19808	20309	f	0	1	Prodigal	002006
22	VFPARPLA	20305	20854	r	0	1	Prodigal	002006
23	VFPARPLA	21180	22308	f	0	1	Prodigal	002006
24	VFPARPLA	22304	23576	r	0	1	Prodigal	002006
25	VFPARPLA	23572	24265	r	0	1	Prodigal	002006
26	VFPARPLA	24279	25119	r	0	1	Prodigal	002006
27	VFPARPLA	25160	26105	f	0	1	Prodigal	002006
28	VFPARPLA	26085	27258	f	0	1	Prodigal	002006
29	VFPARPLA	27293	27380	f	0	2	Aragorn	001002
30	VFPARPLA	27590	29804	r	0	1	Prodigal	002006
31	VFPARPLA	29810	29951	r	0	1	Prodigal	002006
32	VFPARPLA	29947	30103	r	0	1	Prodigal	002006
33	VFPARPLA	30109	32323	f	0	1	Prodigal	002006
34	VFPARPLA	32252	32558	r	0	2	Aragorn	001002
35	VFPARPLA	32564	33266	f	0	1	Prodigal	002006
36	VFPARPLA	33267	34434	f	0	1	Prodigal	002006
37	VFPARPLA	34423	35284	r	0	1	Prodigal	002006
38	VFPARPLA	35280	36024	r	0	1	Prodigal	002006
39	VFPARPLA	36011	37037	r	0	1	Prodigal	002006
40	VFPARPLA	37023	37587	r	0	1	Prodigal	002006
41	VFPARPLA	37583	38807	r	0	1	Prodigal	002006
42	VFPARPLA	38803	40186	r	0	1	Prodigal	002006
43	VFPARPLA	41357	42740	r	0	1	Prodigal	002006
44	VFPARPLA	42720	43707	r	0	1	Prodigal	002006
45	VFPARPLA	45290	46691	f	0	1	Prodigal	002006
46	VFPARPLA	46930	49900	f	0	1	Prodigal	002006
47	VFPARPLA	50045	50126	f	0	2	Aragorn	001002
48	VFPARPLA	50126	50202	f	1	2	Aragorn	001002
49	VFPARPLA	50200	50285	f	1	2	Aragorn	001002
50	VFPARPLA	51070	52111	f	0	1	Prodigal	002006
51	VFPARPLA	52088	52727	f	0	1	Prodigal	002006
52	VFPARPLA	52701	53853	f	0	1	Prodigal	002006
53	VFPARPLA	53915	54620	f	0	1	Prodigal	002006
54	VFPARPLA	54588	54855	f	0	1	Prodigal	002006
55	VFPARPLA	54832	55066	f	0	1	Prodigal	002006
56	VFPARPLA	55066	55140	r	1	2	Aragorn	001002
57	VFPARPLA	55787	55862	r	0	2	Aragorn	001002
58	VFPARPLA	55864	55936	r	0	2	Aragorn	001002
