locus_tag	ftype	length_bp	gene	EC_number	COG	product
VFDER3_00001	gene	71				
VFDER3_00001	tRNA	71				tRNA-Trp(cca)
VFDER3_00002	gene	423				
VFDER3_00002	CDS	423				hypothetical protein
VFDER3_00003	gene	636				
VFDER3_00003	CDS	636				hypothetical protein
VFDER3_00004	gene	447				
VFDER3_00004	CDS	447				hypothetical protein
VFDER3_00005	gene	417				
VFDER3_00005	CDS	417				hypothetical protein
VFDER3_00006	gene	4308	rpoB			
VFDER3_00006	CDS	4308	rpoB	2.7.7.6		DNA-directed RNA polymerase subunit beta
VFDER3_00007	gene	3942	rpoC			
VFDER3_00007	CDS	3942	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
VFDER3_00008	gene	366	rpsL			
VFDER3_00008	CDS	366	rpsL			30S ribosomal protein S12
VFDER3_00009	gene	471	rpsG			
VFDER3_00009	CDS	471	rpsG		COG0049	30S ribosomal protein S7
VFDER3_00010	gene	2058	fusA			
VFDER3_00010	CDS	2058	fusA		COG0480	Elongation factor G
VFDER3_00011	gene	312				
VFDER3_00011	CDS	312				hypothetical protein
VFDER3_00012	gene	423	def			
VFDER3_00012	CDS	423	def	3.5.1.88		Peptide deformylase
VFDER3_00013	gene	73				
VFDER3_00013	tRNA	73				tRNA-Phe(gaa)
VFDER3_00014	gene	921				
VFDER3_00014	CDS	921				hypothetical protein
VFDER3_00015	gene	390	rpsI			
VFDER3_00015	CDS	390	rpsI		COG0103	30S ribosomal protein S9
VFDER3_00016	gene	375				
VFDER3_00016	CDS	375				hypothetical protein
VFDER3_00017	gene	594				
VFDER3_00017	CDS	594				hypothetical protein
VFDER3_00018	gene	74				
VFDER3_00018	tRNA	74				tRNA-Gln(ttg)
VFDER3_00019	gene	366	rplN			
VFDER3_00019	CDS	366	rplN		COG0093	50S ribosomal protein L14
VFDER3_00020	gene	267				
VFDER3_00020	CDS	267				hypothetical protein
VFDER3_00021	gene	429	rplP			
VFDER3_00021	CDS	429	rplP		COG0197	50S ribosomal protein L16
VFDER3_00022	gene	612	rpsC			
VFDER3_00022	CDS	612	rpsC		COG0092	30S ribosomal protein S3
VFDER3_00023	gene	345				
VFDER3_00023	CDS	345				hypothetical protein
