#Annotated with Bakta v1.5.0, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1630	2226	+	VFCALKRU_00015	22.8	10.4		SO:0001217, UniParc:UPI001AF2C96E, UniRef:UniRef100_UPI001AF2C96E, UniRef:UniRef50_UPI001AF2C96E, UniRef:UniRef90_UPI001AF2C96E
contig_1	2223	2675	+	VFCALKRU_00020	17.0	10.3		SO:0001217, UniParc:UPI001AF91D55, UniRef:UniRef100_UPI001AF91D55, UniRef:UniRef50_UPI001AF91D55, UniRef:UniRef90_UPI001AF91D55
contig_1	3019	6723	+	VFCALKRU_00030	142.3	10.1	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04565.19|RNA_pol_Rpb2_3	EC:2.7.7.6, KEGG:K03043, PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19, SO:0001217, UniParc:UPI001AFBE6C7, UniRef:UniRef100_UPI001AFBE6C7, UniRef:UniRef50_UPI001AFBE6C7, UniRef:UniRef90_UPI001AFBE6C7
contig_1	6720	10481	+	VFCALKRU_00035	143.6	10.1	PF00623.23|RNA_pol_Rpb1_2, PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5, PF05000.20|RNA_pol_Rpb1_4	EC:2.7.7.6, KEGG:K03046, PFAM:PF00623.23, PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20, PFAM:PF05000.20, SO:0001217, UniParc:UPI001AFA1745, UniRef:UniRef100_UPI001AFA1745, UniRef:UniRef50_UPI001AF801A6, UniRef:UniRef90_UPI001AFA1745
contig_1	14132	14503	+	VFCALKRU_00065	14.6	10.0		SO:0001217, UniParc:UPI001AF2E379, UniRef:UniRef100_UPI001AF2E379, UniRef:UniRef50_UPI001AF2E379, UniRef:UniRef90_UPI001AF2E379
contig_1	14405	15163	-	VFCALKRU_00070	29.9	9.0	PF00398.23|RrnaAD	PFAM:PF00398.23, SO:0001217, UniParc:UPI001AF67FA6, UniRef:UniRef100_UPI001AF67FA6, UniRef:UniRef50_UPI001AF67FA6, UniRef:UniRef90_UPI001AF67FA6
contig_1	16905	17729	-	VFCALKRU_00090	31.6	9.5		EC:5.1.1.7, KEGG:K01778, SO:0001217, UniParc:UPI001AF8AD7C, UniRef:UniRef100_UPI001AF8AD7C, UniRef:UniRef50_UPI001AF8AD7C, UniRef:UniRef90_UPI001AF8AD7C
contig_1	19601	20101	+	VFCALKRU_00105	19.8	10.1		SO:0001217, UniParc:UPI001AF25D39, UniRef:UniRef100_UPI001AF25D39, UniRef:UniRef50_UPI001AF0AB03, UniRef:UniRef90_UPI001AF25D39
contig_1	22095	23369	-	VFCALKRU_00120	49.3	8.8	PF00152.23|tRNA-synt_2	PFAM:PF00152.23, SO:0001217, UniParc:UPI001AFB850A, UniRef:UniRef100_UPI001AFB850A, UniRef:UniRef50_UPI001AFB850A, UniRef:UniRef90_UPI001AFB850A
contig_1	29509	29658	-	VFCALKRU_00150	5.8	10.5		
contig_1	34939	35679	-	VFCALKRU_00175	28.9	9.5	PF00218.24|IGPS	PFAM:PF00218.24, SO:0001217, UniParc:UPI001AF63F2E, UniRef:UniRef100_UPI001AF63F2E, UniRef:UniRef50_UPI001AF63F2E, UniRef:UniRef90_UPI001AF63F2E
contig_1	41041	42372	-	VFCALKRU_00205	52.8	9.3		SO:0001217, UniRef:UniRef50_UPI001AF30165, UniRef:UniRef90_UPI001AF3B60C
contig_1	43170	43496	+	VFCALKRU_00210	12.4	10.2		SO:0001217, UniParc:UPI001AF3F1F0, UniRef:UniRef100_UPI001AF3F1F0, UniRef:UniRef50_UPI001AF3F1F0, UniRef:UniRef90_UPI001AF3F1F0
contig_1	43639	43779	+	VFCALKRU_00215	5.2	10.7		SO:0001217, UniParc:UPI001AF48B53, UniRef:UniRef100_UPI001AF48B53, UniRef:UniRef50_UPI001AF48B53, UniRef:UniRef90_UPI001AF48B53
contig_1	52793	53056	+	VFCALKRU_00265	10.1	10.6		SO:0001217, UniParc:UPI001AF3C993, UniRef:UniRef100_UPI001AF3C993, UniRef:UniRef50_UPI001AF3C993, UniRef:UniRef90_UPI001AF3C993
contig_1	53037	53264	+	VFCALKRU_00270	8.6	10.6		SO:0001217, UniParc:UPI001AF6CCCF, UniRef:UniRef100_UPI001AF6CCCF, UniRef:UniRef50_UPI001AFBD268, UniRef:UniRef90_UPI001AF6CCCF
contig_1	60998	61588	+	VFCALKRU_00320	22.3	10.2		SO:0001217, UniParc:UPI001AFA7E43, UniRef:UniRef100_UPI001AFA7E43, UniRef:UniRef50_UPI001AFA7E43, UniRef:UniRef90_UPI001AFA7E43
contig_1	70349	70795	-	VFCALKRU_00400	17.1	10.2		SO:0001217, UniParc:UPI001AF26182, UniRef:UniRef100_UPI001AF26182, UniRef:UniRef50_UPI001AF26182, UniRef:UniRef90_UPI001AF26182
contig_1	72384	72755	+	VFCALKRU_00425	14.5	10.8		SO:0001217, UniParc:UPI001AF19147, UniRef:UniRef100_UPI001AF19147, UniRef:UniRef50_UPI001AF506EC, UniRef:UniRef90_UPI001AF19147
contig_1	72711	73229	-	VFCALKRU_00430	20.5	9.8		SO:0001217, UniParc:UPI001AF9142E, UniRef:UniRef100_UPI001AF9142E, UniRef:UniRef50_UPI001AFAF962, UniRef:UniRef90_UPI001AF9142E
contig_1	73229	74089	-	VFCALKRU_00435	34.3	10.0		SO:0001217, UniRef:UniRef50_UPI001AF90583, UniRef:UniRef90_UPI001AF90583
