gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	VFSCODIS	1172	1243	f	1	2	Aragorn	001002
2	VFSCODIS	1634	2219	f	0	1	Prodigal	002006
3	VFSCODIS	2208	2637	f	0	1	Prodigal	002006
4	VFSCODIS	2593	2971	f	0	1	Prodigal	002006
5	VFSCODIS	2948	6764	f	0	1	Prodigal	002006
6	VFSCODIS	6739	10630	f	0	1	Prodigal	002006
7	VFSCODIS	10626	11010	f	0	1	Prodigal	002006
8	VFSCODIS	10985	11462	f	0	1	Prodigal	002006
9	VFSCODIS	11461	13507	f	0	1	Prodigal	002006
10	VFSCODIS	13503	13797	f	0	1	Prodigal	002006
11	VFSCODIS	14185	14258	f	1	2	Aragorn	001002
12	VFSCODIS	14265	14682	f	0	1	Prodigal	002006
13	VFSCODIS	14678	15767	r	0	1	Prodigal	002006
14	VFSCODIS	15771	16161	r	0	1	Prodigal	002006
15	VFSCODIS	16157	16445	r	0	1	Prodigal	002006
16	VFSCODIS	16441	17230	r	0	1	Prodigal	002006
17	VFSCODIS	17216	17885	r	0	1	Prodigal	002006
18	VFSCODIS	17885	19379	r	0	1	Prodigal	002006
19	VFSCODIS	19385	19459	f	1	2	Aragorn	001002
20	VFSCODIS	19467	20316	f	0	1	Prodigal	002006
21	VFSCODIS	20321	20798	f	0	1	Prodigal	002006
22	VFSCODIS	20798	21341	r	0	1	Prodigal	002006
23	VFSCODIS	21625	22732	f	0	1	Prodigal	002006
24	VFSCODIS	22732	24067	r	0	1	Prodigal	002006
25	VFSCODIS	24063	24735	r	0	1	Prodigal	002006
26	VFSCODIS	24721	25597	r	0	1	Prodigal	002006
27	VFSCODIS	27662	27745	f	1	2	Aragorn	001002
28	VFSCODIS	27898	30145	r	0	1	Prodigal	002006
29	VFSCODIS	30141	30282	r	0	1	Prodigal	002006
30	VFSCODIS	30307	32476	f	0	1	Prodigal	002006
31	VFSCODIS	32687	33365	f	0	1	Prodigal	002006
32	VFSCODIS	33330	34485	f	0	1	Prodigal	002006
33	VFSCODIS	34476	35346	r	0	1	Prodigal	002006
34	VFSCODIS	35326	36070	r	0	1	Prodigal	002006
35	VFSCODIS	36047	36947	r	0	1	Prodigal	002006
36	VFSCODIS	36930	37503	r	0	1	Prodigal	002006
37	VFSCODIS	37499	38771	r	0	1	Prodigal	002006
38	VFSCODIS	38752	40150	r	0	1	Prodigal	002006
39	VFSCODIS	40352	41606	r	0	1	Prodigal	002006
40	VFSCODIS	41574	42543	r	0	1	Prodigal	002006
41	VFSCODIS	42543	43767	f	0	1	Prodigal	002006
42	VFSCODIS	45153	45225	f	0	2	Aragorn	001002
43	VFSCODIS	48240	48314	f	1	2	Aragorn	001002
44	VFSCODIS	48313	48400	f	0	2	Aragorn	001002
45	VFSCODIS	48406	49207	f	0	1	Prodigal	002006
46	VFSCODIS	49151	50144	f	0	1	Prodigal	002006
47	VFSCODIS	50140	50728	f	0	1	Prodigal	002006
48	VFSCODIS	50708	51860	f	0	1	Prodigal	002006
49	VFSCODIS	51859	52582	f	0	1	Prodigal	002006
50	VFSCODIS	52559	52799	f	0	1	Prodigal	002006
51	VFSCODIS	52994	53069	r	0	2	Aragorn	001002
52	VFSCODIS	53180	53251	r	1	2	Aragorn	001002
53	VFSCODIS	53253	53325	r	0	2	Aragorn	001002
54	VFSCODIS	53326	53842	r	0	1	Prodigal	002006
55	VFSCODIS	53863	54895	f	0	1	Prodigal	002006
56	VFSCODIS	54870	57963	f	0	1	Prodigal	002006
57	VFSCODIS	57929	58457	f	0	1	Prodigal	002006
58	VFSCODIS	58446	59013	f	0	1	Prodigal	002006
59	VFSCODIS	60148	60220	f	0	2	Aragorn	001002
60	VFSCODIS	60221	60887	f	0	1	Prodigal	002006
61	VFSCODIS	61961	62044	r	1	2	Aragorn	001002
62	VFSCODIS	62044	62127	r	1	2	Aragorn	001002
63	VFSCODIS	62142	62724	f	0	1	Prodigal	002006
64	VFSCODIS	62720	63932	f	0	1	Prodigal	002006
65	VFSCODIS	63924	64863	f	0	1	Prodigal	002006
66	VFSCODIS	64859	65432	f	0	1	Prodigal	002006
67	VFSCODIS	65428	66037	f	0	1	Prodigal	002006
68	VFSCODIS	66033	66729	f	0	1	Prodigal	002006
69	VFSCODIS	66728	67469	f	0	1	Prodigal	002006
