gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	VFDICEUR	269	1190	f	0	1	Prodigal	2.6
2	VFDICEUR	1188	1259	f	1	2	Prodigal	2.6
3	VFDICEUR	1266	1659	f	0	1	Prodigal	2.6
4	VFDICEUR	1625	2213	f	0	1	Prodigal	2.6
5	VFDICEUR	2209	2686	f	0	1	Prodigal	2.6
6	VFDICEUR	2654	3008	f	0	1	Prodigal	2.6
7	VFDICEUR	3001	6679	f	0	1	Prodigal	2.6
8	VFDICEUR	6675	10443	f	0	1	Prodigal	2.6
9	VFDICEUR	10439	10826	f	0	1	Prodigal	2.6
10	VFDICEUR	10800	11277	f	0	1	Prodigal	2.6
11	VFDICEUR	11282	13301	f	0	1	Prodigal	2.6
12	VFDICEUR	13297	13603	f	0	1	Prodigal	2.6
13	VFDICEUR	13599	14022	f	0	1	Prodigal	2.6
14	VFDICEUR	14012	14084	f	0	2	Prodigal	2.6
15	VFDICEUR	14407	14902	r	0	1	Prodigal	2.6
16	VFDICEUR	15117	16203	r	0	1	Prodigal	2.6
17	VFDICEUR	16203	16593	r	0	1	Prodigal	2.6
18	VFDICEUR	16582	16891	r	0	1	Prodigal	2.6
19	VFDICEUR	16868	17693	r	0	1	Prodigal	2.6
20	VFDICEUR	17692	18247	r	0	1	Prodigal	2.6
21	VFDICEUR	18723	19584	f	0	1	Prodigal	2.6
22	VFDICEUR	19564	20068	f	0	1	Prodigal	2.6
23	VFDICEUR	20050	20596	r	0	1	Prodigal	2.6
24	VFDICEUR	20932	22060	f	0	1	Prodigal	2.6
25	VFDICEUR	22031	23306	r	0	1	Prodigal	2.6
26	VFDICEUR	23305	23992	r	0	1	Prodigal	2.6
27	VFDICEUR	23978	24884	r	0	1	Prodigal	2.6
28	VFDICEUR	24887	25823	f	0	1	Prodigal	2.6
29	VFDICEUR	25812	26952	f	0	1	Prodigal	2.6
30	VFDICEUR	26951	27035	f	0	2	Prodigal	2.6
31	VFDICEUR	27260	29456	r	0	1	Prodigal	2.6
32	VFDICEUR	27260	29456	r	0	1	Prodigal	2.6
33	VFDICEUR	29452	29602	r	0	1	Prodigal	2.6
34	VFDICEUR	29792	31949	f	0	1	Prodigal	2.6
35	VFDICEUR	32150	32816	f	0	1	Prodigal	2.6
36	VFDICEUR	32806	33943	f	0	1	Prodigal	2.6
37	VFDICEUR	33921	34785	r	0	1	Prodigal	2.6
38	VFDICEUR	34781	35522	r	0	1	Prodigal	2.6
39	VFDICEUR	35521	36529	r	0	1	Prodigal	2.6
40	VFDICEUR	36515	37076	r	0	1	Prodigal	2.6
41	VFDICEUR	37072	38302	r	0	1	Prodigal	2.6
42	VFDICEUR	38298	39681	r	0	1	Prodigal	2.6
43	VFDICEUR	39682	40645	r	0	1	Prodigal	2.6
44	VFDICEUR	40887	42216	r	0	1	Prodigal	2.6
45	VFDICEUR	43586	44990	f	0	1	Prodigal	2.6
46	VFDICEUR	43586	44990	f	0	1	Prodigal	2.6
47	VFDICEUR	45202	48082	f	0	1	Prodigal	2.6
48	VFDICEUR	48225	48307	f	1	2	Prodigal	2.6
49	VFDICEUR	48307	48388	f	0	2	Prodigal	2.6
50	VFDICEUR	48388	48473	f	1	2	Prodigal	2.6
51	VFDICEUR	49222	50233	f	0	1	Prodigal	2.6
52	VFDICEUR	50198	50804	f	0	1	Prodigal	2.6
53	VFDICEUR	51912	52599	f	0	1	Prodigal	2.6
54	VFDICEUR	52567	52831	f	0	1	Prodigal	2.6
55	VFDICEUR	53039	53111	r	0	2	Prodigal	2.6
56	VFDICEUR	53727	53799	r	0	2	Prodigal	2.6
57	VFDICEUR	53784	54312	r	0	1	Prodigal	2.6
58	VFDICEUR	54325	55378	f	0	1	Prodigal	2.6
59	VFDICEUR	55356	58437	f	0	1	Prodigal	2.6
60	VFDICEUR	58423	58978	f	0	1	Prodigal	2.6
61	VFDICEUR	58971	59535	f	0	1	Prodigal	2.6
62	VFDICEUR	59531	60698	f	0	1	Prodigal	2.6
63	VFDICEUR	60696	60768	f	0	2	Prodigal	2.6
64	VFDICEUR	60779	61367	f	0	1	Prodigal	2.6
65	VFDICEUR	61341	62361	f	0	1	Prodigal	2.6
66	VFDICEUR	62511	62594	r	1	2	Prodigal	2.6
67	VFDICEUR	62594	62679	r	1	2	Prodigal	2.6
68	VFDICEUR	62693	63266	f	0	1	Prodigal	2.6
69	VFDICEUR	63253	64492	f	0	1	Prodigal	2.6
70	VFDICEUR	64488	65490	f	0	1	Prodigal	2.6
71	VFDICEUR	65446	66019	f	0	1	Prodigal	2.6
72	VFDICEUR	66011	66602	f	0	1	Prodigal	2.6
73	VFDICEUR	66598	67288	f	0	1	Prodigal	2.6
74	VFDICEUR	67284	68031	f	0	1	Prodigal	2.6
75	VFDICEUR	68023	68326	f	0	1	Prodigal	2.6
76	VFDICEUR	68306	68585	f	0	1	Prodigal	2.6
77	VFDICEUR	68575	68646	f	1	2	Prodigal	2.6
78	VFDICEUR	68647	68722	f	0	2	Prodigal	2.6
79	VFDICEUR	68742	69570	f	0	1	Prodigal	2.6
