#Annotated with Bakta v1.5.0, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1266	1688	+	VFCIXPIL_00010	16.2	9.9	PF03946.17|Ribosomal_L11_N	PFAM:PF03946.17
contig_1	1678	2319	+	VFCIXPIL_00015	25.2	10.3		
contig_1	2309	2797	+	VFCIXPIL_00020	20.0	10.3		
contig_1	2763	3113	+	VFCIXPIL_00025	13.4	7.8	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
contig_1	3056	6988	+	VFCIXPIL_00030	152.8	10.0	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
contig_1	6985	10938	+	VFCIXPIL_00035	152.0	10.0	PF00623.23|RNA_pol_Rpb1_2, PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5	PFAM:PF00623.23, PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20
contig_1	13878	14180	+	VFCIXPIL_00055	11.9	10.4	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
contig_1	14756	15130	+	VFCIXPIL_00065	15.1	10.2		
contig_1	16025	17191	-	VFCIXPIL_00070	45.7	10.1		
contig_1	17229	17621	-	VFCIXPIL_00075	15.0	10.6		
contig_1	17618	17971	-	VFCIXPIL_00080	13.8	11.0		
contig_1	18948	19748	-	VFCIXPIL_00085	31.6	10.2	PF01678.22|DAP_epimerase	PFAM:PF01678.22
contig_1	21560	22234	-	VFCIXPIL_00090	25.8	10.1		
contig_1	25056	25598	+	VFCIXPIL_00100	21.7	9.9	PF01386.22|Ribosomal_L25p	PFAM:PF01386.22
contig_1	25622	26182	-	VFCIXPIL_00105	21.9	9.9	PF05175.17|MTS, PF13847.9|Methyltransf_31	PFAM:PF05175.17, PFAM:PF13847.9
contig_1	27438	28556	+	VFCIXPIL_00110	42.4	9.8	PF00155.24|Aminotran_1_2, PF00266.22|Aminotran_5	PFAM:PF00155.24, PFAM:PF00266.22
contig_1	28582	29910	-	VFCIXPIL_00115	52.5	10.1	PF00152.23|tRNA-synt_2, PF01336.28|tRNA_anti-codon	PFAM:PF00152.23, PFAM:PF01336.28
contig_1	29959	30648	-	VFCIXPIL_00120	27.0	10.3	PF03462.21|PCRF	PFAM:PF03462.21
contig_1	30632	31534	-	VFCIXPIL_00125	34.7	10.1	PF00701.25|DHDPS	PFAM:PF00701.25
contig_1	31639	32286	+	VFCIXPIL_00130	25.4	10.4		
contig_1	34723	37221	-	VFCIXPIL_00140	99.5	10.0	PF08264.16|Anticodon_1	PFAM:PF08264.16
contig_1	37202	37360	-	VFCIXPIL_00145	6.2	10.4		
contig_1	37357	37554	-	VFCIXPIL_00150	7.7	11.3		
contig_1	37770	40007	+	VFCIXPIL_00155	87.0	9.8	PF01717.21|Meth_synt_2, PF08267.15|Meth_synt_1	PFAM:PF01717.21, PFAM:PF08267.15
contig_1	40238	40981	+	VFCIXPIL_00160	29.6	10.1		
contig_1	41133	42326	+	VFCIXPIL_00165	45.6	9.9	PF01053.23|Cys_Met_Meta_PP	PFAM:PF01053.23
contig_1	42307	43110	-	VFCIXPIL_00170	31.6	10.1	PF03462.21|PCRF	PFAM:PF03462.21
contig_1	46025	47464	-	VFCIXPIL_00175	57.5	10.3	PF00749.24|tRNA-synt_1c	PFAM:PF00749.24
contig_1	52076	55129	+	VFCIXPIL_00185	120.3	10.1	PF07733.15|DNA_pol3_alpha, PF14579.9|HHH_6, PF17657.4|DNA_pol3_finger	PFAM:PF07733.15, PFAM:PF14579.9, PFAM:PF17657.4
contig_1	55071	55250	+	VFCIXPIL_00190	6.9	10.8	PF00312.25|Ribosomal_S15	PFAM:PF00312.25
contig_1	55494	56291	+	VFCIXPIL_00205	31.7	9.9	PF02219.20|MTHFR	PFAM:PF02219.20
contig_1	56293	57360	+	VFCIXPIL_00210	40.8	10.1	PF01118.27|Semialdhyde_dh, PF02774.21|Semialdhyde_dhC	PFAM:PF01118.27, PFAM:PF02774.21
contig_1	58348	58533	-	VFCIXPIL_00215	7.1	8.8		
contig_1	58738	59013	+	VFCIXPIL_00220	10.6	10.6		
contig_1	58997	59224	+	VFCIXPIL_00225	8.6	10.2		
contig_1	60622	61200	-	VFCIXPIL_00240	22.8	10.1	PF01612.23|DNA_pol_A_exo1, PF16473.8|Rv2179c-like	PFAM:PF01612.23, PFAM:PF16473.8
contig_1	74001	74351	-	VFCIXPIL_00280	13.9	11.3		
contig_1	74344	74529	-	VFCIXPIL_00285	7.4	11.9		
contig_1	74551	75000	-	VFCIXPIL_00290	17.5	9.9	PF00707.25|IF3_C, PF05198.19|IF3_N	PFAM:PF00707.25, PFAM:PF05198.19
contig_1	76660	76866	-	VFCIXPIL_00310	8.2	10.1		
contig_1	78142	78387	+	VFCIXPIL_00320	9.7	10.1		
contig_1	78356	78883	-	VFCIXPIL_00325	21.1	10.0		
contig_1	78883	79920	-	VFCIXPIL_00330	41.8	10.0		
contig_1	81067	81894	+	VFCIXPIL_00335	31.4	10.3	PF14602.9|Hexapep_2, PF14805.9|THDPS_N_2	PFAM:PF14602.9, PFAM:PF14805.9
