gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	VFOMMDIS	1180	1254	f	1	2	Aragorn	001002
2	VFOMMDIS	1613	2168	f	0	1	Prodigal	002006
3	VFOMMDIS	2148	2577	f	0	1	Prodigal	002006
4	VFOMMDIS	2554	2890	f	0	1	Prodigal	002006
5	VFOMMDIS	2886	6339	f	0	1	Prodigal	002006
6	VFOMMDIS	6335	9968	f	0	1	Prodigal	002006
7	VFOMMDIS	9942	10326	f	0	1	Prodigal	002006
8	VFOMMDIS	10303	10777	f	0	1	Prodigal	002006
9	VFOMMDIS	10776	12774	f	0	1	Prodigal	002006
10	VFOMMDIS	12770	13061	f	0	1	Prodigal	002006
11	VFOMMDIS	13440	13513	f	1	2	Aragorn	001002
12	VFOMMDIS	13521	13887	f	0	1	Prodigal	002006
13	VFOMMDIS	13870	14668	f	0	1	Prodigal	002006
14	VFOMMDIS	14636	15314	r	0	1	Prodigal	002006
15	VFOMMDIS	15294	16365	r	0	1	Prodigal	002006
16	VFOMMDIS	16361	16751	r	0	1	Prodigal	002006
17	VFOMMDIS	16747	17023	r	0	1	Prodigal	002006
18	VFOMMDIS	17012	17726	r	0	1	Prodigal	002006
19	VFOMMDIS	17722	18325	r	0	1	Prodigal	002006
20	VFOMMDIS	18321	19689	r	0	1	Prodigal	002006
21	VFOMMDIS	19723	19797	f	1	2	Aragorn	001002
22	VFOMMDIS	19803	20523	f	0	1	Prodigal	002006
23	VFOMMDIS	20519	20966	f	0	1	Prodigal	002006
24	VFOMMDIS	20951	21458	r	0	1	Prodigal	002006
25	VFOMMDIS	21458	21626	r	0	1	Prodigal	002006
26	VFOMMDIS	21721	22768	f	0	1	Prodigal	002006
27	VFOMMDIS	22756	23860	r	0	1	Prodigal	002006
28	VFOMMDIS	23856	24492	r	0	1	Prodigal	002006
29	VFOMMDIS	24484	25360	r	0	1	Prodigal	002006
30	VFOMMDIS	27246	27330	f	0	2	Aragorn	001002
31	VFOMMDIS	27462	29688	r	0	1	Prodigal	002006
32	VFOMMDIS	29684	29825	r	0	1	Prodigal	002006
33	VFOMMDIS	29803	29962	r	0	1	Prodigal	002006
34	VFOMMDIS	29993	32120	f	0	1	Prodigal	002006
35	VFOMMDIS	32319	32955	f	0	1	Prodigal	002006
36	VFOMMDIS	32951	34019	f	0	1	Prodigal	002006
37	VFOMMDIS	34001	34829	r	0	1	Prodigal	002006
38	VFOMMDIS	34818	35490	r	0	1	Prodigal	002006
39	VFOMMDIS	35461	36388	r	0	1	Prodigal	002006
40	VFOMMDIS	36335	36875	r	0	1	Prodigal	002006
41	VFOMMDIS	36871	37987	r	0	1	Prodigal	002006
42	VFOMMDIS	37983	39324	r	0	1	Prodigal	002006
43	VFOMMDIS	39541	40831	r	0	1	Prodigal	002006
44	VFOMMDIS	40811	41639	r	0	1	Prodigal	002006
45	VFOMMDIS	41623	42463	r	0	1	Prodigal	002006
46	VFOMMDIS	42503	43598	f	0	1	Prodigal	002006
47	VFOMMDIS	43594	44914	f	0	1	Prodigal	002006
48	VFOMMDIS	45141	47946	f	0	1	Prodigal	002006
49	VFOMMDIS	48044	48117	f	1	2	Aragorn	001002
50	VFOMMDIS	48117	48190	f	1	2	Aragorn	001002
51	VFOMMDIS	48190	48273	f	1	2	Aragorn	001002
52	VFOMMDIS	48960	49938	f	0	1	Prodigal	002006
53	VFOMMDIS	49897	50404	f	0	1	Prodigal	002006
54	VFOMMDIS	50396	51518	f	0	1	Prodigal	002006
55	VFOMMDIS	51514	52111	f	0	1	Prodigal	002006
56	VFOMMDIS	52092	52326	f	0	1	Prodigal	002006
57	VFOMMDIS	52306	52522	f	0	1	Prodigal	002006
58	VFOMMDIS	52525	52597	r	0	2	Aragorn	001002
