#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
VFPARPLA	3	1187	+	FBMDIO_00005	43.6	8.2	PF00009.30|GTP_EFTU, PF03143.20|GTP_EFTU_D3, PF03144.28|GTP_EFTU_D2	PFAM:PF00009.30, PFAM:PF03143.20, PFAM:PF03144.28
VFPARPLA	1268	1681	+	FBMDIO_00010	14.7	9.5	PF00298.22|Ribosomal_L11, PF03946.17|Ribosomal_L11_N	PFAM:PF00298.22, PFAM:PF03946.17
VFPARPLA	1684	2298	+	FBMDIO_00015	23.6	9.7		
VFPARPLA	2288	2740	+	FBMDIO_00020	17.6	10.1		
VFPARPLA	2718	3071	+	FBMDIO_00025	13.0	7.6	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
VFPARPLA	3080	6844	+	FBMDIO_00030	144.3	9.6	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04561.17|RNA_pol_Rpb2_2, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04561.17, PFAM:PF04565.19
VFPARPLA	6841	10722	+	FBMDIO_00035	148.1	9.7	PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5, PF05000.20|RNA_pol_Rpb1_4	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20, PFAM:PF05000.20
VFPARPLA	10719	11111	+	FBMDIO_00040	14.7	10.5		
VFPARPLA	11086	11559	+	FBMDIO_00045	18.4	10.2	PF00177.24|Ribosomal_S7	PFAM:PF00177.24
VFPARPLA	13622	13924	+	FBMDIO_00055	12.0	10.0	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
VFPARPLA	14774	15472	-	FBMDIO_00065	27.6	10.1	PF00398.23|RrnaAD	PFAM:PF00398.23
VFPARPLA	15462	16556	-	FBMDIO_00070	43.6	10.3		
VFPARPLA	16553	16942	-	FBMDIO_00075	15.2	10.4		
VFPARPLA	16942	17238	-	FBMDIO_00080	11.6	11.6		
VFPARPLA	17235	18035	-	FBMDIO_00085	31.2	10.1	PF01678.22|DAP_epimerase	PFAM:PF01678.22
VFPARPLA	18029	18580	-	FBMDIO_00090	21.6	10.2		
