# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
VFBRI	tRNA	1187	1259	+	KJKEJC_00005	trnW	tRNA-Trp(cca)	SO:0000271
VFBRI	cds	1262	1630	+	KJKEJC_00010		hypothetical protein	PFAM:PF03946.17
VFBRI	cds	1633	2097	+	KJKEJC_00015		hypothetical protein	
VFBRI	cds	2066	2422	+	KJKEJC_00020		hypothetical protein	PFAM:PF00542.22
VFBRI	cds	2403	5798	+	KJKEJC_00025		hypothetical protein	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04561.17, PFAM:PF04565.19
VFBRI	cds	5795	9640	+	KJKEJC_00030		hypothetical protein	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20, PFAM:PF05000.20
VFBRI	cds	9582	9986	+	KJKEJC_00035		30S ribosomal protein S12	SO:0001217, UniRef:UniRef50_Q01W87
VFBRI	cds	9931	10419	+	KJKEJC_00040		hypothetical protein	PFAM:PF00177.24
VFBRI	cds	10419	12434	+	KJKEJC_00045		Elongation factor G	SO:0001217, UniRef:UniRef50_A0A346E0B4
VFBRI	cds	12421	12723	+	KJKEJC_00050		hypothetical protein	PFAM:PF00338.25
VFBRI	cds	12710	12913	-	KJKEJC_00055	cspC	Cold shock protein, CspA family	COG:COG1278, COG:K, KEGG:K03704, SO:0001217, UniRef:UniRef50_P72188, UniRef:UniRef90_A0A346E0B6
VFBRI	cds	12952	13368	+	KJKEJC_00060		hypothetical protein	PFAM:PF01327.24
VFBRI	cds	13501	14001	-	KJKEJC_00065		hypothetical protein	PFAM:PF00398.23
VFBRI	cds	13991	15028	-	KJKEJC_00070		hypothetical protein	
VFBRI	cds	15025	15405	-	KJKEJC_00075		hypothetical protein	
VFBRI	cds	15402	15686	-	KJKEJC_00080		hypothetical protein	
VFBRI	cds	15683	16483	-	KJKEJC_00085		hypothetical protein	PFAM:PF01678.22
VFBRI	cds	16480	17115	-	KJKEJC_00090		hypothetical protein	
VFBRI	cds	17134	18438	-	KJKEJC_00095		hypothetical protein	PFAM:PF10662.12
VFBRI	cds	18493	19389	+	KJKEJC_00100		hypothetical protein	PFAM:PF00156.30, PFAM:PF13793.9, PFAM:PF14572.9, PFAM:PF14681.9
VFBRI	cds	19386	19886	+	KJKEJC_00105		hypothetical protein	PFAM:PF01386.22
VFBRI	cds	19883	20392	-	KJKEJC_00110		hypothetical protein	
VFBRI	cds	20394	21572	+	KJKEJC_00115		cysteine desulfurase	SO:0001217, UniRef:UniRef50_A0A346E0D2
VFBRI	cds	21580	22830	-	KJKEJC_00120		Lysine--tRNA ligase	SO:0001217, UniRef:UniRef50_A0A346E0D4
