#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
VFPARIOC	1257	1646	+	EMNNHI_00010	15.2	10.4		
VFPARIOC	1636	2283	+	EMNNHI_00015	26.2	10.0		
VFPARIOC	2252	2701	+	EMNNHI_00020	18.3	10.0		
VFPARIOC	2688	3032	+	EMNNHI_00025	13.2	9.6	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
VFPARIOC	3029	6802	+	EMNNHI_00030	149.7	9.8	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
VFPARIOC	6799	10665	+	EMNNHI_00035	151.4	9.7	PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5, PF05000.20|RNA_pol_Rpb1_4	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20, PFAM:PF05000.20
VFPARIOC	10662	11048	+	EMNNHI_00040	14.6	10.7		
VFPARIOC	11011	11499	+	EMNNHI_00045	19.1	10.3	PF00177.24|Ribosomal_S7	PFAM:PF00177.24
VFPARIOC	13532	13879	+	EMNNHI_00055	14.1	9.9	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
VFPARIOC	14688	15449	+	EMNNHI_00065	30.7	9.8	PF02091.18|tRNA-synt_2e	PFAM:PF02091.18
VFPARIOC	15446	17044	+	EMNNHI_00070	66.7	10.2		
VFPARIOC	16988	17704	-	EMNNHI_00075	29.2	10.1	PF00398.23|RrnaAD	PFAM:PF00398.23
VFPARIOC	17697	18815	-	EMNNHI_00080	44.4	10.2		
VFPARIOC	18812	19198	-	EMNNHI_00085	15.0	10.6		
VFPARIOC	19198	19527	-	EMNNHI_00090	12.8	10.4		
VFPARIOC	19524	20288	-	EMNNHI_00095	30.7	9.9		
VFPARIOC	20300	20938	-	EMNNHI_00100	25.1	9.8		
VFPARIOC	22545	23387	+	EMNNHI_00110	34.2	10.1	PF00156.30|Pribosyltran, PF13793.9|Pribosyltran_N	PFAM:PF00156.30, PFAM:PF13793.9
VFPARIOC	23359	23814	+	EMNNHI_00115	18.4	10.3		
VFPARIOC	23800	24363	-	EMNNHI_00120	21.6	10.4	PF05175.17|MTS	PFAM:PF05175.17
VFPARIOC	24645	25736	+	EMNNHI_00125	42.6	10.1	PF00155.24|Aminotran_1_2, PF00266.22|Aminotran_5	PFAM:PF00155.24, PFAM:PF00266.22
VFPARIOC	25726	27015	-	EMNNHI_00130	51.7	9.9	PF00152.23|tRNA-synt_2, PF01336.28|tRNA_anti-codon, PF01409.23|tRNA-synt_2d	PFAM:PF00152.23, PFAM:PF01336.28, PFAM:PF01409.23
VFPARIOC	27020	27673	-	EMNNHI_00135	25.6	10.0	PF03462.21|PCRF	PFAM:PF03462.21
VFPARIOC	27642	28229	-	EMNNHI_00140	23.1	9.7	PF00701.25|DHDPS	PFAM:PF00701.25
VFPARIOC	30884	33190	-	EMNNHI_00150	93.4	10.0	PF08264.16|Anticodon_1	PFAM:PF08264.16
VFPARIOC	33187	33324	-	EMNNHI_00155	5.7	10.1		
