gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	VFTETMAC	0	1188	f	0	1	Prodigal	2.6
2	VFTETMAC	1178	1250	f	0	2	Prodigal	2.6
3	VFTETMAC	1257	1641	f	0	1	Prodigal	2.6
4	VFTETMAC	1633	2272	f	0	1	Prodigal	2.6
5	VFTETMAC	2264	2717	f	0	1	Prodigal	2.6
6	VFTETMAC	2691	3048	f	0	1	Prodigal	2.6
7	VFTETMAC	3044	6941	f	0	1	Prodigal	2.6
8	VFTETMAC	6937	10840	f	0	1	Prodigal	2.6
9	VFTETMAC	10836	11232	f	0	1	Prodigal	2.6
10	VFTETMAC	11200	11674	f	0	1	Prodigal	2.6
11	VFTETMAC	11673	13722	f	0	1	Prodigal	2.6
12	VFTETMAC	13709	14006	f	0	1	Prodigal	2.6
13	VFTETMAC	14002	14425	f	0	1	Prodigal	2.6
14	VFTETMAC	14415	14488	f	1	2	Prodigal	2.6
15	VFTETMAC	14821	15295	r	0	1	Prodigal	2.6
16	VFTETMAC	15513	16620	r	0	1	Prodigal	2.6
17	VFTETMAC	16613	17000	r	0	1	Prodigal	2.6
18	VFTETMAC	17005	17341	r	0	1	Prodigal	2.6
19	VFTETMAC	17327	18131	r	0	1	Prodigal	2.6
20	VFTETMAC	18131	18770	r	0	1	Prodigal	2.6
21	VFTETMAC	18759	20292	r	0	1	Prodigal	2.6
22	VFTETMAC	20327	20399	f	0	2	Prodigal	2.6
23	VFTETMAC	20404	21277	f	0	1	Prodigal	2.6
24	VFTETMAC	21768	22329	r	0	1	Prodigal	2.6
25	VFTETMAC	22427	23549	f	0	1	Prodigal	2.6
26	VFTETMAC	23549	24854	r	0	1	Prodigal	2.6
27	VFTETMAC	24857	25556	r	0	1	Prodigal	2.6
28	VFTETMAC	25533	26442	r	0	1	Prodigal	2.6
29	VFTETMAC	26442	28557	f	0	1	Prodigal	2.6
30	VFTETMAC	28555	28639	f	0	2	Prodigal	2.6
31	VFTETMAC	28981	29176	r	0	1	Prodigal	2.6
32	VFTETMAC	29195	31412	f	0	1	Prodigal	2.6
33	VFTETMAC	31624	32371	f	0	1	Prodigal	2.6
34	VFTETMAC	32367	33501	f	0	1	Prodigal	2.6
35	VFTETMAC	32367	33501	f	0	1	Prodigal	2.6
36	VFTETMAC	32367	33501	f	0	1	Prodigal	2.6
37	VFTETMAC	33489	34296	r	0	1	Prodigal	2.6
