gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	VFSTEMIN	0	1188	f	0	1	Prodigal	2.6
2	VFSTEMIN	1198	1588	f	0	1	Prodigal	2.6
3	VFSTEMIN	2194	2575	f	0	1	Prodigal	2.6
4	VFSTEMIN	2549	2912	f	0	1	Prodigal	2.6
5	VFSTEMIN	2908	6265	f	0	1	Prodigal	2.6
6	VFSTEMIN	6257	10031	f	0	1	Prodigal	2.6
7	VFSTEMIN	10008	10374	f	0	1	Prodigal	2.6
8	VFSTEMIN	10370	10835	f	0	1	Prodigal	2.6
9	VFSTEMIN	10841	12908	f	0	1	Prodigal	2.6
10	VFSTEMIN	12904	13204	f	0	1	Prodigal	2.6
11	VFSTEMIN	13397	13838	f	0	1	Prodigal	2.6
12	VFSTEMIN	14392	14770	r	0	1	Prodigal	2.6
13	VFSTEMIN	14756	15038	r	0	1	Prodigal	2.6
14	VFSTEMIN	15030	15813	r	0	1	Prodigal	2.6
15	VFSTEMIN	17803	18652	f	0	1	Prodigal	2.6
16	VFSTEMIN	19062	19575	r	0	1	Prodigal	2.6
17	VFSTEMIN	20278	21106	r	0	1	Prodigal	2.6
18	VFSTEMIN	21143	22064	f	0	1	Prodigal	2.6
19	VFSTEMIN	22050	23169	f	0	1	Prodigal	2.6
20	VFSTEMIN	23208	25227	r	0	1	Prodigal	2.6
21	VFSTEMIN	23208	25227	r	0	1	Prodigal	2.6
22	VFSTEMIN	25546	27736	f	0	1	Prodigal	2.6
23	VFSTEMIN	27949	28660	f	0	1	Prodigal	2.6
24	VFSTEMIN	28656	29754	f	0	1	Prodigal	2.6
25	VFSTEMIN	29727	30426	r	0	1	Prodigal	2.6
26	VFSTEMIN	30484	31864	r	0	1	Prodigal	2.6
27	VFSTEMIN	31942	32782	r	0	1	Prodigal	2.6
28	VFSTEMIN	32840	34001	f	0	1	Prodigal	2.6
29	VFSTEMIN	32840	34001	f	0	1	Prodigal	2.6
30	VFSTEMIN	34207	36964	f	0	1	Prodigal	2.6
31	VFSTEMIN	37091	37805	f	0	1	Prodigal	2.6
32	VFSTEMIN	37801	38797	f	0	1	Prodigal	2.6
33	VFSTEMIN	38798	39152	f	0	1	Prodigal	2.6
34	VFSTEMIN	39321	39987	f	0	1	Prodigal	2.6
35	VFSTEMIN	39321	39987	f	0	1	Prodigal	2.6
36	VFSTEMIN	39994	40507	r	0	1	Prodigal	2.6
37	VFSTEMIN	40556	41585	f	0	1	Prodigal	2.6
38	VFSTEMIN	41574	44688	f	0	1	Prodigal	2.6
39	VFSTEMIN	44644	45166	f	0	1	Prodigal	2.6
40	VFSTEMIN	45134	45653	f	0	1	Prodigal	2.6
41	VFSTEMIN	45649	46786	f	0	1	Prodigal	2.6
42	VFSTEMIN	47458	48226	f	0	1	Prodigal	2.6
43	VFSTEMIN	48260	48881	f	0	1	Prodigal	2.6
44	VFSTEMIN	48853	50059	f	0	1	Prodigal	2.6
45	VFSTEMIN	50031	51015	f	0	1	Prodigal	2.6
46	VFSTEMIN	50995	51547	f	0	1	Prodigal	2.6
47	VFSTEMIN	51546	52131	f	0	1	Prodigal	2.6
48	VFSTEMIN	52118	52817	f	0	1	Prodigal	2.6
49	VFSTEMIN	52798	53542	f	0	1	Prodigal	2.6
50	VFSTEMIN	53541	53835	f	0	1	Prodigal	2.6
51	VFSTEMIN	53831	54113	f	0	1	Prodigal	2.6
52	VFSTEMIN	54218	55043	f	0	1	Prodigal	2.6
53	VFSTEMIN	55046	55406	r	0	1	Prodigal	2.6
54	VFSTEMIN	55538	55988	r	0	1	Prodigal	2.6
55	VFSTEMIN	55989	57030	r	0	1	Prodigal	2.6
56	VFSTEMIN	57229	57301	r	0	2	Prodigal	2.6
57	VFSTEMIN	59179	59914	f	0	1	Prodigal	2.6
58	VFSTEMIN	59907	60969	f	0	1	Prodigal	2.6
59	VFSTEMIN	60925	62200	r	0	1	Prodigal	2.6
60	VFSTEMIN	62196	63315	r	0	1	Prodigal	2.6
61	VFSTEMIN	63311	64451	r	0	1	Prodigal	2.6
62	VFSTEMIN	64456	64789	r	0	1	Prodigal	2.6
63	VFSTEMIN	64904	65951	f	0	1	Prodigal	2.6
64	VFSTEMIN	65963	66203	f	0	1	Prodigal	2.6
65	VFSTEMIN	66213	67371	f	0	1	Prodigal	2.6
66	VFSTEMIN	67456	67690	f	0	1	Prodigal	2.6
67	VFSTEMIN	67686	69246	f	0	1	Prodigal	2.6
68	VFSTEMIN	69247	70513	f	0	1	Prodigal	2.6
69	VFSTEMIN	70499	71579	r	0	1	Prodigal	2.6
70	VFSTEMIN	71683	72316	f	0	1	Prodigal	2.6
71	VFSTEMIN	72304	73282	r	0	1	Prodigal	2.6
72	VFSTEMIN	73278	75078	r	0	1	Prodigal	2.6
73	VFSTEMIN	75180	76128	f	0	1	Prodigal	2.6
74	VFSTEMIN	76720	77299	r	0	1	Prodigal	2.6
75	VFSTEMIN	77943	78372	f	0	1	Prodigal	2.6
76	VFSTEMIN	78398	78641	r	0	1	Prodigal	2.6
77	VFSTEMIN	79256	80465	f	0	1	Prodigal	2.6
78	VFSTEMIN	80458	80547	r	1	2	Prodigal	2.6
79	VFSTEMIN	80591	83451	r	1	2	Prodigal	2.6
80	VFSTEMIN	83543	83615	r	0	2	Prodigal	2.6
81	VFSTEMIN	83644	85102	r	0	2	Prodigal	2.6
82	VFSTEMIN	85225	85627	f	0	1	Prodigal	2.6
83	VFSTEMIN	85635	86100	f	0	1	Prodigal	2.6
84	VFSTEMIN	86270	87074	f	0	1	Prodigal	2.6
85	VFSTEMIN	87070	87325	f	0	1	Prodigal	2.6
86	VFSTEMIN	87308	87626	f	0	1	Prodigal	2.6
87	VFSTEMIN	87618	88224	f	0	1	Prodigal	2.6
88	VFSTEMIN	88243	88657	f	0	1	Prodigal	2.6
89	VFSTEMIN	88740	88959	f	0	1	Prodigal	2.6
90	VFSTEMIN	88898	89339	f	0	1	Prodigal	2.6
91	VFSTEMIN	89465	90026	f	0	1	Prodigal	2.6
92	VFSTEMIN	90018	90267	f	0	1	Prodigal	2.6
93	VFSTEMIN	90277	90661	f	0	1	Prodigal	2.6
94	VFSTEMIN	90653	91181	f	0	1	Prodigal	2.6
95	VFSTEMIN	91430	91853	f	0	1	Prodigal	2.6
96	VFSTEMIN	91845	92157	f	0	1	Prodigal	2.6
97	VFSTEMIN	92143	92371	f	0	1	Prodigal	2.6
98	VFSTEMIN	92367	92484	f	0	1	Prodigal	2.6
99	VFSTEMIN	92480	92831	f	0	1	Prodigal	2.6
100	VFSTEMIN	92830	93166	f	0	1	Prodigal	2.6
