locus_tag	ftype	length_bp	gene	EC_number	COG	product
VFPYRVIR_00001	CDS	1188	tufA		COG0050	Elongation factor Tu
VFPYRVIR_00001	gene	1188	tufA			
VFPYRVIR_00002	tRNA	72				tRNA-Trp(cca)
VFPYRVIR_00002	gene	72				
VFPYRVIR_00003	CDS	411	rplK		COG0080	50S ribosomal protein L11
VFPYRVIR_00003	gene	411	rplK			
VFPYRVIR_00004	CDS	633				hypothetical protein
VFPYRVIR_00004	gene	633				
VFPYRVIR_00005	CDS	456	rplJ			50S ribosomal protein L10
VFPYRVIR_00005	gene	456	rplJ			
VFPYRVIR_00006	CDS	351	rplL			50S ribosomal protein L7/L12
VFPYRVIR_00006	gene	351	rplL			
VFPYRVIR_00007	CDS	3777	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
VFPYRVIR_00007	gene	3777	rpoB			
VFPYRVIR_00008	CDS	3840	rpoC	2.7.7.6		DNA-directed RNA polymerase subunit beta'
VFPYRVIR_00008	gene	3840	rpoC			
VFPYRVIR_00009	CDS	387	rpsL		COG0048	30S ribosomal protein S12
VFPYRVIR_00009	gene	387	rpsL			
VFPYRVIR_00010	CDS	471	rpsG		COG0049	30S ribosomal protein S7
VFPYRVIR_00010	gene	471	rpsG			
VFPYRVIR_00011	CDS	2070	fusA		COG0480	Elongation factor G
VFPYRVIR_00011	gene	2070	fusA			
VFPYRVIR_00012	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
VFPYRVIR_00012	gene	309	rpsJ			
VFPYRVIR_00013	CDS	432	def1	3.5.1.88		Peptide deformylase 1
VFPYRVIR_00013	gene	432	def1			
VFPYRVIR_00014	tRNA	73				tRNA-Phe(gaa)
VFPYRVIR_00014	gene	73				
VFPYRVIR_00015	CDS	405				hypothetical protein
VFPYRVIR_00015	gene	405				
VFPYRVIR_00016	CDS	897				hypothetical protein
VFPYRVIR_00016	gene	897				
VFPYRVIR_00017	CDS	681	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
VFPYRVIR_00017	gene	681	rsmA			
VFPYRVIR_00018	CDS	1113	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
VFPYRVIR_00018	gene	1113	tyrS			
VFPYRVIR_00019	CDS	393	rpsI		COG0103	30S ribosomal protein S9
VFPYRVIR_00019	gene	393	rpsI			
VFPYRVIR_00020	CDS	294	rplM		COG0102	50S ribosomal protein L13
VFPYRVIR_00020	gene	294	rplM			
VFPYRVIR_00021	CDS	804	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
VFPYRVIR_00021	gene	804	dapF			
VFPYRVIR_00022	CDS	558				hypothetical protein
VFPYRVIR_00022	gene	558				
VFPYRVIR_00023	CDS	1335	infB		COG0532	Translation initiation factor IF-2
VFPYRVIR_00023	gene	1335	infB			
VFPYRVIR_00024	tRNA	72				tRNA-Gln(ttg)
VFPYRVIR_00024	gene	72				
VFPYRVIR_00025	CDS	852	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
VFPYRVIR_00025	gene	852	prs			
VFPYRVIR_00026	CDS	513	rplY			50S ribosomal protein L25
VFPYRVIR_00026	gene	513	rplY			
VFPYRVIR_00027	CDS	549	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
VFPYRVIR_00027	gene	549	rsmD			
VFPYRVIR_00028	CDS	1113	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
VFPYRVIR_00028	gene	1113	iscS			
VFPYRVIR_00029	CDS	1302	lysS	6.1.1.6		Lysine--tRNA ligase
VFPYRVIR_00029	gene	1302	lysS			
VFPYRVIR_00030	CDS	717	prfA_1		COG0216	Peptide chain release factor 1
VFPYRVIR_00030	gene	717	prfA_1			
VFPYRVIR_00031	CDS	855	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
VFPYRVIR_00031	gene	855	dapA			
VFPYRVIR_00032	CDS	807	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
VFPYRVIR_00032	gene	807	tilS			
VFPYRVIR_00033	CDS	741	ask	2.7.2.4	COG0527	Aspartokinase
VFPYRVIR_00033	gene	741	ask			
VFPYRVIR_00034	CDS	390				hypothetical protein
VFPYRVIR_00034	gene	390				
VFPYRVIR_00035	tRNA	84				tRNA-Ser(gct)
VFPYRVIR_00035	gene	84				
VFPYRVIR_00036	CDS	198				hypothetical protein
VFPYRVIR_00036	gene	198				
VFPYRVIR_00037	CDS	2340	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
VFPYRVIR_00037	gene	2340	ileS			
VFPYRVIR_00038	CDS	177				hypothetical protein
VFPYRVIR_00038	gene	177				
VFPYRVIR_00039	CDS	135	rpmB			50S ribosomal protein L28
VFPYRVIR_00039	gene	135	rpmB			
VFPYRVIR_00040	CDS	2172	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
VFPYRVIR_00040	gene	2172	metE			
VFPYRVIR_00041	CDS	198				hypothetical protein
VFPYRVIR_00041	gene	198				
VFPYRVIR_00042	CDS	567	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
VFPYRVIR_00042	gene	567	rluC			
VFPYRVIR_00043	CDS	1137	metC	4.4.1.8	COG0626	Cystathionine beta-lyase
VFPYRVIR_00043	gene	1137	metC			
VFPYRVIR_00044	CDS	858	prfA_2		COG0216	Peptide chain release factor 1
VFPYRVIR_00044	gene	858	prfA_2			
VFPYRVIR_00045	CDS	765	trpC	4.1.1.48	COG0134	Indole-3-glycerol phosphate synthase
VFPYRVIR_00045	gene	765	trpC			
VFPYRVIR_00046	CDS	990	trpD	2.4.2.18		Anthranilate phosphoribosyltransferase
VFPYRVIR_00046	gene	990	trpD			
VFPYRVIR_00047	CDS	621	pabA	2.6.1.85	COG0512	Aminodeoxychorismate synthase component 2
VFPYRVIR_00047	gene	621	pabA			
VFPYRVIR_00048	CDS	1230	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
VFPYRVIR_00048	gene	1230	pabB			
VFPYRVIR_00049	CDS	1374	argH	4.3.2.1	COG0165	Argininosuccinate lyase
VFPYRVIR_00049	gene	1374	argH			
VFPYRVIR_00050	CDS	966	trpS2	6.1.1.2	COG0180	Tryptophan--tRNA ligase 2
VFPYRVIR_00050	gene	966	trpS2			
VFPYRVIR_00051	CDS	1389	glnS	6.1.1.18	COG0008	Glutamine--tRNA ligase
VFPYRVIR_00051	gene	1389	glnS			
VFPYRVIR_00052	CDS	972	thrB	2.7.1.39	COG2334	Homoserine kinase
VFPYRVIR_00052	gene	972	thrB			
VFPYRVIR_00053	CDS	1272	hrdA		COG0568	RNA polymerase principal sigma factor HrdA
VFPYRVIR_00053	gene	1272	hrdA			
VFPYRVIR_00054	CDS	3027	dnaE1	2.7.7.7		DNA polymerase III subunit alpha
VFPYRVIR_00054	gene	3027	dnaE1			
VFPYRVIR_00055	CDS	168				hypothetical protein
VFPYRVIR_00055	gene	168				
VFPYRVIR_00056	tRNA	82				tRNA-Leu(aag)
VFPYRVIR_00056	gene	82				
VFPYRVIR_00057	tRNA	89				tRNA-Leu(tag)
VFPYRVIR_00057	gene	89				
VFPYRVIR_00058	tRNA	85				tRNA-Ser(aga)
VFPYRVIR_00058	gene	85				
VFPYRVIR_00059	CDS	330				hypothetical protein
VFPYRVIR_00059	gene	330				
VFPYRVIR_00060	CDS	1032	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
VFPYRVIR_00060	gene	1032	asd			
VFPYRVIR_00061	CDS	639	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
VFPYRVIR_00061	gene	639	trpF			
VFPYRVIR_00062	CDS	1131	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
VFPYRVIR_00062	gene	1131	trpB			
VFPYRVIR_00063	CDS	690	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
VFPYRVIR_00063	gene	690	trpA			
VFPYRVIR_00064	CDS	264	rpsP			30S ribosomal protein S16
VFPYRVIR_00064	gene	264	rpsP			
VFPYRVIR_00065	CDS	231				hypothetical protein
VFPYRVIR_00065	gene	231				
VFPYRVIR_00066	tRNA	72				tRNA-Asn(gtt)
VFPYRVIR_00066	gene	72				
VFPYRVIR_00067	CDS	495				hypothetical protein
VFPYRVIR_00067	gene	495				
VFPYRVIR_00068	CDS	159	rpmF			50S ribosomal protein L32
VFPYRVIR_00068	gene	159	rpmF			
VFPYRVIR_00069	tRNA	72				tRNA-Cys(gca)
VFPYRVIR_00069	gene	72				
VFPYRVIR_00070	tRNA	71				tRNA-Gly(gcc)
VFPYRVIR_00070	gene	71				
VFPYRVIR_00071	CDS	363	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
VFPYRVIR_00071	gene	363	dnaQ			
VFPYRVIR_00072	CDS	1002	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
VFPYRVIR_00072	gene	1002	carA			
VFPYRVIR_00073	CDS	3078	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
VFPYRVIR_00073	gene	3078	carB			
VFPYRVIR_00074	CDS	537	rlmE	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
VFPYRVIR_00074	gene	537	rlmE			
VFPYRVIR_00075	CDS	546	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
VFPYRVIR_00075	gene	546	clpP			
VFPYRVIR_00076	CDS	1194	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
VFPYRVIR_00076	gene	1194	clpX			
VFPYRVIR_00077	tRNA	72				tRNA-Val(tac)
VFPYRVIR_00077	gene	72				
VFPYRVIR_00078	CDS	768				hypothetical protein
VFPYRVIR_00078	gene	768				
VFPYRVIR_00079	CDS	1035	dnaX	2.7.7.7	COG2812	DNA polymerase III subunit tau
VFPYRVIR_00079	gene	1035	dnaX			
VFPYRVIR_00080	CDS	429				hypothetical protein
VFPYRVIR_00080	gene	429				
VFPYRVIR_00081	tRNA	84				tRNA-Leu(caa)
VFPYRVIR_00081	gene	84				
VFPYRVIR_00082	tRNA	83				tRNA-Ser(tga)
VFPYRVIR_00082	gene	83				
VFPYRVIR_00083	tRNA	73				tRNA-Arg(acg)
VFPYRVIR_00083	gene	73				
VFPYRVIR_00084	CDS	573	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
VFPYRVIR_00084	gene	573	hisG			
VFPYRVIR_00085	CDS	1236	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
VFPYRVIR_00085	gene	1236	hisD			
VFPYRVIR_00086	CDS	933	hisC2	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase 2
VFPYRVIR_00086	gene	933	hisC2			
VFPYRVIR_00087	CDS	582	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
VFPYRVIR_00087	gene	582	hisB			
VFPYRVIR_00088	CDS	585	hisH	2.4.2.-	COG0118	Imidazole glycerol phosphate synthase subunit HisH
VFPYRVIR_00088	gene	585	hisH			
VFPYRVIR_00089	CDS	681	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
VFPYRVIR_00089	gene	681	hisA			
VFPYRVIR_00090	CDS	744	hisF	4.1.3.-	COG0107	Imidazole glycerol phosphate synthase subunit HisF
VFPYRVIR_00090	gene	744	hisF			
VFPYRVIR_00091	CDS	294	hisI	3.5.4.19	COG0139	Phosphoribosyl-AMP cyclohydrolase
VFPYRVIR_00091	gene	294	hisI			
VFPYRVIR_00092	CDS	273	hisE	3.6.1.31		Phosphoribosyl-ATP pyrophosphatase
VFPYRVIR_00092	gene	273	hisE			
VFPYRVIR_00093	tRNA	73				tRNA-Thr(tgt)
VFPYRVIR_00093	gene	73				
VFPYRVIR_00094	tRNA	73				tRNA-His(gtg)
VFPYRVIR_00094	gene	73				
VFPYRVIR_00095	CDS	897	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase 1, anabolic
VFPYRVIR_00095	gene	897	argF			
VFPYRVIR_00096	tRNA	75				tRNA-Lys(ttt)
VFPYRVIR_00096	gene	75				
VFPYRVIR_00097	CDS	366	rplT		COG0292	50S ribosomal protein L20
VFPYRVIR_00097	gene	366	rplT			
VFPYRVIR_00098	CDS	180	rpmI			50S ribosomal protein L35
VFPYRVIR_00098	gene	180	rpmI			
VFPYRVIR_00099	CDS	456	infC		COG0290	Translation initiation factor IF-3
VFPYRVIR_00099	gene	456	infC			
VFPYRVIR_00100	tRNA	74				tRNA-Val(aac)
VFPYRVIR_00100	gene	74				
VFPYRVIR_00101	CDS	1125	aroC	4.2.3.5	COG0082	Chorismate synthase
VFPYRVIR_00101	gene	1125	aroC			
VFPYRVIR_00102	tRNA	72				tRNA-Arg(tct)
VFPYRVIR_00102	gene	72				
VFPYRVIR_00103	CDS	132				hypothetical protein
VFPYRVIR_00103	gene	132				
VFPYRVIR_00104	tRNA	73				tRNA-Met(cat)
VFPYRVIR_00104	gene	73				
VFPYRVIR_00105	tRNA	73				tRNA-Pro(tgg)
VFPYRVIR_00105	gene	73				
VFPYRVIR_00106	CDS	393	smpB			SsrA-binding protein
VFPYRVIR_00106	gene	393	smpB			
VFPYRVIR_00107	CDS	492				hypothetical protein
VFPYRVIR_00107	gene	492				
VFPYRVIR_00108	CDS	1014				hypothetical protein
