#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
VFPENVAR	1269	1685	+	CNIOOC_00010	15.8	10.0	PF03946.17|Ribosomal_L11_N	PFAM:PF03946.17
VFPENVAR	1675	2265	+	CNIOOC_00015	23.5	9.9		
VFPENVAR	2258	2719	+	CNIOOC_00020	18.5	10.1		
VFPENVAR	2694	3053	+	CNIOOC_00025	13.9	5.7	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
VFPENVAR	3055	6834	+	CNIOOC_00030	147.8	9.9	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
VFPENVAR	6834	10667	+	CNIOOC_00035	146.5	10.0	PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5, PF05000.20|RNA_pol_Rpb1_4	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20, PFAM:PF05000.20
VFPENVAR	10669	11064	+	CNIOOC_00040	15.1	10.7		
VFPENVAR	11036	11506	+	CNIOOC_00045	18.4	10.4	PF00177.24|Ribosomal_S7	PFAM:PF00177.24
VFPENVAR	13557	13889	+	CNIOOC_00055	13.0	10.1	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
VFPENVAR	14367	14765	+	CNIOOC_00065	15.9	10.0		
VFPENVAR	14758	15669	+	CNIOOC_00070	37.9	10.4		
VFPENVAR	15640	16332	-	CNIOOC_00075	27.4	10.0	PF00398.23|RrnaAD	PFAM:PF00398.23
VFPENVAR	16319	17425	-	CNIOOC_00080	43.8	10.3		
VFPENVAR	17422	17814	-	CNIOOC_00085	15.2	10.7		
VFPENVAR	17814	18113	-	CNIOOC_00090	11.7	10.6		
VFPENVAR	18094	18897	-	CNIOOC_00095	31.7	10.0	PF01678.22|DAP_epimerase	PFAM:PF01678.22
VFPENVAR	18887	19444	-	CNIOOC_00100	22.5	10.1		
VFPENVAR	19441	20799	-	CNIOOC_00105	53.2	10.0	PF00009.30|GTP_EFTU, PF10662.12|PduV-EutP	PFAM:PF00009.30, PFAM:PF10662.12
VFPENVAR	20908	21774	+	CNIOOC_00115	34.0	10.0	PF13793.9|Pribosyltran_N, PF14572.9|Pribosyl_synth	PFAM:PF13793.9, PFAM:PF14572.9
VFPENVAR	21762	22280	+	CNIOOC_00120	20.7	10.4		
VFPENVAR	22282	22824	-	CNIOOC_00125	20.9	10.1	PF05175.17|MTS, PF08241.15|Methyltransf_11, PF13649.9|Methyltransf_25, PF13847.9|Methyltransf_31	PFAM:PF05175.17, PFAM:PF08241.15, PFAM:PF13649.9, PFAM:PF13847.9
VFPENVAR	23118	24239	+	CNIOOC_00135	43.2	9.9	PF00266.22|Aminotran_5	PFAM:PF00266.22
VFPENVAR	24231	24347	-	CNIOOC_00140	4.2	7.7	PF00152.23|tRNA-synt_2	PFAM:PF00152.23
VFPENVAR	24488	25531	-	CNIOOC_00145	41.5	10.1	PF00152.23|tRNA-synt_2	PFAM:PF00152.23
VFPENVAR	25528	26226	-	CNIOOC_00150	27.3	10.2	PF03462.21|PCRF	PFAM:PF03462.21
VFPENVAR	26223	26819	-	CNIOOC_00155	23.6	10.4	PF00701.25|DHDPS	PFAM:PF00701.25
VFPENVAR	26965	28005	+	CNIOOC_00160	40.6	10.4		
VFPENVAR	27986	28726	+	CNIOOC_00165	28.3	9.9		
VFPENVAR	28723	29115	+	CNIOOC_00170	15.7	10.1		
VFPENVAR	29389	31728	-	CNIOOC_00180	94.3	10.1	PF08264.16|Anticodon_1	PFAM:PF08264.16
VFPENVAR	31700	31882	-	CNIOOC_00185	7.5	10.4		
VFPENVAR	31879	32019	-	CNIOOC_00190	5.5	11.9		
VFPENVAR	32025	34214	+	CNIOOC_00195	86.7	10.1	PF01717.21|Meth_synt_2, PF08267.15|Meth_synt_1	PFAM:PF01717.21, PFAM:PF08267.15
VFPENVAR	34416	35117	+	CNIOOC_00200	28.8	10.3		
VFPENVAR	35114	36244	+	CNIOOC_00205	44.1	10.0	PF00155.24|Aminotran_1_2, PF01053.23|Cys_Met_Meta_PP	PFAM:PF00155.24, PFAM:PF01053.23
