#Annotated with Bakta (v1.5.0): https://github.com/oschwengers/bakta
#Database (v4.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	1	1203	+	VFKELRIB_00005		Elongation factor Tu	SO:0001217, UniRef:UniRef50_Q9P9Q9
contig_1	cds	1229	1621	+	VFKELRIB_00010		hypothetical protein	PFAM:PF00298.22, PFAM:PF03946.17
contig_1	cds	1618	2175	+	VFKELRIB_00015		hypothetical protein	
contig_1	cds	2168	2608	+	VFKELRIB_00020		hypothetical protein	
contig_1	cds	2586	2945	+	VFKELRIB_00025		hypothetical protein	PFAM:PF00542.22
contig_1	cds	2942	6313	+	VFKELRIB_00030		hypothetical protein	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
contig_1	cds	6310	10080	+	VFKELRIB_00035		hypothetical protein	PFAM:PF00623.23, PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20
contig_1	cds	10058	10420	+	VFKELRIB_00040		hypothetical protein	
contig_1	cds	10417	10881	+	VFKELRIB_00045		hypothetical protein	PFAM:PF00177.24
contig_1	cds	10894	12957	+	VFKELRIB_00050		Elongation factor G	SO:0001217, UniRef:UniRef50_P43925
contig_1	cds	12954	13253	+	VFKELRIB_00055		hypothetical protein	PFAM:PF00338.25
contig_1	cds	13286	13726	+	VFKELRIB_00060		hypothetical protein	PFAM:PF01327.24
contig_1	cds	13848	14303	-	VFKELRIB_00065		hypothetical protein	
contig_1	cds	14307	14684	-	VFKELRIB_00070		hypothetical protein	
contig_1	cds	14671	14958	-	VFKELRIB_00075		hypothetical protein	
contig_1	cds	14955	15740	-	VFKELRIB_00080		hypothetical protein	
contig_1	cds	15737	16354	-	VFKELRIB_00085		hypothetical protein	
contig_1	cds	16360	17694	-	VFKELRIB_00090		hypothetical protein	
contig_1	cds	17840	17941	+	VFKELRIB_00095		hypothetical protein	
contig_1	cds	17916	18743	+	VFKELRIB_00100		hypothetical protein	PFAM:PF13793.9
contig_1	cds	18692	19210	+	VFKELRIB_00105		hypothetical protein	
contig_1	cds	19207	19713	-	VFKELRIB_00110		hypothetical protein	
contig_1	cds	19826	20557	-	VFKELRIB_00115		hypothetical protein	PFAM:PF03462.21
contig_1	cds	20533	21399	-	VFKELRIB_00120		hypothetical protein	PFAM:PF00701.25
contig_1	cds	21751	21906	+	VFKELRIB_00125		hypothetical protein	
contig_1	cds	22095	23267	+	VFKELRIB_00130		hypothetical protein	
contig_1	cds	23410	23640	-	VFKELRIB_00135		hypothetical protein	
contig_1	cds	24210	24404	-	VFKELRIB_00140		hypothetical protein	
contig_1	cds	24501	26702	+	VFKELRIB_00145		hypothetical protein	PFAM:PF01717.21, PFAM:PF08267.15
contig_1	cds	26915	27661	+	VFKELRIB_00150		hypothetical protein	
contig_1	cds	27630	28757	+	VFKELRIB_00155		hypothetical protein	PFAM:PF01053.23
contig_1	cds	28695	29399	-	VFKELRIB_00160		hypothetical protein	PFAM:PF03462.21
contig_1	cds	29383	30078	-	VFKELRIB_00165		hypothetical protein	PFAM:PF00218.24
contig_1	cds	30050	30910	-	VFKELRIB_00170		hypothetical protein	
contig_1	cds	30894	31460	-	VFKELRIB_00175		hypothetical protein	PFAM:PF00117.31
contig_1	cds	31457	32668	-	VFKELRIB_00180		hypothetical protein	
contig_1	cds	32653	34032	-	VFKELRIB_00185		hypothetical protein	PFAM:PF00206.23, PFAM:PF14698.9
contig_1	cds	34199	35062	-	VFKELRIB_00190		hypothetical protein	
contig_1	cds	35117	36280	+	VFKELRIB_00195		hypothetical protein	PFAM:PF04542.17, PFAM:PF04545.19
contig_1	cds	36547	39306	+	VFKELRIB_00200		hypothetical protein	PFAM:PF07733.15, PFAM:PF14579.9, PFAM:PF17657.4
contig_1	cds	39508	40227	+	VFKELRIB_00205		hypothetical protein	
contig_1	cds	40235	41203	+	VFKELRIB_00210		hypothetical protein	PFAM:PF02774.21
contig_1	cds	41200	41814	+	VFKELRIB_00215		hypothetical protein	PFAM:PF00697.25
contig_1	cds	41811	42950	+	VFKELRIB_00220		Tryptophan synthase beta chain	SO:0001217, UniRef:UniRef50_A0A346E0G4
contig_1	cds	43018	43608	+	VFKELRIB_00225		hypothetical protein	
contig_1	cds	43589	43810	+	VFKELRIB_00230		hypothetical protein	
contig_1	cds	43807	43989	+	VFKELRIB_00235		hypothetical protein	
contig_1	cds	44072	44758	+	VFKELRIB_00240		hypothetical protein	
contig_1	cds	44755	45267	-	VFKELRIB_00245		hypothetical protein	PFAM:PF16473.8
contig_1	cds	45296	46336	+	VFKELRIB_00250		hypothetical protein	PFAM:PF00117.31, PFAM:PF00988.25
contig_1	cds	46333	49437	+	VFKELRIB_00255		hypothetical protein	PFAM:PF02786.20, PFAM:PF02786.20
contig_1	cds	49397	49900	+	VFKELRIB_00260		hypothetical protein	
