# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
VFTETMAC	tRNA	1179	1250	+	NIGADD_00005	trnW	tRNA-Trp(cca)	SO:0000271
VFTETMAC	cds	1258	1641	+	NIGADD_00010		hypothetical protein	PFAM:PF00298.22
VFTETMAC	cds	1631	2272	+	NIGADD_00015		hypothetical protein	
VFTETMAC	cds	2265	2714	+	NIGADD_00020		hypothetical protein	
VFTETMAC	cds	2692	3048	+	NIGADD_00025		hypothetical protein	PFAM:PF00542.22
VFTETMAC	cds	3045	6941	+	NIGADD_00030		hypothetical protein	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04561.17, PFAM:PF04565.19
VFTETMAC	cds	6917	10840	+	NIGADD_00035		hypothetical protein	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20, PFAM:PF05000.20
VFTETMAC	cds	10837	11232	+	NIGADD_00040		hypothetical protein	
VFTETMAC	cds	11201	11674	+	NIGADD_00045		hypothetical protein	PFAM:PF00177.24
VFTETMAC	cds	11674	13722	+	NIGADD_00050		Elongation factor G 1	SO:0001217, UniRef:UniRef50_Q9KUZ7
VFTETMAC	cds	13710	14006	+	NIGADD_00055		hypothetical protein	PFAM:PF00338.25
VFTETMAC	tRNA	14416	14488	+	NIGADD_00060	trnF	tRNA-Phe(gaa)	SO:0000267
VFTETMAC	cds	14497	14832	+	NIGADD_00065		hypothetical protein	
VFTETMAC	cds	14825	15520	-	NIGADD_00070		hypothetical protein	PFAM:PF00398.23
VFTETMAC	cds	15517	16620	-	NIGADD_00075		hypothetical protein	
VFTETMAC	cds	16617	17000	-	NIGADD_00080		30S ribosomal protein S9	SO:0001217, UniRef:UniRef50_S5SQL1
VFTETMAC	cds	17006	17341	-	NIGADD_00085		hypothetical protein	
VFTETMAC	cds	17328	18131	-	NIGADD_00090		hypothetical protein	PFAM:PF01678.22
VFTETMAC	cds	18132	18770	-	NIGADD_00095		hypothetical protein	
VFTETMAC	cds	18760	20292	-	NIGADD_00100		hypothetical protein	PFAM:PF00009.30
VFTETMAC	tRNA	20328	20399	+	NIGADD_00105	trnQ	tRNA-Gln(ttg)	SO:0000261
VFTETMAC	cds	21278	21772	+	NIGADD_00110		hypothetical protein	
VFTETMAC	cds	21769	22329	-	NIGADD_00115		hypothetical protein	PFAM:PF01564.20, PFAM:PF01861.19, PFAM:PF05175.17, PFAM:PF08241.15, PFAM:PF13649.9, PFAM:PF13847.9
VFTETMAC	cds	22425	23549	+	NIGADD_00120		hypothetical protein	PFAM:PF00266.22
VFTETMAC	cds	23553	24854	-	NIGADD_00125		hypothetical protein	PFAM:PF00152.23, PFAM:PF01409.23
VFTETMAC	cds	24858	25556	-	NIGADD_00130		hypothetical protein	PFAM:PF03462.21
VFTETMAC	cds	25534	26442	-	NIGADD_00135		hypothetical protein	PFAM:PF00701.25
VFTETMAC	tRNA	28556	28639	+	NIGADD_00140	trnS	tRNA-Ser(gct)	SO:0000269
VFTETMAC	cds	28860	29000	-	NIGADD_00145		hypothetical protein	
VFTETMAC	cds	28982	29176	-	NIGADD_00150		hypothetical protein	
VFTETMAC	cds	29196	31412	+	NIGADD_00155		hypothetical protein	PFAM:PF01717.21, PFAM:PF08267.15
VFTETMAC	cds	31625	32371	+	NIGADD_00160		hypothetical protein	
VFTETMAC	cds	32368	33501	+	NIGADD_00165		hypothetical protein	PFAM:PF01053.23
VFTETMAC	cds	33490	34296	-	NIGADD_00170		Peptide chain release factor 1	SO:0001217, UniRef:UniRef50_A0A2Z5T385
VFTETMAC	cds	34311	34871	-	NIGADD_00175		hypothetical protein	PFAM:PF00117.31
VFTETMAC	cds	34865	36148	-	NIGADD_00180		hypothetical protein	
VFTETMAC	cds	36369	37829	-	NIGADD_00185		hypothetical protein	PFAM:PF00749.24
VFTETMAC	cds	37829	38737	-	NIGADD_00190		hypothetical protein	
VFTETMAC	tRNA	40180	40427	+	NIGADD_00195		tRNA-Xxx	
VFTETMAC	cds	43368	43538	+	NIGADD_00200		hypothetical protein	PFAM:PF00312.25
VFTETMAC	cds	43616	44347	+	NIGADD_00205		hypothetical protein	
VFTETMAC	cds	44344	45381	+	NIGADD_00210		hypothetical protein	PFAM:PF01118.27, PFAM:PF02774.21
VFTETMAC	cds	45617	45874	+	NIGADD_00215		hypothetical protein	
VFTETMAC	cds	45855	46073	+	NIGADD_00220		hypothetical protein	
VFTETMAC	tRNA	46074	46145	-	NIGADD_00225	trnN	tRNA-Asn(gtt)	SO:0000257
VFTETMAC	tRNA	46253	46323	-	NIGADD_00230	trnC	tRNA-Cys(gca)	SO:0000258
VFTETMAC	tRNA	46324	46395	-	NIGADD_00235	trnG	tRNA-Gly(gcc)	SO:0000260
VFTETMAC	cds	46997	47452	+	NIGADD_00240		hypothetical protein	
VFTETMAC	cds	47442	48008	+	NIGADD_00245		ATP-dependent Clp protease proteolytic subunit 1	SO:0001217, UniRef:UniRef50_Q5WLZ7
