#Annotated with Bakta v1.5.0, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1265	1642	+	VFLIBAN_00010	14.5	10.3	PF03946.17|Ribosomal_L11_N	PFAM:PF03946.17
contig_1	1635	2231	+	VFLIBAN_00015	23.8	10.0		
contig_1	2228	2641	+	VFLIBAN_00020	16.8	10.0		
contig_1	2619	2963	+	VFLIBAN_00025	13.2	9.7	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
contig_1	2960	6811	+	VFLIBAN_00030	151.6	10.0	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
contig_1	6808	10692	+	VFLIBAN_00035	151.5	10.0	PF00623.23|RNA_pol_Rpb1_2, PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5	PFAM:PF00623.23, PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20
contig_1	13540	13836	+	VFLIBAN_00055	11.6	10.1	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
contig_1	14299	14703	+	VFLIBAN_00065	16.3	10.0		
contig_1	14681	15364	-	VFLIBAN_00070	28.0	10.3	PF00398.23|RrnaAD	PFAM:PF00398.23
contig_1	15340	16437	-	VFLIBAN_00075	43.8	10.1		
contig_1	16434	16823	-	VFLIBAN_00080	15.3	10.2		
contig_1	16820	17113	-	VFLIBAN_00085	11.5	10.3		
contig_1	17110	17907	-	VFLIBAN_00090	31.8	10.0	PF01678.22|DAP_epimerase	PFAM:PF01678.22
contig_1	17894	18553	-	VFLIBAN_00095	26.3	10.0		
contig_1	18550	20022	-	VFLIBAN_00100	57.7	10.0	PF00071.25|Ras, PF10662.12|PduV-EutP	PFAM:PF00071.25, PFAM:PF10662.12
contig_1	20111	20956	+	VFLIBAN_00110	34.1	10.3	PF13793.9|Pribosyltran_N	PFAM:PF13793.9
contig_1	20949	21425	+	VFLIBAN_00115	19.2	10.2		
contig_1	21420	21965	-	VFLIBAN_00120	21.1	10.2	PF01564.20|Spermine_synth, PF05175.17|MTS	PFAM:PF01564.20, PFAM:PF05175.17
contig_1	22244	23347	+	VFLIBAN_00125	42.8	10.1	PF00155.24|Aminotran_1_2, PF00266.22|Aminotran_5, PF01041.20|DegT_DnrJ_EryC1	PFAM:PF00155.24, PFAM:PF00266.22, PFAM:PF01041.20
contig_1	23333	24655	-	VFLIBAN_00130	52.8	10.1	PF00152.23|tRNA-synt_2, PF01336.28|tRNA_anti-codon	PFAM:PF00152.23, PFAM:PF01336.28
