GENE000001_Prokka:VFCIXPIL_00001|0_1185_1|	GENE000001_Prokka:VFPENVAR_00001|0_1188_1|	0.743	394	101	0	1	393	1	394	1.829E-205	628
GENE000004_Prokka:VFCIXPIL_00005|2308_2797_1|	GENE000050_Prokka:VFPENVAR_00054|50774_52058_1|	0.362	144	81	0	4	147	268	395	6.996E-11	53
GENE000005_Prokka:VFCIXPIL_00006|2762_3113_1|	GENE000005_Prokka:VFPENVAR_00006|2693_3053_1|	0.350	117	73	0	2	114	3	119	1.865E-19	76
GENE000006_Prokka:VFCIXPIL_00007|3055_6988_1|	GENE000006_Prokka:VFPENVAR_00007|3054_6834_1|	0.387	1289	769	0	19	1307	1	1255	9.122E-250	801
GENE000007_Prokka:VFCIXPIL_00008|6984_10938_1|	GENE000007_Prokka:VFPENVAR_00008|6833_10667_1|	0.408	1291	748	0	16	1306	13	1277	2.013E-283	900
GENE000008_Prokka:VFCIXPIL_00009|10925_11303_1|	GENE000008_Prokka:VFPENVAR_00009|10668_11064_1|	0.708	120	35	0	1	120	1	120	6.461E-59	190
GENE000009_Prokka:VFCIXPIL_00010|11321_11792_1|	GENE000009_Prokka:VFPENVAR_00010|11035_11506_1|	0.480	154	80	0	1	154	1	154	1.549E-47	159
GENE000010_Prokka:VFCIXPIL_00011|11793_13881_1|	GENE000010_Prokka:VFPENVAR_00011|11506_13567_1|	0.558	686	301	0	7	692	1	682	1.098E-251	778
GENE000033_Prokka:VFCIXPIL_00037|41132_42326_1|	GENE000039_Prokka:VFPENVAR_00043|35113_36244_1|	0.489	384	189	0	11	394	2	371	4.661E-113	361
GENE000034_Prokka:VFCIXPIL_00038|42306_43110_-1|	GENE000040_Prokka:VFPENVAR_00044|36235_37087_-1|	0.507	262	127	0	2	259	18	279	2.321E-77	251
GENE000035_Prokka:VFCIXPIL_00039|46024_47464_-1|	GENE000048_Prokka:VFPENVAR_00052|48457_49825_-1|	0.348	461	287	0	1	461	3	443	8.943E-76	256
GENE000042_Prokka:VFCIXPIL_00049|58737_59013_1|	GENE000059_Prokka:VFPENVAR_00066|61164_61428_1|	0.487	82	42	0	1	82	1	82	3.979E-17	68
GENE000044_Prokka:VFCIXPIL_00052|60326_60560_1|	GENE000062_Prokka:VFPENVAR_00070|62200_62344_1|	0.437	48	19	0	1	48	1	34	1.717E-05	34
GENE000049_Prokka:VFCIXPIL_00066|74000_74351_-1|	GENE000081_Prokka:VFPENVAR_00098|79481_79835_-1|	0.442	95	49	0	1	95	1	89	3.766E-20	78
GENE000052_Prokka:VFCIXPIL_00070|75135_76194_-1|	GENE000084_Prokka:VFPENVAR_00102|80494_81553_-1|	0.508	351	172	0	1	351	1	351	8.856E-112	355
GENE000036_Prokka:VFCIXPIL_00040|50411_51839_1|	GENE000051_Prokka:VFPENVAR_00055|52044_53379_1|	0.348	474	289	0	2	475	1	444	9.441E-72	244
GENE000040_Prokka:VFCIXPIL_00047|56292_57360_1|	GENE000055_Prokka:VFPENVAR_00062|57720_58743_1|	0.462	344	179	0	4	347	2	334	4.010E-94	304
GENE000046_Prokka:VFCIXPIL_00056|65820_66447_1|	GENE000066_Prokka:VFPENVAR_00076|67635_68085_1|	0.573	143	60	0	22	164	8	149	8.732E-52	174
GENE000050_Prokka:VFCIXPIL_00067|74343_74529_-1|	GENE000082_Prokka:VFPENVAR_00099|79827_79977_-1|	0.509	51	23	0	3	53	2	49	1.016E-10	48
GENE000056_Prokka:VFCIXPIL_00077|78355_78883_-1|	GENE000087_Prokka:VFPENVAR_00108|82265_82760_-1|	0.255	164	118	0	2	165	4	162	8.499E-15	65
GENE000059_Prokka:VFCIXPIL_00080|81897_83010_1|	GENE000092_Prokka:VFPENVAR_00113|85500_86532_1|	0.401	367	204	0	1	367	1	341	6.314E-74	246
GENE000077_Prokka:VFCIXPIL_00100|105301_107113_-1|	GENE000109_Prokka:VFPENVAR_00132|102303_104106_-1|	0.583	586	243	0	1	586	1	584	7.142E-230	710
GENE000083_Prokka:VFCIXPIL_00106|115128_115872_-1|	GENE000117_Prokka:VFPENVAR_00140|110929_111613_-1|	0.370	218	136	0	25	241	3	220	1.495E-30	114
GENE000107_Prokka:VFCIXPIL_00134|130215_130629_1|	GENE000139_Prokka:VFPENVAR_00166|125978_126344_1|	0.444	133	65	0	2	134	1	118	2.461E-25	94
GENE000100_Prokka:VFCIXPIL_00127|127320_127686_1|	GENE000132_Prokka:VFPENVAR_00159|123138_123504_1|	0.508	120	59	0	1	120	1	120	8.678E-38	129
GENE000079_Prokka:VFCIXPIL_00102|108671_109652_1|	GENE000111_Prokka:VFPENVAR_00134|104596_105547_1|	0.520	287	136	0	27	311	14	300	1.899E-89	289
GENE000116_Prokka:VFCIXPIL_00143|134713_135151_1|	GENE000023_Prokka:VFPENVAR_00026|21761_22280_1|	0.285	108	72	0	21	128	21	122	2.376E-04	33
GENE000066_Prokka:VFCIXPIL_00089|91042_92323_1|	GENE000100_Prokka:VFPENVAR_00123|92302_93604_1|	0.399	430	255	0	1	426	4	433	6.222E-80	266
GENE000069_Prokka:VFCIXPIL_00092|95156_96752_1|	GENE000103_Prokka:VFPENVAR_00126|95632_97225_1|	0.496	511	257	0	3	512	4	514	2.953E-166	522
GENE000104_Prokka:VFCIXPIL_00131|128914_129451_1|	GENE000136_Prokka:VFPENVAR_00163|124705_125254_1|	0.404	182	105	0	1	178	1	182	1.339E-32	117
GENE000096_Prokka:VFCIXPIL_00123|125924_126545_1|	GENE000129_Prokka:VFPENVAR_00156|121927_122530_1|	0.358	198	122	0	1	198	1	191	1.004E-28	107
GENE000101_Prokka:VFCIXPIL_00128|127682_128231_1|	GENE000133_Prokka:VFPENVAR_00160|123506_124046_1|	0.468	175	92	0	7	181	5	178	5.586E-45	153
GENE000106_Prokka:VFCIXPIL_00133|129796_130222_1|	GENE000138_Prokka:VFPENVAR_00165|125563_126004_1|	0.466	135	71	0	6	140	4	137	4.649E-37	128
GENE000113_Prokka:VFCIXPIL_00140|132304_133207_1|	GENE000146_Prokka:VFPENVAR_00173|127932_128787_1|	0.273	285	193	0	14	298	14	280	6.586E-27	105
GENE000090_Prokka:VFCIXPIL_00117|123351_123762_1|	GENE000123_Prokka:VFPENVAR_00150|119210_119750_1|	0.560	125	54	0	7	131	47	169	2.804E-40	137
GENE000103_Prokka:VFCIXPIL_00130|128541_128922_1|	GENE000135_Prokka:VFPENVAR_00162|124314_124713_1|	0.409	123	69	0	6	123	6	128	2.771E-19	76
GENE000112_Prokka:VFCIXPIL_00139|131726_132308_1|	GENE000145_Prokka:VFPENVAR_00172|127369_127936_1|	0.346	146	94	0	5	150	7	150	1.984E-23	91
GENE000091_Prokka:VFCIXPIL_00118|123765_124296_1|	GENE000124_Prokka:VFPENVAR_00151|119736_120291_1|	0.383	172	103	0	4	175	12	179	5.152E-34	121
GENE000097_Prokka:VFCIXPIL_00124|126534_126951_1|	GENE000130_Prokka:VFPENVAR_00157|122510_122912_1|	0.462	133	70	0	1	132	1	133	1.101E-34	121
GENE000011_Prokka:VFCIXPIL_00012|13877_14180_1|	GENE000011_Prokka:VFPENVAR_00012|13556_13889_1|	0.344	87	56	0	9	94	11	97	2.183E-11	52
GENE000012_Prokka:VFCIXPIL_00013|14203_14635_1|	GENE000012_Prokka:VFPENVAR_00013|13863_14295_1|	0.382	141	86	0	3	143	4	143	2.377E-28	103
GENE000014_Prokka:VFCIXPIL_00016|16024_17191_-1|	GENE000016_Prokka:VFPENVAR_00018|16318_17425_-1|	0.333	371	223	0	16	386	31	365	3.917E-49	174
