gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	VFLIBAN	1178	1251	f	1	2	Aragorn	001002
2	VFLIBAN	1264	1642	f	0	1	Prodigal	002006
3	VFLIBAN	1634	2231	f	0	1	Prodigal	002006
4	VFLIBAN	2227	2641	f	0	1	Prodigal	002006
5	VFLIBAN	2618	2963	f	0	1	Prodigal	002006
6	VFLIBAN	2959	6811	f	0	1	Prodigal	002006
7	VFLIBAN	6807	10692	f	0	1	Prodigal	002006
8	VFLIBAN	10669	11059	f	0	1	Prodigal	002006
9	VFLIBAN	11030	11504	f	0	1	Prodigal	002006
10	VFLIBAN	11503	13540	f	0	1	Prodigal	002006
11	VFLIBAN	13539	13836	f	0	1	Prodigal	002006
12	VFLIBAN	14208	14281	f	1	2	Aragorn	001002
13	VFLIBAN	14298	14703	f	0	1	Prodigal	002006
14	VFLIBAN	14680	15364	r	0	1	Prodigal	002006
15	VFLIBAN	15339	16437	r	0	1	Prodigal	002006
16	VFLIBAN	16433	16823	r	0	1	Prodigal	002006
17	VFLIBAN	16819	17113	r	0	1	Prodigal	002006
18	VFLIBAN	17109	17907	r	0	1	Prodigal	002006
19	VFLIBAN	17893	18553	r	0	1	Prodigal	002006
20	VFLIBAN	18549	20022	r	0	1	Prodigal	002006
21	VFLIBAN	20031	20103	f	0	2	Aragorn	001002
22	VFLIBAN	20110	20956	f	0	1	Prodigal	002006
23	VFLIBAN	20948	21425	f	0	1	Prodigal	002006
24	VFLIBAN	21419	21965	r	0	1	Prodigal	002006
25	VFLIBAN	22243	23347	f	0	1	Prodigal	002006
26	VFLIBAN	23332	24655	r	0	1	Prodigal	002006
27	VFLIBAN	24651	25326	r	0	1	Prodigal	002006
28	VFLIBAN	25315	26188	r	0	1	Prodigal	002006
29	VFLIBAN	28254	28341	f	0	2	Aragorn	001002
30	VFLIBAN	28461	30753	r	0	1	Prodigal	002006
31	VFLIBAN	30749	30887	r	0	1	Prodigal	002006
32	VFLIBAN	30879	31062	r	0	1	Prodigal	002006
33	VFLIBAN	31077	33279	f	0	1	Prodigal	002006
