#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
VFPITSP	1259	1648	+	LEJABI_00010	15.0	9.9		
VFPITSP	1638	2294	+	LEJABI_00015	26.7	9.9		
VFPITSP	2254	2694	+	LEJABI_00020	18.2	9.7		
VFPITSP	2691	3047	+	LEJABI_00025	13.6	9.5	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
VFPITSP	3044	6817	+	LEJABI_00030	150.4	9.8	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
VFPITSP	6814	10689	+	LEJABI_00035	152.0	9.6	PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5, PF05000.20|RNA_pol_Rpb1_4	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20, PFAM:PF05000.20
VFPITSP	10686	11072	+	LEJABI_00040	14.5	10.8		
VFPITSP	11035	11526	+	LEJABI_00045	19.2	10.2	PF00177.24|Ribosomal_S7	PFAM:PF00177.24
VFPITSP	13562	13876	+	LEJABI_00055	12.6	9.8	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
VFPITSP	14352	14732	+	LEJABI_00065	15.8	9.7		
VFPITSP	14722	15483	+	LEJABI_00070	30.6	9.8	PF02091.18|tRNA-synt_2e	PFAM:PF02091.18
VFPITSP	15484	17073	+	LEJABI_00075	66.3	10.0		
VFPITSP	17026	17733	-	LEJABI_00080	28.9	10.3		
VFPITSP	17726	18835	-	LEJABI_00085	44.3	10.2		
VFPITSP	18832	19224	-	LEJABI_00090	15.3	10.6		
VFPITSP	19221	19550	-	LEJABI_00095	13.1	10.4		
VFPITSP	19540	20310	-	LEJABI_00100	30.4	9.8		
VFPITSP	20322	20957	-	LEJABI_00105	25.2	9.9		
VFPITSP	20959	22455	-	LEJABI_00110	59.1	9.9	PF00009.30|GTP_EFTU, PF02421.21|FeoB_N, PF09439.13|SRPRB	PFAM:PF00009.30, PFAM:PF02421.21, PFAM:PF09439.13
VFPITSP	22580	23428	+	LEJABI_00120	34.4	10.0	PF00156.30|Pribosyltran, PF13793.9|Pribosyltran_N	PFAM:PF00156.30, PFAM:PF13793.9
VFPITSP	23400	23855	+	LEJABI_00125	18.4	10.1		
VFPITSP	23850	24398	-	LEJABI_00130	21.5	10.1	PF05175.17|MTS	PFAM:PF05175.17
VFPITSP	24683	25807	+	LEJABI_00140	44.1	10.1	PF00155.24|Aminotran_1_2, PF00266.22|Aminotran_5, PF01041.20|DegT_DnrJ_EryC1, PF01212.24|Beta_elim_lyase	PFAM:PF00155.24, PFAM:PF00266.22, PFAM:PF01041.20, PFAM:PF01212.24
VFPITSP	25793	27082	-	LEJABI_00145	51.7	9.9	PF00152.23|tRNA-synt_2, PF01336.28|tRNA_anti-codon, PF01409.23|tRNA-synt_2d	PFAM:PF00152.23, PFAM:PF01336.28, PFAM:PF01409.23
VFPITSP	27084	27731	-	LEJABI_00150	25.7	10.0	PF03462.21|PCRF	PFAM:PF03462.21
VFPITSP	27728	28585	-	LEJABI_00155	33.3	10.0	PF00701.25|DHDPS	PFAM:PF00701.25
VFPITSP	30937	33255	-	LEJABI_00165	94.5	10.0	PF08264.16|Anticodon_1	PFAM:PF08264.16
VFPITSP	33385	33570	-	LEJABI_00170	7.5	10.9		
VFPITSP	33573	35723	+	LEJABI_00175	86.2	10.0	PF01717.21|Meth_synt_2, PF08267.15|Meth_synt_1	PFAM:PF01717.21, PFAM:PF08267.15
VFPITSP	35963	36733	+	LEJABI_00180	31.9	10.2		
VFPITSP	36735	37856	+	LEJABI_00185	44.1	9.9	PF00155.24|Aminotran_1_2, PF01053.23|Cys_Met_Meta_PP	PFAM:PF00155.24, PFAM:PF01053.23
VFPITSP	37848	38720	-	LEJABI_00190	34.4	10.2	PF03462.21|PCRF	PFAM:PF03462.21
VFPITSP	38704	39462	-	LEJABI_00195	30.8	9.7	PF00218.24|IGPS	PFAM:PF00218.24
VFPITSP	39441	40400	-	LEJABI_00200	38.3	10.0		
VFPITSP	40393	40965	-	LEJABI_00205	22.6	9.7	PF00117.31|GATase	PFAM:PF00117.31
VFPITSP	40962	42248	-	LEJABI_00210	52.1	10.1		
VFPITSP	42212	43582	-	LEJABI_00215	53.4	9.8	PF00206.23|Lyase_1	PFAM:PF00206.23
VFPITSP	43827	45233	-	LEJABI_00220	57.2	10.0	PF00749.24|tRNA-synt_1c	PFAM:PF00749.24
VFPITSP	45196	46188	-	LEJABI_00225	40.4	9.9		
VFPITSP	47025	48185	+	LEJABI_00230	47.5	10.1	PF01807.23|zf-CHC2, PF13662.9|Toprim_4	PFAM:PF01807.23, PFAM:PF13662.9
VFPITSP	49698	52652	+	LEJABI_00240	119.1	10.0	PF07733.15|DNA_pol3_alpha, PF14579.9|HHH_6, PF17657.4|DNA_pol3_finger	PFAM:PF07733.15, PFAM:PF14579.9, PFAM:PF17657.4
VFPITSP	52645	52830	+	LEJABI_00245	7.6	10.4	PF00312.25|Ribosomal_S15	PFAM:PF00312.25
VFPITSP	53020	53781	+	LEJABI_00260	31.7	10.1		
VFPITSP	53781	54794	+	LEJABI_00265	39.9	10.1	PF02774.21|Semialdhyde_dhC	PFAM:PF02774.21
VFPITSP	54772	55401	+	LEJABI_00270	25.2	10.1	PF00697.25|PRAI	PFAM:PF00697.25
VFPITSP	56524	57180	+	LEJABI_00280	26.8	10.1	PF00290.23|Trp_syntA	PFAM:PF00290.23
VFPITSP	57180	57392	+	LEJABI_00285	8.4	10.5		
VFPITSP	57397	57624	+	LEJABI_00290	9.3	10.2		
VFPITSP	57705	57875	+	LEJABI_00300	6.6	10.6		
VFPITSP	58459	59466	+	LEJABI_00310	39.3	10.0	PF00117.31|GATase, PF00988.25|CPSase_sm_chain, PF07722.16|Peptidase_C26	PFAM:PF00117.31, PFAM:PF00988.25, PFAM:PF07722.16
