# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
VFRR05105	tRNA	1190	1260	+	GOPKGP_00005	trnW	tRNA-Trp(cca)	SO:0000271
VFRR05105	cds	1268	1675	+	GOPKGP_00010		hypothetical protein	PFAM:PF00298.22, PFAM:PF03946.17
VFRR05105	cds	1677	2282	+	GOPKGP_00015		hypothetical protein	
VFRR05105	cds	2279	2737	+	GOPKGP_00020		hypothetical protein	
VFRR05105	cds	2712	3062	+	GOPKGP_00025		hypothetical protein	PFAM:PF00542.22
VFRR05105	cds	3055	6831	+	GOPKGP_00030		hypothetical protein	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04561.17, PFAM:PF04565.19
VFRR05105	cds	6824	10735	+	GOPKGP_00035		hypothetical protein	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20
VFRR05105	cds	10686	11078	+	GOPKGP_00040		hypothetical protein	
VFRR05105	cds	11053	11526	+	GOPKGP_00045		hypothetical protein	PFAM:PF00177.24
VFRR05105	cds	11526	13616	+	GOPKGP_00050		Elongation factor G 2	SO:0001217, UniRef:UniRef50_Q62GK2
VFRR05105	cds	13606	13908	+	GOPKGP_00055		hypothetical protein	PFAM:PF00338.25
VFRR05105	tRNA	14332	14404	+	GOPKGP_00060	trnF	tRNA-Phe(gaa)	SO:0000267
VFRR05105	cds	14413	14763	+	GOPKGP_00065		hypothetical protein	
VFRR05105	cds	14744	15448	-	GOPKGP_00070		hypothetical protein	PFAM:PF00398.23
VFRR05105	cds	15441	16514	-	GOPKGP_00075		hypothetical protein	
VFRR05105	cds	16514	16903	-	GOPKGP_00080		hypothetical protein	
VFRR05105	cds	16903	17199	-	GOPKGP_00085		hypothetical protein	
VFRR05105	cds	17183	17971	-	GOPKGP_00090		hypothetical protein	PFAM:PF01678.22
VFRR05105	cds	17994	18527	-	GOPKGP_00095		hypothetical protein	
VFRR05105	tRNA	18620	18692	+	GOPKGP_00100	trnQ	tRNA-Gln(ttg)	SO:0000261
VFRR05105	cds	18700	19581	+	GOPKGP_00105		hypothetical protein	PFAM:PF13793.9, PFAM:PF14572.9
VFRR05105	cds	19556	20065	+	GOPKGP_00110		hypothetical protein	
VFRR05105	cds	20055	20603	-	GOPKGP_00115		hypothetical protein	PFAM:PF01564.20, PFAM:PF05175.17, PFAM:PF08241.15, PFAM:PF13649.9, PFAM:PF13847.9
VFRR05105	cds	20600	20767	-	GOPKGP_00120		hypothetical protein	
VFRR05105	cds	20926	22053	+	GOPKGP_00125		hypothetical protein	PFAM:PF00266.22
VFRR05105	cds	22050	23309	-	GOPKGP_00130		hypothetical protein	PFAM:PF00152.23, PFAM:PF01409.23
VFRR05105	cds	23306	23995	-	GOPKGP_00135		hypothetical protein	PFAM:PF03462.21
VFRR05105	cds	23982	24851	-	GOPKGP_00140		hypothetical protein	PFAM:PF00701.25
VFRR05105	cds	24863	25816	+	GOPKGP_00145		hypothetical protein	
VFRR05105	cds	25813	26991	+	GOPKGP_00150		hypothetical protein	
VFRR05105	tRNA	26992	27075	+	GOPKGP_00155	trnS	tRNA-Ser(gct)	SO:0000269
VFRR05105	cds	27290	29500	-	GOPKGP_00160		hypothetical protein	PFAM:PF08264.16
VFRR05105	cds	29497	29649	-	GOPKGP_00165		hypothetical protein	
VFRR05105	cds	29713	32040	+	GOPKGP_00170		hypothetical protein	PFAM:PF01717.21, PFAM:PF08267.15
VFRR05105	cds	32247	32954	+	GOPKGP_00175		hypothetical protein	
VFRR05105	cds	32951	34120	+	GOPKGP_00180		hypothetical protein	PFAM:PF01053.23
VFRR05105	cds	34113	34973	-	GOPKGP_00185		hypothetical protein	PFAM:PF03462.21
VFRR05105	cds	34970	35710	-	GOPKGP_00190		hypothetical protein	PFAM:PF00218.24
VFRR05105	cds	35682	36716	-	GOPKGP_00195		hypothetical protein	
VFRR05105	cds	36694	37260	-	GOPKGP_00200		hypothetical protein	PFAM:PF00117.31, PFAM:PF07722.16
VFRR05105	cds	37257	38483	-	GOPKGP_00205		hypothetical protein	
VFRR05105	cds	38480	39865	-	GOPKGP_00210		hypothetical protein	PFAM:PF00206.23
VFRR05105	cds	40380	41777	-	GOPKGP_00215		hypothetical protein	PFAM:PF00749.24
VFRR05105	cds	41749	42729	-	GOPKGP_00220		hypothetical protein	
VFRR05105	tRNA	44558	44785	+	GOPKGP_00225		tRNA-Xxx	
VFRR05105	cds	44802	47777	+	GOPKGP_00230		hypothetical protein	PFAM:PF07733.15, PFAM:PF14579.9, PFAM:PF17657.4
VFRR05105	tRNA	47924	48008	+	GOPKGP_00235	trnL	tRNA-Leu(aag)	SO:0000264
VFRR05105	tRNA	48009	48081	+	GOPKGP_00240	trnL	tRNA-Leu(tag)	SO:0000264
VFRR05105	tRNA	48082	48165	+	GOPKGP_00245	trnS	tRNA-Ser(gga)	SO:0000269
VFRR05105	cds	48950	50005	+	GOPKGP_00250		hypothetical protein	PFAM:PF01118.27, PFAM:PF02774.21
VFRR05105	cds	49968	50600	+	GOPKGP_00255		hypothetical protein	PFAM:PF00697.25
VFRR05105	cds	50581	51726	+	GOPKGP_00260		Tryptophan synthase beta chain	SO:0001217, UniRef:UniRef50_Q2KE82
VFRR05105	cds	51742	52470	+	GOPKGP_00265		hypothetical protein	
VFRR05105	cds	52418	52681	+	GOPKGP_00270		hypothetical protein	
VFRR05105	cds	52662	52892	+	GOPKGP_00275		hypothetical protein	
VFRR05105	tRNA	52895	52966	-	GOPKGP_00280	trnN	tRNA-Asn(gtt)	SO:0000257
VFRR05105	tRNA	53667	53739	-	GOPKGP_00285	trnG	tRNA-Gly(gcc)	SO:0000260
VFRR05105	cds	54251	55333	+	GOPKGP_00290		hypothetical protein	PFAM:PF00117.31, PFAM:PF00988.25
VFRR05105	cds	55315	58434	+	GOPKGP_00295		hypothetical protein	PFAM:PF02786.20, PFAM:PF02787.22, PFAM:PF13535.9, PFAM:PF15632.9
VFRR05105	cds	58373	58972	+	GOPKGP_00300		hypothetical protein	
VFRR05105	cds	58974	59534	+	GOPKGP_00305		ATP-dependent Clp protease proteolytic subunit 1	SO:0001217, UniRef:UniRef50_Q1DAT0
