#Annotated with Bakta v1.5.0, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1222	1605	+	VFMEEALB_00010	14.6	10.3		
contig_1	1598	2029	+	VFMEEALB_00015	17.6	10.2		
contig_1	2010	2354	+	VFMEEALB_00020	13.5	10.1	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
contig_1	2347	6132	+	VFMEEALB_00025	149.6	10.0	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
contig_1	6129	9728	+	VFMEEALB_00030	139.8	10.1	PF00623.23|RNA_pol_Rpb1_2, PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5, PF05000.20|RNA_pol_Rpb1_4	PFAM:PF00623.23, PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20, PFAM:PF05000.20
contig_1	9716	10096	+	VFMEEALB_00035	14.0	10.4		
contig_1	10077	10547	+	VFMEEALB_00040	18.5	10.3	PF00177.24|Ribosomal_S7	PFAM:PF00177.24
contig_1	12583	12870	+	VFMEEALB_00050	11.7	9.9	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
contig_1	12867	12971	+	VFMEEALB_00055	4.2	10.0		
contig_1	13661	14149	-	VFMEEALB_00065	19.3	10.3	PF00398.23|RrnaAD	PFAM:PF00398.23
contig_1	14139	15119	-	VFMEEALB_00070	39.1	10.3		
contig_1	15505	15768	-	VFMEEALB_00080	10.5	10.6		
contig_1	15765	16490	-	VFMEEALB_00085	28.7	10.0		
contig_1	16487	17032	-	VFMEEALB_00090	21.5	10.2		
contig_1	17032	17364	-	VFMEEALB_00095	13.4	10.2	PF00436.28|SSB	PFAM:PF00436.28
contig_1	18289	18735	+	VFMEEALB_00105	18.4	10.1		
contig_1	18712	19290	-	VFMEEALB_00110	22.4	10.2	PF05175.17|MTS	PFAM:PF05175.17
contig_1	19485	20456	+	VFMEEALB_00115	38.2	10.1	PF00266.22|Aminotran_5	PFAM:PF00266.22
contig_1	20453	21775	-	VFMEEALB_00120	52.9	10.1	PF00152.23|tRNA-synt_2, PF01336.28|tRNA_anti-codon	PFAM:PF00152.23, PFAM:PF01336.28
contig_1	21772	22410	-	VFMEEALB_00125	25.0	10.3	PF03462.21|PCRF	PFAM:PF03462.21
contig_1	22398	23126	-	VFMEEALB_00130	28.8	10.1	PF00218.24|IGPS	PFAM:PF00218.24
contig_1	23101	24048	-	VFMEEALB_00135	37.7	10.3		
contig_1	24033	24611	-	VFMEEALB_00140	22.6	10.0	PF00117.31|GATase, PF07722.16|Peptidase_C26	PFAM:PF00117.31, PFAM:PF07722.16
contig_1	24592	25833	-	VFMEEALB_00145	49.9	10.1		
contig_1	25815	27185	-	VFMEEALB_00150	53.5	9.9	PF00206.23|Lyase_1, PF14698.9|ASL_C2	PFAM:PF00206.23, PFAM:PF14698.9
contig_1	27337	28587	-	VFMEEALB_00155	50.9	10.2	PF00749.24|tRNA-synt_1c	PFAM:PF00749.24
contig_1	28584	29489	-	VFMEEALB_00160	36.9	10.1		
contig_1	29489	30286	-	VFMEEALB_00165	31.5	10.1		
contig_1	30408	31340	+	VFMEEALB_00170	37.8	10.0	PF08275.14|Toprim_N, PF13662.9|Toprim_4	PFAM:PF08275.14, PFAM:PF13662.9
contig_1	36625	37626	+	VFMEEALB_00190	39.2	10.0	PF02774.21|Semialdhyde_dhC	PFAM:PF02774.21
contig_1	37619	38185	+	VFMEEALB_00195	22.8	9.9	PF00697.25|PRAI	PFAM:PF00697.25
contig_1	39275	39922	+	VFMEEALB_00205	26.0	10.0		
contig_1	39909	40142	+	VFMEEALB_00210	9.4	10.6		
contig_1	41446	42303	+	VFMEEALB_00225	33.5	10.1	PF00117.31|GATase, PF00988.25|CPSase_sm_chain	PFAM:PF00117.31, PFAM:PF00988.25
contig_1	42300	45395	+	VFMEEALB_00230	119.5	9.7	PF02786.20|CPSase_L_D2, PF02786.20|CPSase_L_D2, PF02787.22|CPSase_L_D3	PFAM:PF02786.20, PFAM:PF02786.20, PFAM:PF02787.22
contig_1	47540	48625	+	VFMEEALB_00245	43.7	9.8	PF00004.32|AAA, PF13177.9|DNA_pol3_delta2	PFAM:PF00004.32, PFAM:PF13177.9
contig_1	50626	51642	+	VFMEEALB_00265	40.5	10.1	PF00155.24|Aminotran_1_2	PFAM:PF00155.24
contig_1	52722	53444	+	VFMEEALB_00280	27.8	10.4		
contig_1	54183	54473	+	VFMEEALB_00290	11.4	9.3		
contig_1	56090	56518	-	VFMEEALB_00305	17.3	10.5		
contig_1	57840	58133	+	VFMEEALB_00325	11.9	10.1		
contig_1	58101	58556	-	VFMEEALB_00330	18.5	10.2		
contig_1	58556	58999	-	VFMEEALB_00335	17.7	10.1		
contig_1	58996	59490	-	VFMEEALB_00340	19.9	10.2		
contig_1	59510	60562	+	VFMEEALB_00345	42.0	10.0	PF00155.24|Aminotran_1_2	PFAM:PF00155.24
contig_1	60546	61340	+	VFMEEALB_00350	30.6	10.1	PF14602.9|Hexapep_2, PF14805.9|THDPS_N_2	PFAM:PF14602.9, PFAM:PF14805.9
contig_1	61334	62380	+	VFMEEALB_00355	41.7	10.2		
contig_1	62366	62548	-	VFMEEALB_00360	7.3	9.7		
contig_1	62529	63812	-	VFMEEALB_00365	51.0	10.0		
contig_1	63812	65068	-	VFMEEALB_00370	49.2	9.9	PF00772.24|DnaB, PF03796.18|DnaB_C, PF06745.16|ATPase	PFAM:PF00772.24, PFAM:PF03796.18, PFAM:PF06745.16
contig_1	65068	65496	-	VFMEEALB_00375	17.2	10.3		
contig_1	65772	66677	-	VFMEEALB_00385	37.5	10.0	PF00749.24|tRNA-synt_1c	PFAM:PF00749.24
contig_1	66762	68030	+	VFMEEALB_00390	49.7	10.1	PF02421.21|FeoB_N	PFAM:PF02421.21
contig_1	68027	69700	+	VFMEEALB_00395	64.1	9.9	PF07992.17|Pyr_redox_2, PF13932.9|GIDA_C, PF13932.9|GIDA_C	PFAM:PF07992.17, PFAM:PF13932.9, PFAM:PF13932.9
contig_1	69718	69996	+	VFMEEALB_00400	11.2	10.2	PF00166.24|Cpn10	PFAM:PF00166.24
contig_1	69993	71549	+	VFMEEALB_00405	58.5	9.9		
contig_1	71546	72820	+	VFMEEALB_00410	50.4	10.1		
contig_1	72796	73920	+	VFMEEALB_00415	43.9	10.3	PF00575.26|S1	PFAM:PF00575.26
contig_1	73917	74948	-	VFMEEALB_00420	42.2	9.9		
contig_1	75045	75599	+	VFMEEALB_00425	22.4	10.1		
contig_1	75592	76560	-	VFMEEALB_00430	37.2	9.4	PF00226.34|DnaJ, PF00684.22|DnaJ_CXXCXGXG, PF01556.21|DnaJ_C	PFAM:PF00226.34, PFAM:PF00684.22, PFAM:PF01556.21
contig_1	78357	78851	-	VFMEEALB_00440	19.6	10.3		
contig_1	78852	79835	+	VFMEEALB_00445	38.0	10.1	PF00793.23|DAHP_synth_1	PFAM:PF00793.23
contig_1	79818	80783	-	VFMEEALB_00450	38.4	9.9	PF03054.19|tRNA_Me_trans	PFAM:PF03054.19
contig_1	80762	81373	-	VFMEEALB_00455	25.1	10.0		
contig_1	81351	83354	-	VFMEEALB_00460	81.0	10.0		
contig_1	83351	83971	-	VFMEEALB_00465	25.0	10.2	PF01113.23|DapB_N, PF05173.17|DapB_C	PFAM:PF01113.23, PFAM:PF05173.17
contig_1	83949	84557	-	VFMEEALB_00470	23.7	10.2		
contig_1	85297	85614	-	VFMEEALB_00485	12.9	10.4		
contig_1	85598	86275	-	VFMEEALB_00490	27.8	10.2		
contig_1	92620	93177	+	VFMEEALB_00520	22.1	10.7		
contig_1	93174	93386	+	VFMEEALB_00525	8.6	10.4		
contig_1	94395	94733	+	VFMEEALB_00540	13.3	10.4	PF00237.22|Ribosomal_L22	PFAM:PF00237.22
contig_1	94711	95322	+	VFMEEALB_00545	24.1	10.1	PF00189.23|Ribosomal_S3_C, PF07650.20|KH_2	PFAM:PF00189.23, PFAM:PF07650.20
contig_1	95704	95943	+	VFMEEALB_00555	9.8	10.5	PF00366.23|Ribosomal_S17	PFAM:PF00366.23
contig_1	96274	96825	+	VFMEEALB_00565	21.8	10.0	PF00281.22|Ribosomal_L5, PF00673.24|Ribosomal_L5_C	PFAM:PF00281.22, PFAM:PF00673.24
contig_1	96818	97099	+	VFMEEALB_00570	11.1	11.8		
contig_1	97099	97449	+	VFMEEALB_00575	13.7	10.2	PF00410.22|Ribosomal_S8	PFAM:PF00410.22
contig_1	97439	97966	+	VFMEEALB_00580	20.7	10.1		
contig_1	97953	98246	+	VFMEEALB_00585	11.6	10.1		
contig_1	98239	98643	+	VFMEEALB_00590	15.7	10.8	PF00333.23|Ribosomal_S5, PF03719.18|Ribosomal_S5_C	PFAM:PF00333.23, PFAM:PF03719.18
contig_1	98630	98905	+	VFMEEALB_00595	10.8	11.0		
contig_1	99171	99539	+	VFMEEALB_00610	14.8	10.2		
contig_1	99876	100391	+	VFMEEALB_00620	20.9	10.4	PF01479.28|S4	PFAM:PF01479.28
contig_1	100388	100939	+	VFMEEALB_00625	22.1	10.2		
contig_1	100936	101184	+	VFMEEALB_00630	10.0	10.8		
contig_1	101173	102279	-	VFMEEALB_00635	43.1	10.1	PF00278.25|Orn_DAP_Arg_deC, PF02784.19|Orn_Arg_deC_N	PFAM:PF00278.25, PFAM:PF02784.19
