#Annotated with Bakta v1.5.0, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1614	2168	+	VFOMMDIS_00010	22.3	10.1		
contig_1	2149	2577	+	VFOMMDIS_00015	17.6	10.2		
contig_1	2555	2890	+	VFOMMDIS_00020	13.2	9.7	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
contig_1	2887	6339	+	VFOMMDIS_00025	137.1	10.0	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
contig_1	6336	9968	+	VFOMMDIS_00030	142.4	10.1	PF00623.23|RNA_pol_Rpb1_2, PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5	PFAM:PF00623.23, PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20
contig_1	9943	10326	+	VFOMMDIS_00035	14.4	10.6		
contig_1	12771	13061	+	VFOMMDIS_00050	11.9	10.1	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
contig_1	13522	13887	+	VFOMMDIS_00060	15.1	9.9		
contig_1	13871	14668	+	VFOMMDIS_00065	33.6	10.4		
contig_1	14637	15314	-	VFOMMDIS_00070	28.0	10.1		
contig_1	15295	16365	-	VFOMMDIS_00075	43.0	10.3		
contig_1	16362	16751	-	VFOMMDIS_00080	15.3	10.2		
contig_1	16748	17023	-	VFOMMDIS_00085	10.9	10.8		
contig_1	17013	17726	-	VFOMMDIS_00090	28.7	9.8		
contig_1	17723	18325	-	VFOMMDIS_00095	23.7	9.9		
contig_1	18322	19689	-	VFOMMDIS_00100	54.0	9.9	PF10662.12|PduV-EutP	PFAM:PF10662.12
contig_1	19804	20523	+	VFOMMDIS_00110	29.0	10.2		
contig_1	20520	20966	+	VFOMMDIS_00115	18.2	10.5		
contig_1	20952	21458	-	VFOMMDIS_00120	19.7	9.9	PF05175.17|MTS	PFAM:PF05175.17
contig_1	21459	21626	-	VFOMMDIS_00125	6.7	10.1		
contig_1	21722	22768	+	VFOMMDIS_00130	41.0	10.3	PF00266.22|Aminotran_5	PFAM:PF00266.22
contig_1	22757	23860	-	VFOMMDIS_00135	44.2	10.1	PF00152.23|tRNA-synt_2	PFAM:PF00152.23
contig_1	23857	24492	-	VFOMMDIS_00140	25.3	10.0		
contig_1	24485	25360	-	VFOMMDIS_00145	33.8	10.2	PF00701.25|DHDPS	PFAM:PF00701.25
contig_1	27463	29688	-	VFOMMDIS_00155	90.8	10.1	PF08264.16|Anticodon_1	PFAM:PF08264.16
contig_1	29685	29825	-	VFOMMDIS_00160	5.6	10.3		
contig_1	29804	29962	-	VFOMMDIS_00165	6.4	10.5		
contig_1	29994	32120	+	VFOMMDIS_00170	84.9	10.1	PF01717.21|Meth_synt_2, PF08267.15|Meth_synt_1	PFAM:PF01717.21, PFAM:PF08267.15
contig_1	32320	32955	+	VFOMMDIS_00175	25.6	10.6		
contig_1	32952	34019	+	VFOMMDIS_00180	41.6	10.1	PF01053.23|Cys_Met_Meta_PP	PFAM:PF01053.23
contig_1	34819	35490	-	VFOMMDIS_00190	27.6	10.0	PF00218.24|IGPS	PFAM:PF00218.24
contig_1	35462	36388	-	VFOMMDIS_00195	37.1	10.2		
contig_1	36336	36875	-	VFOMMDIS_00200	21.6	10.0	PF00117.31|GATase	PFAM:PF00117.31
contig_1	36872	37987	-	VFOMMDIS_00205	45.1	10.2		
contig_1	37984	39324	-	VFOMMDIS_00210	52.5	10.0	PF00206.23|Lyase_1, PF14698.9|ASL_C2	PFAM:PF00206.23, PFAM:PF14698.9
contig_1	39542	40831	-	VFOMMDIS_00215	52.4	10.2	PF00749.24|tRNA-synt_1c	PFAM:PF00749.24
contig_1	40812	41639	-	VFOMMDIS_00220	33.4	10.1		
contig_1	41624	42463	-	VFOMMDIS_00225	33.1	10.2		
contig_1	42504	43598	+	VFOMMDIS_00230	45.1	10.1	PF01807.23|zf-CHC2, PF13662.9|Toprim_4	PFAM:PF01807.23, PFAM:PF13662.9
contig_1	45142	47946	+	VFOMMDIS_00240	111.7	10.0	PF07733.15|DNA_pol3_alpha, PF14579.9|HHH_6, PF17657.4|DNA_pol3_finger	PFAM:PF07733.15, PFAM:PF14579.9, PFAM:PF17657.4
contig_1	48961	49938	+	VFOMMDIS_00260	38.3	10.2	PF02774.21|Semialdhyde_dhC	PFAM:PF02774.21
contig_1	49898	50404	+	VFOMMDIS_00265	20.1	10.1	PF00697.25|PRAI	PFAM:PF00697.25
