gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	VFOLIH	9	1200	f	0	1	Prodigal	002006
2	VFOLIH	1200	1271	f	1	2	Aragorn	001002
3	VFOLIH	1279	1708	f	0	1	Prodigal	002006
4	VFOLIH	1685	2291	f	0	1	Prodigal	002006
5	VFOLIH	2287	2830	f	0	1	Prodigal	002006
6	VFOLIH	2816	3197	f	0	1	Prodigal	002006
7	VFOLIH	3193	6571	f	0	1	Prodigal	002006
8	VFOLIH	6567	10446	f	0	1	Prodigal	002006
9	VFOLIH	10387	10762	f	0	1	Prodigal	002006
10	VFOLIH	10730	11210	f	0	1	Prodigal	002006
11	VFOLIH	11209	13270	f	0	1	Prodigal	002006
12	VFOLIH	13253	13571	f	0	1	Prodigal	002006
13	VFOLIH	13563	13770	r	0	1	Prodigal	002006
14	VFOLIH	14235	14310	f	0	2	Aragorn	001002
15	VFOLIH	14318	14453	f	0	1	Prodigal	002006
16	VFOLIH	14420	14885	r	0	1	Prodigal	002006
17	VFOLIH	14881	15904	r	0	1	Prodigal	002006
18	VFOLIH	15900	16200	r	0	1	Prodigal	002006
19	VFOLIH	16196	16565	r	0	1	Prodigal	002006
20	VFOLIH	16551	16875	r	0	1	Prodigal	002006
21	VFOLIH	16858	17647	r	0	1	Prodigal	002006
22	VFOLIH	17787	18420	r	0	1	Prodigal	002006
23	VFOLIH	18403	19684	r	0	1	Prodigal	002006
24	VFOLIH	19680	20586	r	0	1	Prodigal	002006
25	VFOLIH	20557	22666	r	0	1	Prodigal	002006
26	VFOLIH	22658	23996	r	0	1	Prodigal	002006
27	VFOLIH	24029	24102	f	1	2	Aragorn	001002
28	VFOLIH	24108	24963	f	0	1	Prodigal	002006
29	VFOLIH	24947	25424	f	0	1	Prodigal	002006
30	VFOLIH	25420	25984	r	0	1	Prodigal	002006
31	VFOLIH	25986	27384	f	0	1	Prodigal	002006
32	VFOLIH	27373	27751	f	0	1	Prodigal	002006
33	VFOLIH	27730	28957	r	0	1	Prodigal	002006
34	VFOLIH	28925	29735	r	0	1	Prodigal	002006
35	VFOLIH	29824	30631	r	0	1	Prodigal	002006
36	VFOLIH	30680	31604	f	0	1	Prodigal	002006
37	VFOLIH	31591	32635	f	0	1	Prodigal	002006
38	VFOLIH	32635	32725	f	0	2	Aragorn	001002
39	VFOLIH	35043	35205	r	0	1	Prodigal	002006
40	VFOLIH	35191	35350	r	0	1	Prodigal	002006
41	VFOLIH	35357	35431	r	1	2	Aragorn	001002
42	VFOLIH	35431	37666	f	0	1	Prodigal	002006
43	VFOLIH	37837	38533	f	0	1	Prodigal	002006
44	VFOLIH	38529	39594	f	0	1	Prodigal	002006
