locus_tag	ftype	length_bp	gene	EC_number	COG	product
VFTETHEX_00001	tRNA	74				tRNA-Trp(cca)
VFTETHEX_00002	CDS	384				hypothetical protein
VFTETHEX_00003	CDS	642				hypothetical protein
VFTETHEX_00004	CDS	447				hypothetical protein
VFTETHEX_00005	CDS	357	rplL			50S ribosomal protein L7/L12
VFTETHEX_00006	CDS	3894	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
VFTETHEX_00007	CDS	3903	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
VFTETHEX_00008	CDS	396	rpsL		COG0048	30S ribosomal protein S12
VFTETHEX_00009	CDS	474	rpsG		COG0049	30S ribosomal protein S7
VFTETHEX_00010	CDS	2052	fusA		COG0480	Elongation factor G
VFTETHEX_00011	CDS	297	rpsJ		COG0051	30S ribosomal protein S10
VFTETHEX_00012	tRNA	73				tRNA-Phe(gaa)
VFTETHEX_00013	CDS	336				hypothetical protein
VFTETHEX_00014	CDS	696	rsmA	2.1.1.182		Ribosomal RNA small subunit methyltransferase A
VFTETHEX_00015	CDS	1107				hypothetical protein
VFTETHEX_00016	CDS	384	rpsI		COG0103	30S ribosomal protein S9
VFTETHEX_00017	CDS	336	rplM		COG0102	50S ribosomal protein L13
VFTETHEX_00018	CDS	804	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
VFTETHEX_00019	CDS	630	rpiA	5.3.1.6		Ribose-5-phosphate isomerase A
VFTETHEX_00020	CDS	1539	infB			Translation initiation factor IF-2
VFTETHEX_00021	tRNA	74				tRNA-Gln(ttg)
VFTETHEX_00022	CDS	501				hypothetical protein
VFTETHEX_00023	CDS	561	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
VFTETHEX_00024	CDS	1125	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
VFTETHEX_00025	CDS	1299	lysS	6.1.1.6		Lysine--tRNA ligase
VFTETHEX_00026	CDS	699	prfB		COG1186	Peptide chain release factor RF2
VFTETHEX_00027	CDS	909	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
