GENE000071_Prokka:VFQUISP_00091|79939_81214_1|	GENE000080_Prokka:VFBRUSP1_00100|81274_82522_1|	0.396	405	242	0	17	421	13	414	2.951E-75	252
GENE000072_Prokka:VFQUISP_00092|81214_82354_1|	GENE000081_Prokka:VFBRUSP1_00101|82530_83526_1|	0.283	348	231	0	30	377	8	330	1.443E-33	127
GENE000075_Prokka:VFQUISP_00095|84038_85016_-1|	GENE000085_Prokka:VFBRUSP1_00105|85203_86214_-1|	0.344	326	211	0	4	325	6	331	3.974E-54	186
GENE000076_Prokka:VFQUISP_00096|85021_86824_-1|	GENE000086_Prokka:VFBRUSP1_00106|86225_88013_-1|	0.641	600	213	0	1	600	1	593	3.934E-252	774
GENE000077_Prokka:VFQUISP_00097|86820_87303_-1|	GENE000087_Prokka:VFBRUSP1_00107|88014_88455_-1|	0.388	134	75	0	23	156	21	143	2.055E-26	98
GENE000078_Prokka:VFQUISP_00098|87316_88303_1|	GENE000088_Prokka:VFBRUSP1_00108|88461_89346_1|	0.477	287	145	0	33	319	11	289	2.685E-73	242
GENE000079_Prokka:VFQUISP_00099|88280_89255_-1|	GENE000089_Prokka:VFBRUSP1_00109|89340_90327_-1|	0.252	305	224	0	8	312	16	316	4.123E-25	100
GENE000081_Prokka:VFQUISP_00101|89904_92025_-1|	GENE000090_Prokka:VFBRUSP1_00110|90292_92251_-1|	0.361	701	413	0	3	703	5	651	3.897E-124	407
GENE000082_Prokka:VFQUISP_00102|92014_92656_-1|	GENE000091_Prokka:VFBRUSP1_00111|92247_92886_-1|	0.326	201	134	0	12	212	13	212	4.199E-31	114
GENE000083_Prokka:VFQUISP_00103|92652_93891_-1|	GENE000092_Prokka:VFBRUSP1_00112|92882_94085_-1|	0.501	383	189	0	2	384	5	384	1.314E-124	395
GENE000085_Prokka:VFQUISP_00105|94595_95048_1|	GENE000094_Prokka:VFBRUSP1_00114|94816_95194_1|	0.582	127	50	0	14	140	1	120	1.448E-43	147
GENE000086_Prokka:VFQUISP_00106|95013_95256_-1|	GENE000095_Prokka:VFBRUSP1_00115|95177_95423_-1|	0.652	69	24	0	1	69	1	69	6.743E-28	98
GENE000087_Prokka:VFQUISP_00107|95225_95555_-1|	GENE000096_Prokka:VFBRUSP1_00116|95401_95719_-1|	0.361	103	63	0	3	105	5	104	6.179E-10	48
GENE000089_Prokka:VFQUISP_00110|96394_97639_1|	GENE000097_Prokka:VFBRUSP1_00118|96548_97760_1|	0.490	407	205	0	3	409	2	403	2.307E-118	377
GENE000018_Prokka:VFQUISP_00020|17277_18204_1|	GENE000018_Prokka:VFBRUSP1_00021|18154_18952_1|	0.394	278	157	0	10	287	1	260	4.616E-41	147
GENE000020_Prokka:VFQUISP_00022|18671_19202_-1|	GENE000020_Prokka:VFBRUSP1_00023|19395_19914_-1|	0.391	152	91	0	4	153	1	152	1.426E-28	105
GENE000031_Prokka:VFQUISP_00034|32274_33189_-1|	GENE000034_Prokka:VFBRUSP1_00038|34207_35143_-1|	0.256	283	182	0	13	295	16	260	1.829E-15	70
GENE000036_Prokka:VFQUISP_00039|37791_38733_-1|	GENE000039_Prokka:VFBRUSP1_00043|39678_40542_-1|	0.309	271	178	0	28	298	30	287	7.165E-31	117
GENE000032_Prokka:VFQUISP_00035|33164_33755_-1|	GENE000035_Prokka:VFBRUSP1_00039|35132_35681_-1|	0.266	191	133	0	1	191	1	182	5.683E-14	63
GENE000112_Prokka:VFQUISP_00136|110492_111020_1|	GENE000119_Prokka:VFBRUSP1_00143|109951_110440_1|	0.396	153	91	0	1	153	1	151	1.867E-24	93
GENE000002_Prokka:VFQUISP_00002|1186_1621_1|	GENE000001_Prokka:VFBRUSP1_00002|1254_1647_1|	0.353	129	80	0	20	144	1	129	1.873E-20	80
GENE000026_Prokka:VFQUISP_00029|26713_28942_1|	GENE000029_Prokka:VFBRUSP1_00033|28675_30859_1|	0.411	730	421	0	2	731	3	718	4.013E-146	473
GENE000027_Prokka:VFQUISP_00030|29122_29761_1|	GENE000030_Prokka:VFBRUSP1_00034|31063_31684_1|	0.292	209	140	0	1	209	8	206	1.679E-17	74
GENE000028_Prokka:VFQUISP_00031|29765_30869_1|	GENE000031_Prokka:VFBRUSP1_00035|31700_32852_1|	0.387	364	208	0	20	360	5	368	1.351E-69	233
GENE000029_Prokka:VFQUISP_00032|30861_31554_-1|	GENE000032_Prokka:VFBRUSP1_00036|32813_33551_-1|	0.446	213	117	0	4	215	7	219	6.648E-54	181
GENE000030_Prokka:VFQUISP_00033|31550_32300_-1|	GENE000033_Prokka:VFBRUSP1_00037|33543_34233_-1|	0.321	248	150	0	1	248	2	223	3.396E-26	101
GENE000051_Prokka:VFQUISP_00063|58706_59720_1|	GENE000056_Prokka:VFBRUSP1_00068|59497_60415_1|	0.355	304	192	0	29	327	2	305	1.441E-51	179
GENE000052_Prokka:VFQUISP_00064|59688_60243_1|	GENE000057_Prokka:VFBRUSP1_00069|60411_60969_1|	0.436	179	99	0	8	184	7	185	6.003E-43	147
