locus_tag	ftype	length_bp	gene	EC_number	COG	product
VFKELRIB_00001	gene	1203	tufA			
VFKELRIB_00001	CDS	1203	tufA		COG0050	Elongation factor Tu
VFKELRIB_00002	gene	393	rplK			
VFKELRIB_00002	CDS	393	rplK		COG0080	50S ribosomal protein L11
VFKELRIB_00003	gene	558				
VFKELRIB_00003	CDS	558				hypothetical protein
VFKELRIB_00004	gene	441				
VFKELRIB_00004	CDS	441				hypothetical protein
VFKELRIB_00005	gene	360				
VFKELRIB_00005	CDS	360				hypothetical protein
VFKELRIB_00006	gene	3372	rpoB			
VFKELRIB_00006	CDS	3372	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
VFKELRIB_00007	gene	3771	rpoC			
VFKELRIB_00007	CDS	3771	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
VFKELRIB_00008	gene	363	rpsL			
VFKELRIB_00008	CDS	363	rpsL		COG0048	30S ribosomal protein S12
VFKELRIB_00009	gene	465	rpsG			
VFKELRIB_00009	CDS	465	rpsG		COG0049	30S ribosomal protein S7
VFKELRIB_00010	gene	2064	fusA			
VFKELRIB_00010	CDS	2064	fusA		COG0480	Elongation factor G
VFKELRIB_00011	gene	300				
VFKELRIB_00011	CDS	300				hypothetical protein
VFKELRIB_00012	gene	441	def1			
VFKELRIB_00012	CDS	441	def1	3.5.1.88	COG0242	Peptide deformylase 1
VFKELRIB_00013	gene	456				
VFKELRIB_00013	CDS	456				hypothetical protein
VFKELRIB_00014	gene	378	rpsI			
VFKELRIB_00014	CDS	378	rpsI		COG0103	30S ribosomal protein S9
VFKELRIB_00015	gene	288				
VFKELRIB_00015	CDS	288				hypothetical protein
VFKELRIB_00016	gene	786	dapF			
VFKELRIB_00016	CDS	786	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
VFKELRIB_00017	gene	618				
VFKELRIB_00017	CDS	618				hypothetical protein
VFKELRIB_00018	gene	1335	infB			
VFKELRIB_00018	CDS	1335	infB			Translation initiation factor IF-2
VFKELRIB_00019	gene	102				
VFKELRIB_00019	CDS	102				hypothetical protein
VFKELRIB_00020	gene	828	prs			
VFKELRIB_00020	CDS	828	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
VFKELRIB_00021	gene	519				
VFKELRIB_00021	CDS	519				hypothetical protein
VFKELRIB_00022	gene	507	rsmD			
VFKELRIB_00022	CDS	507	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
VFKELRIB_00023	gene	732	prfA_1			
VFKELRIB_00023	CDS	732	prfA_1		COG0216	Peptide chain release factor 1
VFKELRIB_00024	gene	867	dapA			
VFKELRIB_00024	CDS	867	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
VFKELRIB_00025	gene	156				
VFKELRIB_00025	CDS	156				hypothetical protein
VFKELRIB_00026	gene	1173	lysC			
VFKELRIB_00026	CDS	1173	lysC	2.7.2.4	COG0527	Aspartokinase
VFKELRIB_00027	gene	231				
VFKELRIB_00027	CDS	231				hypothetical protein
VFKELRIB_00028	gene	195				
VFKELRIB_00028	CDS	195				hypothetical protein
VFKELRIB_00029	gene	2202	metE			
VFKELRIB_00029	CDS	2202	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
VFKELRIB_00030	gene	747				
VFKELRIB_00030	CDS	747				hypothetical protein
VFKELRIB_00031	gene	1128	metC			
VFKELRIB_00031	CDS	1128	metC	4.4.1.13	COG0626	Cystathionine beta-lyase
VFKELRIB_00032	gene	705	prfA_2			
VFKELRIB_00032	CDS	705	prfA_2		COG0216	Peptide chain release factor 1
VFKELRIB_00033	gene	696	trpC			
VFKELRIB_00033	CDS	696	trpC			Indole-3-glycerol phosphate synthase
VFKELRIB_00034	gene	861	trpD			
VFKELRIB_00034	CDS	861	trpD	2.4.2.18		Anthranilate phosphoribosyltransferase
VFKELRIB_00035	gene	567	pabA			
VFKELRIB_00035	CDS	567	pabA	2.6.1.85	COG0512	Aminodeoxychorismate synthase component 2
VFKELRIB_00036	gene	1212	menF			
VFKELRIB_00036	CDS	1212	menF	5.4.4.2		Isochorismate synthase MenF
VFKELRIB_00037	gene	1380	argH			
VFKELRIB_00037	CDS	1380	argH	4.3.2.1	COG0165	Argininosuccinate lyase
VFKELRIB_00038	gene	864	thrB			
VFKELRIB_00038	CDS	864	thrB	2.7.1.39		Homoserine kinase
VFKELRIB_00039	gene	1164	rpoD			
VFKELRIB_00039	CDS	1164	rpoD			RNA polymerase sigma factor RpoD
VFKELRIB_00040	gene	2760	dnaE			
VFKELRIB_00040	CDS	2760	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
VFKELRIB_00041	gene	720				
VFKELRIB_00041	CDS	720				hypothetical protein
VFKELRIB_00042	gene	969	asd1			
VFKELRIB_00042	CDS	969	asd1	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 1
VFKELRIB_00043	gene	615	trpF			
VFKELRIB_00043	CDS	615	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
VFKELRIB_00044	gene	1140	trpB			
VFKELRIB_00044	CDS	1140	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
VFKELRIB_00045	gene	591				
VFKELRIB_00045	CDS	591				hypothetical protein
VFKELRIB_00046	gene	222				
VFKELRIB_00046	CDS	222				hypothetical protein
VFKELRIB_00047	gene	183				
VFKELRIB_00047	CDS	183				hypothetical protein
VFKELRIB_00048	gene	687				
VFKELRIB_00048	CDS	687				hypothetical protein
VFKELRIB_00049	gene	513	dnaQ			
VFKELRIB_00049	CDS	513	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
VFKELRIB_00050	gene	1041	carA			
VFKELRIB_00050	CDS	1041	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
VFKELRIB_00051	gene	3105	carB			
VFKELRIB_00051	CDS	3105	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
VFKELRIB_00052	gene	504	rlmE			
VFKELRIB_00052	CDS	504	rlmE	2.1.1.166		Ribosomal RNA large subunit methyltransferase E
VFKELRIB_00053	gene	519	clpP			
VFKELRIB_00053	CDS	519	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
VFKELRIB_00054	gene	1137	clpX			
VFKELRIB_00054	CDS	1137	clpX			ATP-dependent Clp protease ATP-binding subunit ClpX
VFKELRIB_00055	gene	513				
VFKELRIB_00055	CDS	513				hypothetical protein
VFKELRIB_00056	gene	960	dnaX			
VFKELRIB_00056	CDS	960	dnaX	2.7.7.7	COG2812	DNA polymerase III subunit tau
VFKELRIB_00057	gene	615	hisG			
VFKELRIB_00057	CDS	615	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
VFKELRIB_00058	gene	1224	hisD			
VFKELRIB_00058	CDS	1224	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
VFKELRIB_00059	gene	984	hisC2			
VFKELRIB_00059	CDS	984	hisC2	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase 2
VFKELRIB_00060	gene	552	hisB			
VFKELRIB_00060	CDS	552	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
VFKELRIB_00061	gene	585	hisH			
VFKELRIB_00061	CDS	585	hisH	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
VFKELRIB_00062	gene	729	hisA			
VFKELRIB_00062	CDS	729	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
VFKELRIB_00063	gene	744	hisF			
VFKELRIB_00063	CDS	744	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
VFKELRIB_00064	gene	294	hisI			
VFKELRIB_00064	CDS	294	hisI	3.5.4.19	COG0139	Phosphoribosyl-AMP cyclohydrolase
VFKELRIB_00065	gene	291	hisE			
VFKELRIB_00065	CDS	291	hisE	3.6.1.31		Phosphoribosyl-ATP pyrophosphatase
VFKELRIB_00066	gene	141				
VFKELRIB_00066	CDS	141				hypothetical protein
VFKELRIB_00067	gene	822	argF			
VFKELRIB_00067	CDS	822	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase, anabolic
VFKELRIB_00068	gene	378				
VFKELRIB_00068	CDS	378				hypothetical protein
VFKELRIB_00069	gene	168				
VFKELRIB_00069	CDS	168				hypothetical protein
VFKELRIB_00070	gene	522	infC			
VFKELRIB_00070	CDS	522	infC			Translation initiation factor IF-3
VFKELRIB_00071	gene	1020	aroC			
VFKELRIB_00071	CDS	1020	aroC	4.2.3.5	COG0082	Chorismate synthase
VFKELRIB_00072	gene	78				
VFKELRIB_00072	tRNA	78				tRNA-Leu(taa)
VFKELRIB_00073	gene	72				
VFKELRIB_00073	tRNA	72				tRNA-Met(cat)
VFKELRIB_00074	gene	327				
VFKELRIB_00074	CDS	327				hypothetical protein
VFKELRIB_00075	gene	471				
VFKELRIB_00075	CDS	471				hypothetical protein
VFKELRIB_00076	gene	147				
VFKELRIB_00076	CDS	147				hypothetical protein
VFKELRIB_00077	gene	108				
VFKELRIB_00077	CDS	108				hypothetical protein
VFKELRIB_00078	gene	513				
VFKELRIB_00078	CDS	513				hypothetical protein
VFKELRIB_00079	gene	735	dapD			
VFKELRIB_00079	CDS	735	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
VFKELRIB_00080	gene	1065	dapE			
VFKELRIB_00080	CDS	1065	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
VFKELRIB_00081	gene	1281	thrC			
VFKELRIB_00081	CDS	1281	thrC	4.2.3.1	COG0498	Threonine synthase
VFKELRIB_00082	gene	1134				
VFKELRIB_00082	CDS	1134				hypothetical protein
VFKELRIB_00083	gene	1170	dnaC			
VFKELRIB_00083	CDS	1170	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
VFKELRIB_00084	gene	342				
VFKELRIB_00084	CDS	342				hypothetical protein
VFKELRIB_00085	gene	1050	rho			
VFKELRIB_00085	CDS	1050	rho	3.6.4.-	COG1158	Transcription termination factor Rho
VFKELRIB_00086	gene	246				
VFKELRIB_00086	CDS	246				hypothetical protein
VFKELRIB_00087	gene	1173				
VFKELRIB_00087	CDS	1173				hypothetical protein
VFKELRIB_00088	gene	243				
VFKELRIB_00088	CDS	243				hypothetical protein
VFKELRIB_00089	gene	1563	groL			
VFKELRIB_00089	CDS	1563	groL		COG0459	60 kDa chaperonin
VFKELRIB_00090	gene	1287	aroA			
VFKELRIB_00090	CDS	1287	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
VFKELRIB_00091	gene	1095				
VFKELRIB_00091	CDS	1095				hypothetical protein
VFKELRIB_00092	gene	663				
VFKELRIB_00092	CDS	663		3.1.3.-	COG0560	putative phosphatase
VFKELRIB_00093	gene	981	dnaJ			
VFKELRIB_00093	CDS	981	dnaJ			Chaperone protein DnaJ
VFKELRIB_00094	gene	1803	dnaK			
VFKELRIB_00094	CDS	1803	dnaK		COG0443	Chaperone protein DnaK
VFKELRIB_00095	gene	993	aroH			
VFKELRIB_00095	CDS	993	aroH	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive
VFKELRIB_00096	gene	93				
VFKELRIB_00096	CDS	93				hypothetical protein
VFKELRIB_00097	gene	576				
VFKELRIB_00097	CDS	576				hypothetical protein
VFKELRIB_00098	gene	579	dapB			
VFKELRIB_00098	CDS	579	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
VFKELRIB_00099	gene	636	aroE			
VFKELRIB_00099	CDS	636	aroE	1.1.1.25		Shikimate dehydrogenase (NADP(+))
VFKELRIB_00100	gene	477	aroQ			
VFKELRIB_00100	CDS	477	aroQ	4.2.1.10	COG0757	3-dehydroquinate dehydratase
VFKELRIB_00101	gene	243	rpmA			
VFKELRIB_00101	CDS	243	rpmA		COG0211	50S ribosomal protein L27
VFKELRIB_00102	gene	555				
VFKELRIB_00102	CDS	555				hypothetical protein
VFKELRIB_00103	gene	411				
VFKELRIB_00103	CDS	411				hypothetical protein
VFKELRIB_00104	gene	1293	argG			
VFKELRIB_00104	CDS	1293	argG	6.3.4.5	COG0137	Argininosuccinate synthase
VFKELRIB_00105	gene	2889				
VFKELRIB_00105	rRNA	2889				23S ribosomal RNA
VFKELRIB_00106	gene	73				
VFKELRIB_00106	tRNA	73				tRNA-Ala(tgc)
VFKELRIB_00107	gene	1530				
VFKELRIB_00107	rRNA	1530				16S ribosomal RNA
VFKELRIB_00108	gene	435				
VFKELRIB_00108	CDS	435				hypothetical protein
VFKELRIB_00109	gene	510				
VFKELRIB_00109	CDS	510				hypothetical protein
VFKELRIB_00110	gene	195				
VFKELRIB_00110	CDS	195				hypothetical protein
VFKELRIB_00111	gene	807	rplB			
VFKELRIB_00111	CDS	807	rplB		COG0090	50S ribosomal protein L2
VFKELRIB_00112	gene	243	rpsS			
VFKELRIB_00112	CDS	243	rpsS		COG0185	30S ribosomal protein S19
VFKELRIB_00113	gene	312				
VFKELRIB_00113	CDS	312				hypothetical protein
VFKELRIB_00114	gene	606	rpsC			
VFKELRIB_00114	CDS	606	rpsC		COG0092	30S ribosomal protein S3
VFKELRIB_00115	gene	420	rplP			
VFKELRIB_00115	CDS	420	rplP		COG0197	50S ribosomal protein L16
VFKELRIB_00116	gene	111				
VFKELRIB_00116	CDS	111				hypothetical protein
VFKELRIB_00117	gene	222				
VFKELRIB_00117	CDS	222				hypothetical protein
VFKELRIB_00118	gene	381	rplN			
VFKELRIB_00118	CDS	381	rplN		COG0093	50S ribosomal protein L14
VFKELRIB_00119	gene	159				
VFKELRIB_00119	CDS	159				hypothetical protein
VFKELRIB_00120	gene	537	rplE			
VFKELRIB_00120	CDS	537	rplE		COG0094	50S ribosomal protein L5
VFKELRIB_00121	gene	249				
VFKELRIB_00121	CDS	249				hypothetical protein
VFKELRIB_00122	gene	387	rpsH			
VFKELRIB_00122	CDS	387	rpsH			30S ribosomal protein S8
VFKELRIB_00123	gene	522	rplF			
VFKELRIB_00123	CDS	522	rplF		COG0097	50S ribosomal protein L6
VFKELRIB_00124	gene	300				
VFKELRIB_00124	CDS	300				hypothetical protein
VFKELRIB_00125	gene	423	rpsE			
VFKELRIB_00125	CDS	423	rpsE		COG0098	30S ribosomal protein S5
VFKELRIB_00126	gene	330				
VFKELRIB_00126	CDS	330				hypothetical protein
VFKELRIB_00127	gene	228	infA			
VFKELRIB_00127	CDS	228	infA		COG0361	Translation initiation factor IF-1
VFKELRIB_00128	gene	117	rpmJ			
VFKELRIB_00128	CDS	117	rpmJ		COG0257	50S ribosomal protein L36
VFKELRIB_00129	gene	357	rpsM			
VFKELRIB_00129	CDS	357	rpsM		COG0099	30S ribosomal protein S13
VFKELRIB_00130	gene	339	rpsK			
VFKELRIB_00130	CDS	339	rpsK			30S ribosomal protein S11
