gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	VFCIXIUS	0	1191	f	0	1	Prodigal	2.6
2	VFCIXIUS	1190	1261	f	1	2	Prodigal	2.6
3	VFCIXIUS	1269	1680	f	0	1	Prodigal	2.6
4	VFCIXIUS	1669	2332	f	0	1	Prodigal	2.6
5	VFCIXIUS	2291	2756	f	0	1	Prodigal	2.6
6	VFCIXIUS	2742	3141	f	0	1	Prodigal	2.6
7	VFCIXIUS	3137	6680	f	0	1	Prodigal	2.6
8	VFCIXIUS	6696	10584	f	0	1	Prodigal	2.6
9	VFCIXIUS	10546	10945	f	0	1	Prodigal	2.6
10	VFCIXIUS	10901	11408	f	0	1	Prodigal	2.6
11	VFCIXIUS	11404	13471	f	0	1	Prodigal	2.6
12	VFCIXIUS	13454	13769	f	0	1	Prodigal	2.6
13	VFCIXIUS	13758	13965	r	0	1	Prodigal	2.6
14	VFCIXIUS	14015	14441	f	0	1	Prodigal	2.6
15	VFCIXIUS	14433	15309	f	0	1	Prodigal	2.6
16	VFCIXIUS	15299	15372	f	1	2	Prodigal	2.6
17	VFCIXIUS	17926	19054	r	0	1	Prodigal	2.6
18	VFCIXIUS	19245	19635	r	0	1	Prodigal	2.6
19	VFCIXIUS	19628	19913	r	0	1	Prodigal	2.6
20	VFCIXIUS	19939	20773	r	0	1	Prodigal	2.6
21	VFCIXIUS	20805	21486	r	0	1	Prodigal	2.6
22	VFCIXIUS	23159	23232	f	1	2	Prodigal	2.6
23	VFCIXIUS	24144	24690	f	0	1	Prodigal	2.6
24	VFCIXIUS	24690	25251	r	0	1	Prodigal	2.6
25	VFCIXIUS	25560	26739	f	0	1	Prodigal	2.6
26	VFCIXIUS	26770	28120	r	0	1	Prodigal	2.6
27	VFCIXIUS	28109	29033	r	0	1	Prodigal	2.6
28	VFCIXIUS	29004	29916	r	0	1	Prodigal	2.6
29	VFCIXIUS	29942	30929	f	0	1	Prodigal	2.6
30	VFCIXIUS	30867	32025	f	0	1	Prodigal	2.6
31	VFCIXIUS	32054	32145	f	1	2	Prodigal	2.6
32	VFCIXIUS	32142	34548	r	0	1	Prodigal	2.6
33	VFCIXIUS	32142	34548	r	0	1	Prodigal	2.6
34	VFCIXIUS	34544	34715	r	0	1	Prodigal	2.6
35	VFCIXIUS	34789	37000	f	0	1	Prodigal	2.6
36	VFCIXIUS	37241	37979	f	0	1	Prodigal	2.6
37	VFCIXIUS	37975	39088	f	0	1	Prodigal	2.6
38	VFCIXIUS	39065	39797	r	0	1	Prodigal	2.6
39	VFCIXIUS	39789	40524	r	0	1	Prodigal	2.6
40	VFCIXIUS	40528	41428	r	0	1	Prodigal	2.6
41	VFCIXIUS	41424	41985	r	0	1	Prodigal	2.6
42	VFCIXIUS	41965	43204	r	0	1	Prodigal	2.6
43	VFCIXIUS	44797	46186	r	0	1	Prodigal	2.6
44	VFCIXIUS	46213	47206	r	0	1	Prodigal	2.6
45	VFCIXIUS	47398	48733	r	0	1	Prodigal	2.6
46	VFCIXIUS	48716	49670	r	0	1	Prodigal	2.6
47	VFCIXIUS	49730	51062	f	0	1	Prodigal	2.6
48	VFCIXIUS	51296	54329	f	0	1	Prodigal	2.6
49	VFCIXIUS	54478	54551	f	1	2	Prodigal	2.6
50	VFCIXIUS	54571	54659	f	1	2	Prodigal	2.6
51	VFCIXIUS	54668	55445	f	0	1	Prodigal	2.6
52	VFCIXIUS	55899	56943	f	0	1	Prodigal	2.6
53	VFCIXIUS	56926	57571	f	0	1	Prodigal	2.6
54	VFCIXIUS	57557	58721	f	0	1	Prodigal	2.6
55	VFCIXIUS	58710	59484	f	0	1	Prodigal	2.6
56	VFCIXIUS	59440	59668	f	0	1	Prodigal	2.6
57	VFCIXIUS	59882	59954	r	0	2	Prodigal	2.6
58	VFCIXIUS	59978	60593	f	0	1	Prodigal	2.6
59	VFCIXIUS	59978	60593	f	0	1	Prodigal	2.6
60	VFCIXIUS	60711	60784	r	1	2	Prodigal	2.6
61	VFCIXIUS	60790	60862	r	0	2	Prodigal	2.6
62	VFCIXIUS	60847	61426	r	0	1	Prodigal	2.6
63	VFCIXIUS	61481	62519	f	0	1	Prodigal	2.6
64	VFCIXIUS	62505	65679	f	0	1	Prodigal	2.6
65	VFCIXIUS	65653	66214	f	0	1	Prodigal	2.6
66	VFCIXIUS	66213	66765	f	0	1	Prodigal	2.6
67	VFCIXIUS	66761	67919	f	0	1	Prodigal	2.6
68	VFCIXIUS	67917	67989	f	0	2	Prodigal	2.6
69	VFCIXIUS	68823	69927	f	0	1	Prodigal	2.6
70	VFCIXIUS	69917	71075	f	0	1	Prodigal	2.6
71	VFCIXIUS	71323	71408	r	1	2	Prodigal	2.6
72	VFCIXIUS	71419	72010	f	0	1	Prodigal	2.6
73	VFCIXIUS	72006	73272	f	0	1	Prodigal	2.6
74	VFCIXIUS	73315	74317	f	0	1	Prodigal	2.6
75	VFCIXIUS	74313	74886	f	0	1	Prodigal	2.6
76	VFCIXIUS	74882	75497	f	0	1	Prodigal	2.6
77	VFCIXIUS	75481	76213	f	0	1	Prodigal	2.6
78	VFCIXIUS	76202	76970	f	0	1	Prodigal	2.6
79	VFCIXIUS	76972	77290	f	0	1	Prodigal	2.6
80	VFCIXIUS	77286	77565	f	0	1	Prodigal	2.6
