# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
VFMALBOS	cds	1	1182	+	CDDJIM_00005		hypothetical protein	PFAM:PF00009.30, PFAM:PF03143.20, PFAM:PF03144.28
VFMALBOS	tRNA	1185	1250	+	CDDJIM_00010	trnF	(pseudo) tRNA-Phe(gaa)	SO:0000267
VFMALBOS	cds	1254	1661	+	CDDJIM_00015		hypothetical protein	
VFMALBOS	cds	1654	2295	+	CDDJIM_00020		hypothetical protein	
VFMALBOS	cds	2243	2689	+	CDDJIM_00025		hypothetical protein	
VFMALBOS	cds	2667	3062	+	CDDJIM_00030		hypothetical protein	PFAM:PF00542.22
VFMALBOS	cds	3055	6411	+	CDDJIM_00035		hypothetical protein	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
VFMALBOS	cds	6404	10021	+	CDDJIM_00040		hypothetical protein	PFAM:PF00623.23, PFAM:PF04997.15, PFAM:PF04998.20
VFMALBOS	cds	9987	10382	+	CDDJIM_00045		hypothetical protein	
VFMALBOS	cds	10360	10827	+	CDDJIM_00050		hypothetical protein	PFAM:PF00177.24
VFMALBOS	cds	10821	12932	+	CDDJIM_00055		hypothetical protein	PFAM:PF00009.30, PFAM:PF00679.27, PFAM:PF03144.28, PFAM:PF03764.21, PFAM:PF14492.9
VFMALBOS	cds	12936	13247	+	CDDJIM_00060		hypothetical protein	PFAM:PF00338.25
VFMALBOS	cds	13240	13668	+	CDDJIM_00065		hypothetical protein	PFAM:PF01327.24
VFMALBOS	cds	13640	14059	+	CDDJIM_00070		hypothetical protein	
VFMALBOS	cds	13947	14681	-	CDDJIM_00075		hypothetical protein	PFAM:PF00398.23
VFMALBOS	cds	14681	15073	-	CDDJIM_00080		hypothetical protein	
VFMALBOS	cds	15066	15401	-	CDDJIM_00085		hypothetical protein	
VFMALBOS	cds	15367	16008	-	CDDJIM_00090		hypothetical protein	
VFMALBOS	cds	16036	16572	+	CDDJIM_00095		hypothetical protein	
VFMALBOS	cds	16553	17125	-	CDDJIM_00100		hypothetical protein	
VFMALBOS	cds	17183	17869	-	CDDJIM_00105		hypothetical protein	PFAM:PF03462.21
VFMALBOS	cds	17886	18794	+	CDDJIM_00110		hypothetical protein	PFAM:PF04542.17, PFAM:PF04545.19
VFMALBOS	cds	18791	21796	+	CDDJIM_00115		hypothetical protein	PFAM:PF07733.15, PFAM:PF14579.9, PFAM:PF17657.4
VFMALBOS	cds	21786	21971	+	CDDJIM_00120		hypothetical protein	
VFMALBOS	cds	21968	22753	+	CDDJIM_00125		hypothetical protein	PFAM:PF02219.20
VFMALBOS	cds	22755	23000	+	CDDJIM_00130		hypothetical protein	
VFMALBOS	cds	22960	23178	+	CDDJIM_00135		hypothetical protein	
VFMALBOS	cds	23257	23859	-	CDDJIM_00140		hypothetical protein	
VFMALBOS	cds	24062	24265	+	CDDJIM_00145		hypothetical protein	
VFMALBOS	cds	24407	24898	-	CDDJIM_00150		hypothetical protein	PFAM:PF05198.19
VFMALBOS	cds	24919	25977	-	CDDJIM_00155		hypothetical protein	
VFMALBOS	tRNA	25986	26056	-	CDDJIM_00160	trnR	tRNA-Arg(tct)	SO:0001036
VFMALBOS	tRNA	26137	26208	-	CDDJIM_00165	trnfM	tRNA-fMet(cat)	SO:0000266
VFMALBOS	cds	26227	26547	+	CDDJIM_00170		hypothetical protein	
VFMALBOS	cds	27015	27335	+	CDDJIM_00175		hypothetical protein	PFAM:PF00085.23
VFMALBOS	tRNA	27532	27605	-	CDDJIM_00180	trnD	tRNA-Asp(gtc)	SO:0000256
VFMALBOS	cds	28650	29960	+	CDDJIM_00185		hypothetical protein	
VFMALBOS	cds	29941	30396	+	CDDJIM_00190		hypothetical protein	
