# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
VFTETSUL	tRNA	1179	1250	+	OMFODB_00005	trnW	tRNA-Trp(cca)	SO:0000271
VFTETSUL	cds	1258	1644	+	OMFODB_00010		hypothetical protein	PFAM:PF00298.22
VFTETSUL	cds	1634	2278	+	OMFODB_00015		hypothetical protein	
VFTETSUL	cds	2271	2717	+	OMFODB_00020		hypothetical protein	
VFTETSUL	cds	2695	3054	+	OMFODB_00025		hypothetical protein	PFAM:PF00542.22
VFTETSUL	cds	3033	7196	+	OMFODB_00030		hypothetical protein	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04561.17, PFAM:PF04565.19
VFTETSUL	cds	7172	11098	+	OMFODB_00035		hypothetical protein	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20
VFTETSUL	cds	11095	11490	+	OMFODB_00040		hypothetical protein	
VFTETSUL	cds	11459	11932	+	OMFODB_00045		hypothetical protein	PFAM:PF00177.24
VFTETSUL	cds	11932	13986	+	OMFODB_00050		Elongation factor G 1	SO:0001217, UniRef:UniRef50_Q9KUZ7
VFTETSUL	cds	13974	14270	+	OMFODB_00055		hypothetical protein	PFAM:PF00338.25
VFTETSUL	tRNA	14686	14758	+	OMFODB_00060	trnF	tRNA-Phe(gaa)	SO:0000267
VFTETSUL	cds	14767	15102	+	OMFODB_00065		hypothetical protein	
VFTETSUL	cds	15095	15790	-	OMFODB_00070		hypothetical protein	PFAM:PF00398.23
VFTETSUL	cds	15787	16890	-	OMFODB_00075		hypothetical protein	
VFTETSUL	cds	16887	17270	-	OMFODB_00080		30S ribosomal protein S9	SO:0001217, UniRef:UniRef50_S5SQL1
VFTETSUL	cds	17276	17611	-	OMFODB_00085		hypothetical protein	
VFTETSUL	cds	17598	18401	-	OMFODB_00090		hypothetical protein	PFAM:PF01678.22
VFTETSUL	cds	18402	19043	-	OMFODB_00095		hypothetical protein	
VFTETSUL	cds	19033	20667	-	OMFODB_00100		hypothetical protein	PFAM:PF00009.30, PFAM:PF10662.12
VFTETSUL	tRNA	20698	20769	+	OMFODB_00105	trnQ	tRNA-Gln(ttg)	SO:0000261
VFTETSUL	cds	21648	22151	+	OMFODB_00110		hypothetical protein	
VFTETSUL	cds	22148	22708	-	OMFODB_00115		hypothetical protein	PFAM:PF05175.17, PFAM:PF08241.15, PFAM:PF13649.9, PFAM:PF13847.9
VFTETSUL	cds	22794	23930	+	OMFODB_00120		hypothetical protein	PFAM:PF00266.22
VFTETSUL	cds	23922	25220	-	OMFODB_00125		hypothetical protein	PFAM:PF00152.23
VFTETSUL	cds	25227	25925	-	OMFODB_00130		hypothetical protein	PFAM:PF03462.21
VFTETSUL	cds	25903	26811	-	OMFODB_00135		hypothetical protein	PFAM:PF00701.25
VFTETSUL	tRNA	28913	28996	+	OMFODB_00140	trnS	tRNA-Ser(gct)	SO:0000269
VFTETSUL	cds	29230	29370	-	OMFODB_00145		hypothetical protein	
VFTETSUL	cds	29352	29546	-	OMFODB_00150		hypothetical protein	
VFTETSUL	cds	29566	31785	+	OMFODB_00155		hypothetical protein	PFAM:PF01717.21, PFAM:PF08267.15
VFTETSUL	cds	31993	32796	+	OMFODB_00160		hypothetical protein	
VFTETSUL	cds	32793	33926	+	OMFODB_00165		hypothetical protein	PFAM:PF01053.23
VFTETSUL	cds	33915	34718	-	OMFODB_00170		Peptide chain release factor RF1	SO:0001217, UniRef:UniRef50_S5SQ94
VFTETSUL	cds	34755	35303	-	OMFODB_00175		hypothetical protein	PFAM:PF00117.31
VFTETSUL	cds	35300	36586	-	OMFODB_00180		hypothetical protein	
VFTETSUL	cds	36798	38258	-	OMFODB_00185		hypothetical protein	PFAM:PF00749.24
VFTETSUL	cds	38260	39171	-	OMFODB_00190		hypothetical protein	
VFTETSUL	tRNA	40614	40859	+	OMFODB_00195		tRNA-Xxx	
VFTETSUL	cds	43806	43976	+	OMFODB_00200		hypothetical protein	PFAM:PF00312.25
VFTETSUL	cds	44051	44782	+	OMFODB_00205		hypothetical protein	
VFTETSUL	cds	44779	45819	+	OMFODB_00210		hypothetical protein	PFAM:PF01118.27, PFAM:PF02774.21
VFTETSUL	cds	46084	46341	+	OMFODB_00215		hypothetical protein	
VFTETSUL	cds	46322	46540	+	OMFODB_00220		hypothetical protein	
VFTETSUL	tRNA	46541	46612	-	OMFODB_00225	trnN	tRNA-Asn(gtt)	SO:0000257
VFTETSUL	tRNA	46720	46792	-	OMFODB_00230	trnC	tRNA-Cys(gca)	SO:0000258
VFTETSUL	cds	47298	47921	+	OMFODB_00235		hypothetical protein	
VFTETSUL	cds	47911	48477	+	OMFODB_00240		ATP-dependent Clp protease proteolytic subunit	SO:0001217, UniRef:UniRef50_Q05FR8
VFTETSUL	tRNA	49625	49696	+	OMFODB_00245	trnV	tRNA-Val(tac)	SO:0000273
VFTETSUL	cds	49700	50500	+	OMFODB_00250		hypothetical protein	PFAM:PF13177.9
VFTETSUL	cds	50472	51512	+	OMFODB_00255		hypothetical protein	PFAM:PF00004.32, PFAM:PF05496.15, PFAM:PF13177.9
VFTETSUL	tRNA	51575	51657	-	OMFODB_00260	trnS	tRNA-Ser(tga)	SO:0000269
VFTETSUL	cds	51667	52266	+	OMFODB_00265		hypothetical protein	
VFTETSUL	cds	52263	53486	+	OMFODB_00270		hypothetical protein	
VFTETSUL	cds	53473	54438	+	OMFODB_00275		hypothetical protein	PFAM:PF00155.24
VFTETSUL	cds	54435	55028	+	OMFODB_00280		hypothetical protein	
VFTETSUL	cds	55025	55621	+	OMFODB_00285		hypothetical protein	PFAM:PF00117.31
VFTETSUL	cds	55618	56331	+	OMFODB_00290		hypothetical protein	
VFTETSUL	cds	56321	57067	+	OMFODB_00295		Imidazole glycerol phosphate synthase cyclase subunit	SO:0001217, UniRef:UniRef50_A0A346E0I2
VFTETSUL	cds	57064	57357	+	OMFODB_00300		hypothetical protein	
VFTETSUL	cds	57338	57601	+	OMFODB_00305		hypothetical protein	
VFTETSUL	tRNA	57678	57750	-	OMFODB_00310	trnK	tRNA-Lys(ttt)	SO:0000265
VFTETSUL	cds	58082	58243	-	OMFODB_00315		hypothetical protein	
VFTETSUL	cds	58224	58682	-	OMFODB_00320		hypothetical protein	PFAM:PF05198.19
VFTETSUL	tRNA	58694	58766	-	OMFODB_00325	trnL	tRNA-Leu(caa)	SO:0000264
VFTETSUL	cds	59899	60018	+	OMFODB_00330		hypothetical protein	
VFTETSUL	tRNA	60024	60092	-	OMFODB_00335	trnfM	tRNA-fMet(cat)	SO:0000266
VFTETSUL	tRNA	60135	60206	+	OMFODB_00340	trnP	tRNA-Pro(tgg)	SO:0000268
VFTETSUL	cds	60496	61029	-	OMFODB_00345		hypothetical protein	
VFTETSUL	cds	61026	61982	-	OMFODB_00350		hypothetical protein	
VFTETSUL	cds	62116	63075	+	OMFODB_00355		hypothetical protein	PFAM:PF00155.24
VFTETSUL	cds	63054	63842	+	OMFODB_00360		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	SO:0001217, UniRef:UniRef50_Q73H59
VFTETSUL	cds	63835	64956	+	OMFODB_00365		hypothetical protein	PFAM:PF07687.17
VFTETSUL	cds	64953	66239	-	OMFODB_00370		hypothetical protein	PFAM:PF14821.9
VFTETSUL	cds	66236	67411	-	OMFODB_00375		hypothetical protein	PFAM:PF00742.22, PFAM:PF03447.19
VFTETSUL	cds	67401	68627	-	OMFODB_00380		hypothetical protein	PFAM:PF03796.18, PFAM:PF08423.14, PFAM:PF13481.9
VFTETSUL	cds	68620	68799	-	OMFODB_00385		hypothetical protein	
VFTETSUL	cds	68796	69101	-	OMFODB_00390		hypothetical protein	PFAM:PF01250.20
VFTETSUL	tRNA	69317	69390	-	OMFODB_00395	trnD	tRNA-Asp(gtc)	SO:0000256
VFTETSUL	cds	69506	70816	+	OMFODB_00400		hypothetical protein	
VFTETSUL	cds	70816	72669	+	OMFODB_00405		hypothetical protein	PFAM:PF13932.9
VFTETSUL	cds	72718	73992	+	OMFODB_00410		hypothetical protein	
VFTETSUL	cds	73989	75194	+	OMFODB_00415		hypothetical protein	
VFTETSUL	cds	75191	76498	-	OMFODB_00420		hypothetical protein	PFAM:PF02767.19, PFAM:PF02768.18
VFTETSUL	cds	76839	77870	-	OMFODB_00425		hypothetical protein	PFAM:PF00226.34, PFAM:PF00684.22, PFAM:PF01556.21
VFTETSUL	cds	77863	79665	-	OMFODB_00430	dnaK	Chaperone protein DnaK	SO:0001217, UniRef:UniRef50_A6T226
VFTETSUL	cds	79671	80111	-	OMFODB_00435		hypothetical protein	
VFTETSUL	cds	80143	81093	+	OMFODB_00440		hypothetical protein	PFAM:PF00793.23
VFTETSUL	cds	81064	82053	-	OMFODB_00445		hypothetical protein	PFAM:PF03054.19
VFTETSUL	cds	82067	82654	-	OMFODB_00450		hypothetical protein	
