# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
VFOECSP1	tRNA	1173	1243	+	IHBEBF_00005	trnW	tRNA-Trp(cca)	SO:0000271
VFOECSP1	cds	1248	1622	+	IHBEBF_00010		hypothetical protein	PFAM:PF03946.17
VFOECSP1	cds	1619	2047	+	IHBEBF_00015		hypothetical protein	
VFOECSP1	cds	2025	2366	+	IHBEBF_00020		hypothetical protein	PFAM:PF00542.22
VFOECSP1	cds	2350	6135	+	IHBEBF_00025		hypothetical protein	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
VFOECSP1	cds	6128	9745	+	IHBEBF_00030		hypothetical protein	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20, PFAM:PF05000.20
VFOECSP1	cds	9696	10079	+	IHBEBF_00035		hypothetical protein	
VFOECSP1	cds	10058	10528	+	IHBEBF_00040		hypothetical protein	PFAM:PF00177.24
VFOECSP1	cds	10528	12591	+	IHBEBF_00045		Elongation factor G 1	SO:0001217, UniRef:UniRef50_Q9KUZ7
VFOECSP1	cds	12581	12874	+	IHBEBF_00050		hypothetical protein	PFAM:PF00338.25
VFOECSP1	tRNA	13296	13368	+	IHBEBF_00055	trnF	tRNA-Phe(gaa)	SO:0000267
VFOECSP1	cds	13369	13536	+	IHBEBF_00060		hypothetical protein	
VFOECSP1	cds	13525	14046	-	IHBEBF_00065		hypothetical protein	PFAM:PF00398.23
VFOECSP1	cds	14033	15040	-	IHBEBF_00070		hypothetical protein	
VFOECSP1	cds	15037	15417	-	IHBEBF_00075		hypothetical protein	
VFOECSP1	cds	15411	15686	-	IHBEBF_00080		hypothetical protein	
VFOECSP1	cds	15658	16440	-	IHBEBF_00085		hypothetical protein	PFAM:PF01678.22
VFOECSP1	cds	16437	17057	-	IHBEBF_00090		hypothetical protein	
VFOECSP1	cds	17057	17398	-	IHBEBF_00095		hypothetical protein	PFAM:PF00436.28
VFOECSP1	tRNA	17399	17471	+	IHBEBF_00100	trnQ	tRNA-Gln(ttg)	SO:0000261
VFOECSP1	cds	17475	18368	+	IHBEBF_00105		hypothetical protein	PFAM:PF00156.30, PFAM:PF13793.9
VFOECSP1	cds	18358	18798	+	IHBEBF_00110		hypothetical protein	
VFOECSP1	cds	18781	19326	-	IHBEBF_00115		hypothetical protein	PFAM:PF05175.17
VFOECSP1	tRNA	19328	19519	-	IHBEBF_00120		tRNA-Xxx	
VFOECSP1	cds	19556	20533	+	IHBEBF_00125		hypothetical protein	PFAM:PF00266.22
VFOECSP1	cds	20530	21852	-	IHBEBF_00130		hypothetical protein	PFAM:PF00152.23, PFAM:PF01336.28, PFAM:PF01409.23
VFOECSP1	cds	21833	22474	-	IHBEBF_00135		hypothetical protein	PFAM:PF03462.21
VFOECSP1	cds	22467	23315	-	IHBEBF_00140		hypothetical protein	PFAM:PF00701.25, PFAM:PF04218.16
VFOECSP1	cds	23461	24240	+	IHBEBF_00145		hypothetical protein	
VFOECSP1	tRNA	25361	25443	+	IHBEBF_00150	trnS	(pseudo) tRNA-Ser(gct)	SO:0000269
VFOECSP1	cds	27801	27938	-	IHBEBF_00155		hypothetical protein	
VFOECSP1	cds	27901	28092	-	IHBEBF_00160		hypothetical protein	
VFOECSP1	cds	28097	30334	+	IHBEBF_00165		hypothetical protein	PFAM:PF01717.21, PFAM:PF08267.15
VFOECSP1	cds	30441	31145	+	IHBEBF_00170		hypothetical protein	
VFOECSP1	cds	31142	32275	+	IHBEBF_00175		hypothetical protein	PFAM:PF01053.23
VFOECSP1	cds	32262	32951	-	IHBEBF_00180		hypothetical protein	PFAM:PF03462.21
VFOECSP1	cds	32939	33700	-	IHBEBF_00185		hypothetical protein	PFAM:PF00218.24
VFOECSP1	cds	33666	34586	-	IHBEBF_00190		hypothetical protein	
VFOECSP1	cds	34579	35151	-	IHBEBF_00195		hypothetical protein	PFAM:PF00117.31, PFAM:PF07722.16
VFOECSP1	cds	35148	36392	-	IHBEBF_00200		hypothetical protein	
VFOECSP1	cds	36389	37771	-	IHBEBF_00205		hypothetical protein	PFAM:PF00206.23, PFAM:PF14698.9
VFOECSP1	cds	37973	39139	-	IHBEBF_00210		hypothetical protein	PFAM:PF00749.24
VFOECSP1	cds	39126	40064	-	IHBEBF_00215		hypothetical protein	
VFOECSP1	cds	40064	41011	-	IHBEBF_00220		hypothetical protein	
VFOECSP1	cds	41073	42245	+	IHBEBF_00225		hypothetical protein	PFAM:PF08275.14, PFAM:PF13662.9
VFOECSP1	tRNA	43490	43694	+	IHBEBF_00230		tRNA-Xxx	
VFOECSP1	tRNA	46615	46687	+	IHBEBF_00235	trnL	tRNA-Leu(aag)	SO:0000264
VFOECSP1	tRNA	46688	46761	+	IHBEBF_00240	trnL	tRNA-Leu(tag)	SO:0000264
VFOECSP1	tRNA	46763	46846	+	IHBEBF_00245	trnS	tRNA-Ser(aga)	SO:0000269
VFOECSP1	cds	46848	47654	+	IHBEBF_00250		hypothetical protein	PFAM:PF02219.20
VFOECSP1	cds	47657	48706	+	IHBEBF_00255		hypothetical protein	PFAM:PF01118.27, PFAM:PF02774.21
VFOECSP1	cds	48696	49310	+	IHBEBF_00260		hypothetical protein	PFAM:PF00697.25
VFOECSP1	cds	49288	50436	+	IHBEBF_00265		hypothetical protein	
VFOECSP1	cds	50436	51140	+	IHBEBF_00270		hypothetical protein	PFAM:PF00290.23
VFOECSP1	cds	51133	51369	+	IHBEBF_00275		hypothetical protein	
VFOECSP1	tRNA	51530	51602	-	IHBEBF_00280	trnN	tRNA-Asn(gtt)	SO:0000257
VFOECSP1	cds	51605	51757	+	IHBEBF_00285		hypothetical protein	
VFOECSP1	cds	51871	52413	-	IHBEBF_00290		hypothetical protein	
VFOECSP1	cds	52489	53544	+	IHBEBF_00295		hypothetical protein	PFAM:PF00117.31, PFAM:PF00988.25
VFOECSP1	cds	53534	56662	+	IHBEBF_00300		hypothetical protein	PFAM:PF02786.20, PFAM:PF02787.22, PFAM:PF15632.9
VFOECSP1	cds	56659	57213	+	IHBEBF_00305		ATP-dependent Clp protease proteolytic subunit 1	SO:0001217, UniRef:UniRef50_Q1DAT0
VFOECSP1	tRNA	58394	58465	+	IHBEBF_00310	trnV	tRNA-Val(tac)	SO:0000273
VFOECSP1	cds	58468	58866	+	IHBEBF_00315		hypothetical protein	
VFOECSP1	tRNA	59923	60007	-	IHBEBF_00320	trnS	tRNA-Ser(tga)	SO:0000269
VFOECSP1	tRNA	60103	60173	+	IHBEBF_00325	trnR	tRNA-Arg(acg)	SO:0001036
VFOECSP1	cds	60178	60762	+	IHBEBF_00330		hypothetical protein	
VFOECSP1	cds	60749	61966	+	IHBEBF_00335		Histidinol dehydrogenase	SO:0001217, UniRef:UniRef50_A0A346E0H7
VFOECSP1	cds	61963	63003	+	IHBEBF_00340		hypothetical protein	PFAM:PF00155.24
VFOECSP1	cds	62942	63505	+	IHBEBF_00345		hypothetical protein	
VFOECSP1	cds	63502	64101	+	IHBEBF_00350		hypothetical protein	PFAM:PF00117.31
VFOECSP1	cds	64098	64817	+	IHBEBF_00355		hypothetical protein	
VFOECSP1	cds	64810	65544	+	IHBEBF_00360		hypothetical protein	
VFOECSP1	cds	65541	65831	+	IHBEBF_00365		Phosphoribosyl-AMP cyclohydrolase	SO:0001217, UniRef:UniRef50_A0A2N3G4Y9
VFOECSP1	tRNA	66091	66161	+	IHBEBF_00370	trnT	tRNA-Thr(tgt)	SO:0000270
VFOECSP1	tRNA	66162	66234	+	IHBEBF_00375	trnH	(pseudo) tRNA-His(gtg)	SO:0000262
VFOECSP1	tRNA	67079	67151	-	IHBEBF_00380	trnK	tRNA-Lys(ttt)	SO:0000265
VFOECSP1	cds	67455	67544	-	IHBEBF_00385		hypothetical protein	
VFOECSP1	cds	67489	67809	-	IHBEBF_00390		hypothetical protein	
VFOECSP1	cds	67881	68891	-	IHBEBF_00395		Chorismate synthase	SO:0001217, UniRef:UniRef50_Q83D67
VFOECSP1	tRNA	68897	68967	-	IHBEBF_00400	trnR	(pseudo) tRNA-Arg(tct)	SO:0001036
VFOECSP1	tRNA	68978	69049	-	IHBEBF_00405	trnfM	tRNA-fMet(cat)	SO:0000266
VFOECSP1	tRNA	69081	69153	+	IHBEBF_00410	trnP	tRNA-Pro(tgg)	SO:0000268
VFOECSP1	cds	69154	69426	+	IHBEBF_00415		hypothetical protein	
