locus_tag	ftype	length_bp	gene	EC_number	COG	product
VFKELRIB_00001	CDS	1203	tufA		COG0050	Elongation factor Tu
VFKELRIB_00002	CDS	393	rplK		COG0080	50S ribosomal protein L11
VFKELRIB_00003	CDS	558				hypothetical protein
VFKELRIB_00004	CDS	441				hypothetical protein
VFKELRIB_00005	CDS	360				hypothetical protein
VFKELRIB_00006	CDS	3372	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
VFKELRIB_00007	CDS	3771	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
VFKELRIB_00008	CDS	363	rpsL		COG0048	30S ribosomal protein S12
VFKELRIB_00009	CDS	465	rpsG		COG0049	30S ribosomal protein S7
VFKELRIB_00010	CDS	2064	fusA		COG0480	Elongation factor G
VFKELRIB_00011	CDS	300				hypothetical protein
VFKELRIB_00012	CDS	441	def1	3.5.1.88	COG0242	Peptide deformylase 1
VFKELRIB_00013	CDS	456				hypothetical protein
VFKELRIB_00014	CDS	378	rpsI		COG0103	30S ribosomal protein S9
VFKELRIB_00015	CDS	288				hypothetical protein
VFKELRIB_00016	CDS	786	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
VFKELRIB_00017	CDS	618				hypothetical protein
VFKELRIB_00018	CDS	1335	infB			Translation initiation factor IF-2
VFKELRIB_00019	CDS	102				hypothetical protein
VFKELRIB_00020	CDS	828	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
VFKELRIB_00021	CDS	519				hypothetical protein
VFKELRIB_00022	CDS	507	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
VFKELRIB_00023	CDS	732	prfA_1		COG0216	Peptide chain release factor 1
VFKELRIB_00024	CDS	867	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
VFKELRIB_00025	CDS	156				hypothetical protein
VFKELRIB_00026	CDS	1173	lysC	2.7.2.4	COG0527	Aspartokinase
VFKELRIB_00027	CDS	231				hypothetical protein
VFKELRIB_00028	CDS	195				hypothetical protein
VFKELRIB_00029	CDS	2202	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
VFKELRIB_00030	CDS	747				hypothetical protein
VFKELRIB_00031	CDS	1128	metC	4.4.1.13	COG0626	Cystathionine beta-lyase
VFKELRIB_00032	CDS	705	prfA_2		COG0216	Peptide chain release factor 1
VFKELRIB_00033	CDS	696	trpC			Indole-3-glycerol phosphate synthase
VFKELRIB_00034	CDS	861	trpD	2.4.2.18		Anthranilate phosphoribosyltransferase
VFKELRIB_00035	CDS	567	pabA	2.6.1.85	COG0512	Aminodeoxychorismate synthase component 2
VFKELRIB_00036	CDS	1212	menF	5.4.4.2		Isochorismate synthase MenF
VFKELRIB_00037	CDS	1380	argH	4.3.2.1	COG0165	Argininosuccinate lyase
VFKELRIB_00038	CDS	864	thrB	2.7.1.39		Homoserine kinase
VFKELRIB_00039	CDS	1164	rpoD			RNA polymerase sigma factor RpoD
VFKELRIB_00040	CDS	2760	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
VFKELRIB_00041	CDS	720				hypothetical protein
VFKELRIB_00042	CDS	969	asd1	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 1
VFKELRIB_00043	CDS	615	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
VFKELRIB_00044	CDS	1140	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
VFKELRIB_00045	CDS	591				hypothetical protein
VFKELRIB_00046	CDS	222				hypothetical protein
VFKELRIB_00047	CDS	183				hypothetical protein
VFKELRIB_00048	CDS	687				hypothetical protein
VFKELRIB_00049	CDS	513	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
VFKELRIB_00050	CDS	1041	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
VFKELRIB_00051	CDS	3105	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
VFKELRIB_00052	CDS	504	rlmE	2.1.1.166		Ribosomal RNA large subunit methyltransferase E
VFKELRIB_00053	CDS	519	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
VFKELRIB_00054	CDS	1137	clpX			ATP-dependent Clp protease ATP-binding subunit ClpX
VFKELRIB_00055	CDS	513				hypothetical protein
