#Annotated with Bakta v1.5.0, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1222	1605	+	VFMEEALB1_00010	14.6	10.3		
contig_1	1598	2029	+	VFMEEALB1_00015	17.6	10.2		
contig_1	2010	2354	+	VFMEEALB1_00020	13.5	10.1	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
contig_1	2347	6132	+	VFMEEALB1_00025	149.6	10.0	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
contig_1	6129	9728	+	VFMEEALB1_00030	139.8	10.1	PF00623.23|RNA_pol_Rpb1_2, PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5, PF05000.20|RNA_pol_Rpb1_4	PFAM:PF00623.23, PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20, PFAM:PF05000.20
contig_1	9716	10096	+	VFMEEALB1_00035	14.0	10.4		
contig_1	10077	10547	+	VFMEEALB1_00040	18.5	10.3	PF00177.24|Ribosomal_S7	PFAM:PF00177.24
contig_1	12583	12870	+	VFMEEALB1_00050	11.7	9.9	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
contig_1	12867	12971	+	VFMEEALB1_00055	4.2	10.0		
contig_1	13661	14149	-	VFMEEALB1_00065	19.3	10.3	PF00398.23|RrnaAD	PFAM:PF00398.23
contig_1	14139	15119	-	VFMEEALB1_00070	39.1	10.3		
contig_1	15505	15768	-	VFMEEALB1_00080	10.5	10.6		
contig_1	15765	16490	-	VFMEEALB1_00085	28.6	10.0		
contig_1	16487	17032	-	VFMEEALB1_00090	21.5	10.2		
contig_1	17032	17364	-	VFMEEALB1_00095	13.4	10.2	PF00436.28|SSB	PFAM:PF00436.28
contig_1	18289	18735	+	VFMEEALB1_00105	18.4	10.1		
contig_1	18712	19290	-	VFMEEALB1_00110	22.4	10.2	PF05175.17|MTS	PFAM:PF05175.17
contig_1	19485	20456	+	VFMEEALB1_00115	38.2	10.1	PF00266.22|Aminotran_5	PFAM:PF00266.22
contig_1	20453	21775	-	VFMEEALB1_00120	52.9	10.1	PF00152.23|tRNA-synt_2, PF01336.28|tRNA_anti-codon	PFAM:PF00152.23, PFAM:PF01336.28
contig_1	21772	22410	-	VFMEEALB1_00125	25.0	10.3	PF03462.21|PCRF	PFAM:PF03462.21
contig_1	22398	23126	-	VFMEEALB1_00130	28.8	10.1	PF00218.24|IGPS	PFAM:PF00218.24
contig_1	23101	24048	-	VFMEEALB1_00135	37.7	10.3		
contig_1	24033	24611	-	VFMEEALB1_00140	22.6	10.0	PF00117.31|GATase, PF07722.16|Peptidase_C26	PFAM:PF00117.31, PFAM:PF07722.16
contig_1	24592	25833	-	VFMEEALB1_00145	49.9	10.1		
contig_1	25815	27185	-	VFMEEALB1_00150	53.5	9.9	PF00206.23|Lyase_1, PF14698.9|ASL_C2	PFAM:PF00206.23, PFAM:PF14698.9
contig_1	27337	28587	-	VFMEEALB1_00155	50.9	10.2	PF00749.24|tRNA-synt_1c	PFAM:PF00749.24
contig_1	28584	29489	-	VFMEEALB1_00160	36.9	10.1		
contig_1	29489	30286	-	VFMEEALB1_00165	31.5	10.1		
contig_1	30408	31340	+	VFMEEALB1_00170	37.8	10.0	PF08275.14|Toprim_N, PF13662.9|Toprim_4	PFAM:PF08275.14, PFAM:PF13662.9
contig_1	35833	36630	+	VFMEEALB1_00190	32.4	10.0	PF02219.20|MTHFR	PFAM:PF02219.20
contig_1	36623	37624	+	VFMEEALB1_00195	39.2	10.0	PF02774.21|Semialdhyde_dhC	PFAM:PF02774.21
contig_1	37617	38183	+	VFMEEALB1_00200	22.8	9.9	PF00697.25|PRAI	PFAM:PF00697.25
contig_1	39273	39920	+	VFMEEALB1_00210	26.0	10.0		
contig_1	39907	40140	+	VFMEEALB1_00215	9.4	10.6		
contig_1	41444	42301	+	VFMEEALB1_00230	33.5	10.1	PF00117.31|GATase, PF00988.25|CPSase_sm_chain	PFAM:PF00117.31, PFAM:PF00988.25
contig_1	42298	45393	+	VFMEEALB1_00235	119.5	9.7	PF02786.20|CPSase_L_D2, PF02786.20|CPSase_L_D2, PF02787.22|CPSase_L_D3	PFAM:PF02786.20, PFAM:PF02786.20, PFAM:PF02787.22
contig_1	47538	48623	+	VFMEEALB1_00250	43.7	9.8	PF00004.32|AAA, PF13177.9|DNA_pol3_delta2	PFAM:PF00004.32, PFAM:PF13177.9
contig_1	50624	51640	+	VFMEEALB1_00270	40.5	10.1	PF00155.24|Aminotran_1_2	PFAM:PF00155.24
contig_1	52720	53442	+	VFMEEALB1_00285	27.8	10.4		
contig_1	54181	54471	+	VFMEEALB1_00295	11.4	9.3		
contig_1	56088	56516	-	VFMEEALB1_00310	17.3	10.5		
contig_1	57838	58131	+	VFMEEALB1_00330	11.9	10.1		
contig_1	58099	58554	-	VFMEEALB1_00335	18.5	10.2		
contig_1	58554	58997	-	VFMEEALB1_00340	17.7	10.1		
contig_1	58994	59488	-	VFMEEALB1_00345	19.9	10.2		
contig_1	59508	60560	+	VFMEEALB1_00350	42.0	10.0	PF00155.24|Aminotran_1_2	PFAM:PF00155.24
contig_1	60544	61338	+	VFMEEALB1_00355	30.6	10.1	PF14602.9|Hexapep_2, PF14805.9|THDPS_N_2	PFAM:PF14602.9, PFAM:PF14805.9
contig_1	61332	62378	+	VFMEEALB1_00360	41.7	10.2		
contig_1	62364	62546	-	VFMEEALB1_00365	7.3	9.7		
contig_1	62527	63810	-	VFMEEALB1_00370	51.0	10.0		
contig_1	63810	65066	-	VFMEEALB1_00375	49.2	9.9	PF00772.24|DnaB, PF03796.18|DnaB_C, PF06745.16|ATPase	PFAM:PF00772.24, PFAM:PF03796.18, PFAM:PF06745.16
contig_1	65066	65494	-	VFMEEALB1_00380	17.2	10.3		
contig_1	65770	66675	-	VFMEEALB1_00390	37.5	10.0	PF00749.24|tRNA-synt_1c	PFAM:PF00749.24
contig_1	66760	68028	+	VFMEEALB1_00395	49.7	10.1	PF02421.21|FeoB_N	PFAM:PF02421.21
contig_1	68025	69698	+	VFMEEALB1_00400	64.1	9.9	PF07992.17|Pyr_redox_2, PF13932.9|GIDA_C, PF13932.9|GIDA_C	PFAM:PF07992.17, PFAM:PF13932.9, PFAM:PF13932.9
contig_1	69716	69994	+	VFMEEALB1_00405	11.2	10.2	PF00166.24|Cpn10	PFAM:PF00166.24
contig_1	69991	71547	+	VFMEEALB1_00410	58.6	9.9		
contig_1	71544	72818	+	VFMEEALB1_00415	50.3	10.1		
contig_1	72794	73918	+	VFMEEALB1_00420	43.9	10.3	PF00575.26|S1	PFAM:PF00575.26
contig_1	73915	74946	-	VFMEEALB1_00425	42.2	9.9		
contig_1	75043	75597	+	VFMEEALB1_00430	22.4	10.1		
contig_1	75590	76558	-	VFMEEALB1_00435	37.2	9.4	PF00226.34|DnaJ, PF00684.22|DnaJ_CXXCXGXG, PF01556.21|DnaJ_C	PFAM:PF00226.34, PFAM:PF00684.22, PFAM:PF01556.21
contig_1	78355	78849	-	VFMEEALB1_00445	19.6	10.3		
contig_1	78850	79833	+	VFMEEALB1_00450	38.0	10.1	PF00793.23|DAHP_synth_1	PFAM:PF00793.23
contig_1	79816	80781	-	VFMEEALB1_00455	38.4	9.9	PF03054.19|tRNA_Me_trans	PFAM:PF03054.19
contig_1	80760	81368	-	VFMEEALB1_00460	25.0	10.0		
contig_1	81346	83349	-	VFMEEALB1_00465	81.0	10.0		
contig_1	83346	83966	-	VFMEEALB1_00470	25.0	10.2	PF01113.23|DapB_N, PF05173.17|DapB_C	PFAM:PF01113.23, PFAM:PF05173.17
contig_1	83944	84552	-	VFMEEALB1_00475	23.7	10.2		
contig_1	85292	85609	-	VFMEEALB1_00490	12.9	10.4		
contig_1	85593	86270	-	VFMEEALB1_00495	27.8	10.2		
contig_1	92035	92625	+	VFMEEALB1_00520	22.5	10.2		
contig_1	92615	93172	+	VFMEEALB1_00525	22.1	10.7		
contig_1	93169	93381	+	VFMEEALB1_00530	8.6	10.4		
contig_1	94390	94728	+	VFMEEALB1_00545	13.3	10.4	PF00237.22|Ribosomal_L22	PFAM:PF00237.22
contig_1	94706	95317	+	VFMEEALB1_00550	24.1	10.1	PF00189.23|Ribosomal_S3_C, PF07650.20|KH_2	PFAM:PF00189.23, PFAM:PF07650.20
contig_1	95699	95938	+	VFMEEALB1_00560	9.7	10.5	PF00366.23|Ribosomal_S17	PFAM:PF00366.23
contig_1	96269	96820	+	VFMEEALB1_00570	21.8	10.0	PF00281.22|Ribosomal_L5, PF00673.24|Ribosomal_L5_C	PFAM:PF00281.22, PFAM:PF00673.24
contig_1	96813	97094	+	VFMEEALB1_00575	11.1	11.8		
contig_1	97094	97444	+	VFMEEALB1_00580	13.7	10.2	PF00410.22|Ribosomal_S8	PFAM:PF00410.22
contig_1	97434	97961	+	VFMEEALB1_00585	20.7	10.1		
contig_1	97948	98241	+	VFMEEALB1_00590	11.6	10.1		
contig_1	98234	98638	+	VFMEEALB1_00595	15.7	10.8	PF00333.23|Ribosomal_S5, PF03719.18|Ribosomal_S5_C	PFAM:PF00333.23, PFAM:PF03719.18
contig_1	98625	98900	+	VFMEEALB1_00600	10.8	11.0		
contig_1	99166	99534	+	VFMEEALB1_00615	14.8	10.2		
contig_1	99871	100386	+	VFMEEALB1_00625	20.9	10.4	PF01479.28|S4	PFAM:PF01479.28
contig_1	100383	100934	+	VFMEEALB1_00630	22.1	10.3		
contig_1	100931	101179	+	VFMEEALB1_00635	10.0	10.8		
contig_1	101168	102274	-	VFMEEALB1_00640	43.1	10.1	PF00278.25|Orn_DAP_Arg_deC, PF02784.19|Orn_Arg_deC_N	PFAM:PF00278.25, PFAM:PF02784.19
contig_1	102375	102740	+	VFMEEALB1_00645	15.0	10.0		
