gene_callers_id	source	accession	function	e_value
1	Prokka:Prodigal	tufA	Elongation factor Tu	0
2	Prokka:Prodigal			0
3	Prokka:Prodigal			0
4	Prokka:Prodigal			0
5	Prokka:Prodigal			0
6	Prokka:Prodigal	rpoB	DNA-directed RNA polymerase subunit beta	0
7	Prokka:Prodigal	rpoC	DNA-directed RNA polymerase subunit beta'	0
8	Prokka:Prodigal	rpsL	30S ribosomal protein S12	0
9	Prokka:Prodigal	rpsG	30S ribosomal protein S7	0
10	Prokka:Prodigal	fusA	Elongation factor G	0
11	Prokka:Prodigal	rpsJ	30S ribosomal protein S10	0
12	Prokka:Prodigal	def	Peptide deformylase	0
13	Prokka:Prodigal			0
14	Prokka:Prodigal	rsmA	Ribosomal RNA small subunit methyltransferase A	0
15	Prokka:Prodigal	rpsI	30S ribosomal protein S9	0
16	Prokka:Prodigal			0
17	Prokka:Prodigal			0
18	Prokka:Prodigal			0
19	Prokka:Prodigal			0
20	Prokka:Prodigal	prfA	Peptide chain release factor 1	0
21	Prokka:Prodigal	rpoS	RNA polymerase sigma factor RpoS	0
22	Prokka:Prodigal	dnaE	DNA polymerase III subunit alpha	0
23	Prokka:Prodigal			0
24	Prokka:Prodigal	metF	5,10-methylenetetrahydrofolate reductase	0
25	Prokka:Prodigal			0
26	Prokka:Prodigal			0
27	Prokka:Prodigal	dnaQ	DNA polymerase III subunit epsilon	0
28	Prokka:Prodigal	infC	Translation initiation factor IF-3	0
29	Prokka:Prodigal	aroC	Chorismate synthase	0
30	Prokka:Aragorn		tRNA-Arg(tct)	0
31	Prokka:Aragorn		tRNA-Met(cat)	0
32	Prokka:Prodigal			0
33	Prokka:Prodigal			0
34	Prokka:Prodigal			0
35	Prokka:Aragorn		tRNA-Asp(gtc)	0
36	Prokka:Aragorn		tRNA-Glu(ttc)	0
37	Prokka:Prodigal	aroA	3-phosphoshikimate 1-carboxyvinyltransferase	0
38	Prokka:Prodigal			0
39	Prokka:Prodigal			0
40	Prokka:Prodigal	dnaJ	Chaperone protein DnaJ	0
41	Prokka:Prodigal	dnaK	Chaperone protein DnaK	0
42	Prokka:Prodigal	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	0
43	Prokka:Prodigal			0
44	Prokka:Prodigal			0
45	Prokka:Prodigal	aroQ	3-dehydroquinate dehydratase	0
46	Prokka:Prodigal	rpmA	50S ribosomal protein L27	0
47	Prokka:barrnap		23S ribosomal RNA	0
48	Prokka:Aragorn		tRNA-Ile(gat)	0
49	Prokka:barrnap		16S ribosomal RNA	0
50	Prokka:Prodigal			0
51	Prokka:Prodigal			0
52	Prokka:Prodigal			0
53	Prokka:Prodigal	rplB	50S ribosomal protein L2	0
54	Prokka:Prodigal	rpsS	30S ribosomal protein S19	0
55	Prokka:Prodigal			0
56	Prokka:Prodigal	rpsC	30S ribosomal protein S3	0
57	Prokka:Prodigal	rplP	50S ribosomal protein L16	0
58	Prokka:Prodigal			0
59	Prokka:Prodigal	rplN	50S ribosomal protein L14	0
60	Prokka:Prodigal	rplE	50S ribosomal protein L5	0
61	Prokka:Prodigal			0
62	Prokka:Prodigal			0
63	Prokka:Prodigal	rplF	50S ribosomal protein L6	0
64	Prokka:Prodigal			0
65	Prokka:Prodigal	rpsE	30S ribosomal protein S5	0
66	Prokka:Prodigal			0
67	Prokka:Prodigal	infA	Translation initiation factor IF-1	0
68	Prokka:Prodigal	rpsM	30S ribosomal protein S13	0
69	Prokka:Prodigal	rpsK	30S ribosomal protein S11	0
70	Prokka:Prodigal			0
71	Prokka:Prodigal	rpoA	DNA-directed RNA polymerase subunit alpha	0
72	Prokka:Prodigal	aroK	Shikimate kinase	0
