#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
VFMYCCUN	1249	1665	+	BBKEKH_00010	16.0	10.2	PF00298.22|Ribosomal_L11, PF03946.17|Ribosomal_L11_N	PFAM:PF00298.22, PFAM:PF03946.17
VFMYCCUN	1646	2230	+	BBKEKH_00015	23.5	10.1		
VFMYCCUN	2227	2643	+	BBKEKH_00020	17.1	10.0		
VFMYCCUN	2621	2953	+	BBKEKH_00025	12.7	9.8	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
VFMYCCUN	2950	6576	+	BBKEKH_00030	142.2	10.0	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
VFMYCCUN	6552	10409	+	BBKEKH_00035	151.2	10.0	PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5, PF05000.20|RNA_pol_Rpb1_4	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20, PFAM:PF05000.20
VFMYCCUN	10387	10776	+	BBKEKH_00040	14.6	10.6		
VFMYCCUN	10745	11221	+	BBKEKH_00045	19.0	10.2	PF00177.24|Ribosomal_S7	PFAM:PF00177.24
VFMYCCUN	13244	13537	+	BBKEKH_00055	11.7	10.4	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
VFMYCCUN	14010	14420	+	BBKEKH_00065	16.8	10.2		
VFMYCCUN	14369	15073	-	BBKEKH_00070	29.5	10.3	PF00398.23|RrnaAD	PFAM:PF00398.23
VFMYCCUN	15054	16412	-	BBKEKH_00075	54.5	10.3		
VFMYCCUN	16409	16798	-	BBKEKH_00080	15.1	10.5		
VFMYCCUN	16795	17094	-	BBKEKH_00085	11.9	10.5		
VFMYCCUN	17091	17855	-	BBKEKH_00090	30.3	10.2	PF01678.22|DAP_epimerase	PFAM:PF01678.22
VFMYCCUN	17852	18493	-	BBKEKH_00095	25.6	10.0		
VFMYCCUN	19415	19882	+	BBKEKH_00105	19.1	10.5		
