#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
VFKELVIT	1	1194	+	LMPGLB_00005	44.5	8.8	PF00009.30|GTP_EFTU, PF03143.20|GTP_EFTU_D3, PF03144.28|GTP_EFTU_D2	PFAM:PF00009.30, PFAM:PF03143.20, PFAM:PF03144.28
VFKELVIT	1227	1619	+	LMPGLB_00010	14.5	10.2	PF00298.22|Ribosomal_L11, PF03946.17|Ribosomal_L11_N	PFAM:PF00298.22, PFAM:PF03946.17
VFKELVIT	1616	2173	+	LMPGLB_00015	22.0	10.0		
VFKELVIT	2166	2606	+	LMPGLB_00020	17.1	9.8		
VFKELVIT	2584	2943	+	LMPGLB_00025	13.4	7.7	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
VFKELVIT	2940	6314	+	LMPGLB_00030	129.8	9.6	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
VFKELVIT	6311	10081	+	LMPGLB_00035	143.9	9.7	PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20
VFKELVIT	10059	10421	+	LMPGLB_00040	13.6	10.6		
VFKELVIT	10418	10882	+	LMPGLB_00045	18.3	9.9	PF00177.24|Ribosomal_S7	PFAM:PF00177.24
VFKELVIT	12954	13253	+	LMPGLB_00055	12.0	10.3	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
VFKELVIT	13257	13685	+	LMPGLB_00060	16.5	10.2	PF01327.24|Pep_deformylase	PFAM:PF01327.24
VFKELVIT	13722	13865	+	LMPGLB_00065	5.6	11.8		
VFKELVIT	13820	14275	-	LMPGLB_00070	17.8	9.7		
VFKELVIT	14280	14657	-	LMPGLB_00075	14.1	10.8		
VFKELVIT	14644	14928	-	LMPGLB_00080	11.1	11.6		
VFKELVIT	14925	15710	-	LMPGLB_00085	30.2	9.6		
VFKELVIT	15707	16324	-	LMPGLB_00090	23.9	9.5		
VFKELVIT	16330	17667	-	LMPGLB_00095	50.9	9.2	PF00009.30|GTP_EFTU	PFAM:PF00009.30
VFKELVIT	17816	18643	+	LMPGLB_00100	32.3	10.0	PF13793.9|Pribosyltran_N	PFAM:PF13793.9
VFKELVIT	18663	19106	+	LMPGLB_00105	17.6	9.5		
VFKELVIT	19103	19609	-	LMPGLB_00110	19.5	9.6		
VFKELVIT	19667	20398	-	LMPGLB_00115	27.8	9.7	PF03462.21|PCRF	PFAM:PF03462.21
VFKELVIT	20374	21201	-	LMPGLB_00120	31.5	9.5	PF00701.25|DHDPS	PFAM:PF00701.25
VFKELVIT	22056	23189	+	LMPGLB_00125	42.4	9.3		
VFKELVIT	24559	26817	+	LMPGLB_00130	88.1	9.6	PF01717.21|Meth_synt_2, PF08267.15|Meth_synt_1	PFAM:PF01717.21, PFAM:PF08267.15
VFKELVIT	27060	27776	+	LMPGLB_00135	28.1	10.3		
VFKELVIT	27773	28900	+	LMPGLB_00140	44.1	10.0	PF01053.23|Cys_Met_Meta_PP	PFAM:PF01053.23
VFKELVIT	28838	29542	-	LMPGLB_00145	27.3	9.9	PF03462.21|PCRF	PFAM:PF03462.21
VFKELVIT	29635	29895	-	LMPGLB_00150	10.2	10.2		
VFKELVIT	30583	30711	-	LMPGLB_00155	4.8	6.7		
VFKELVIT	30905	30994	+	LMPGLB_00160	3.3	9.3		
VFKELVIT	31078	31254	+	LMPGLB_00165	6.9	9.6		
VFKELVIT	32114	33589	-	LMPGLB_00170	56.9	8.7	PF00206.23|Lyase_1, PF14698.9|ASL_C2	PFAM:PF00206.23, PFAM:PF14698.9
VFKELVIT	33606	33875	-	LMPGLB_00175	10.5	10.4		
VFKELVIT	34482	35645	+	LMPGLB_00180	46.4	10.2	PF04542.17|Sigma70_r2, PF04545.19|Sigma70_r4	PFAM:PF04542.17, PFAM:PF04545.19
VFKELVIT	35875	38661	+	LMPGLB_00185	109.3	9.8	PF07733.15|DNA_pol3_alpha, PF14579.9|HHH_6, PF17657.4|DNA_pol3_finger	PFAM:PF07733.15, PFAM:PF14579.9, PFAM:PF17657.4
VFKELVIT	38645	38788	+	LMPGLB_00190	5.7	11.8		
VFKELVIT	38816	39535	+	LMPGLB_00195	28.3	9.4	PF02219.20|MTHFR	PFAM:PF02219.20
VFKELVIT	39542	40510	+	LMPGLB_00200	37.3	9.6	PF02774.21|Semialdhyde_dhC	PFAM:PF02774.21
VFKELVIT	40622	40915	-	LMPGLB_00205	11.5	9.5		
VFKELVIT	41103	41447	-	LMPGLB_00210	13.3	9.8		
VFKELVIT	42122	42238	+	LMPGLB_00215	4.2	9.2		
VFKELVIT	42297	42536	+	LMPGLB_00220	9.3	11.3		
VFKELVIT	42520	42702	+	LMPGLB_00225	7.2	11.1		
VFKELVIT	42814	43476	+	LMPGLB_00230	25.9	10.4		
VFKELVIT	43491	44003	-	LMPGLB_00235	19.5	9.9	PF13482.9|RNase_H_2, PF16473.8|Rv2179c-like	PFAM:PF13482.9, PFAM:PF16473.8
VFKELVIT	44032	45072	+	LMPGLB_00240	39.8	9.6	PF00117.31|GATase, PF00988.25|CPSase_sm_chain	PFAM:PF00117.31, PFAM:PF00988.25
VFKELVIT	45069	48176	+	LMPGLB_00245	118.0	9.4	PF02786.20|CPSase_L_D2, PF15632.9|ATPgrasp_Ter	PFAM:PF02786.20, PFAM:PF15632.9
VFKELVIT	48163	48609	+	LMPGLB_00250	17.6	9.7		
VFKELVIT	50259	50768	+	LMPGLB_00265	20.2	9.8		
VFKELVIT	50752	51774	+	LMPGLB_00270	40.4	9.5	PF00004.32|AAA, PF13177.9|DNA_pol3_delta2, PF13401.9|AAA_22	PFAM:PF00004.32, PFAM:PF13177.9, PFAM:PF13401.9
VFKELVIT	51771	52340	+	LMPGLB_00275	22.4	9.8		
VFKELVIT	52356	53582	+	LMPGLB_00280	46.5	9.5		
VFKELVIT	53546	54529	+	LMPGLB_00285	38.6	9.6	PF00155.24|Aminotran_1_2	PFAM:PF00155.24
VFKELVIT	54510	55061	+	LMPGLB_00290	21.1	10.1		
VFKELVIT	55063	55647	+	LMPGLB_00295	22.6	9.2	PF00117.31|GATase	PFAM:PF00117.31
VFKELVIT	55605	56327	+	LMPGLB_00300	27.9	9.9		
