#Annotated with Bakta v1.5.0, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1357	1671	+	VFASICLA_00010	11.8	9.9	PF00298.22|Ribosomal_L11	PFAM:PF00298.22
contig_1	1664	2206	+	VFASICLA_00015	21.6	10.0		
contig_1	2208	2654	+	VFASICLA_00020	18.1	10.2		
contig_1	2632	2970	+	VFASICLA_00025	13.1	9.4	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
contig_1	2964	6293	+	VFASICLA_00030	129.2	9.9	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
contig_1	6286	10080	+	VFASICLA_00035	147.2	9.8	PF00623.23|RNA_pol_Rpb1_2, PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5	PFAM:PF00623.23, PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20
contig_1	10034	10411	+	VFASICLA_00040	14.2	10.5		
contig_1	12916	13194	+	VFASICLA_00055	11.2	10.1	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
contig_1	13397	13828	+	VFASICLA_00065	17.0	9.9	PF01327.24|Pep_deformylase	PFAM:PF01327.24
contig_1	14013	14486	-	VFASICLA_00075	18.6	10.1	PF00398.23|RrnaAD	PFAM:PF00398.23
contig_1	14464	15459	-	VFASICLA_00080	39.3	10.3		
contig_1	15836	16120	-	VFASICLA_00090	11.2	10.5		
contig_1	16110	16871	-	VFASICLA_00095	29.8	10.2		
contig_1	16868	17449	-	VFASICLA_00100	23.3	10.1		
contig_1	17449	18738	-	VFASICLA_00105	50.2	9.9	PF00071.25|Ras, PF09439.13|SRPRB	PFAM:PF00071.25, PFAM:PF09439.13
contig_1	19300	19713	+	VFASICLA_00115	16.3	10.2	PF00156.30|Pribosyltran	PFAM:PF00156.30
contig_1	19710	20198	+	VFASICLA_00120	19.6	10.0		
contig_1	20195	20722	-	VFASICLA_00125	20.5	9.8	PF05175.17|MTS, PF13847.9|Methyltransf_31	PFAM:PF05175.17, PFAM:PF13847.9
contig_1	20946	22043	+	VFASICLA_00130	42.7	9.9	PF00266.22|Aminotran_5	PFAM:PF00266.22
contig_1	22032	22781	-	VFASICLA_00135	29.4	10.2	PF03462.21|PCRF	PFAM:PF03462.21
contig_1	22757	23623	-	VFASICLA_00140	33.4	9.9	PF00701.25|DHDPS	PFAM:PF00701.25
contig_1	23626	24543	+	VFASICLA_00145	36.6	10.2		
contig_1	30374	31078	+	VFASICLA_00160	28.6	10.2		
contig_1	32119	32838	-	VFASICLA_00170	28.1	9.9	PF03462.21|PCRF	PFAM:PF03462.21
contig_1	32816	33526	-	VFASICLA_00175	28.4	10.1	PF00218.24|IGPS	PFAM:PF00218.24
contig_1	33484	34368	-	VFASICLA_00180	34.8	10.2		
contig_1	34870	36123	-	VFASICLA_00190	49.9	10.2		
contig_1	38679	39875	-	VFASICLA_00205	48.9	10.2	PF00749.24|tRNA-synt_1c	PFAM:PF00749.24
contig_1	39865	40539	-	VFASICLA_00210	27.2	10.2		
contig_1	40748	41869	+	VFASICLA_00215	45.7	9.9	PF08275.14|Toprim_N, PF13662.9|Toprim_4	PFAM:PF08275.14, PFAM:PF13662.9
contig_1	43180	45996	+	VFASICLA_00225	112.0	10.0	PF07733.15|DNA_pol3_alpha, PF14579.9|HHH_6, PF17657.4|DNA_pol3_finger	PFAM:PF07733.15, PFAM:PF14579.9, PFAM:PF17657.4
contig_1	46999	48039	+	VFASICLA_00240	40.8	10.2	PF02774.21|Semialdhyde_dhC	PFAM:PF02774.21
contig_1	47999	48619	+	VFASICLA_00245	24.2	10.2	PF00697.25|PRAI	PFAM:PF00697.25
contig_1	49726	50433	+	VFASICLA_00255	28.5	10.2	PF00290.23|Trp_syntA	PFAM:PF00290.23
contig_1	50402	50605	+	VFASICLA_00260	7.9	10.5		
contig_1	50898	51488	+	VFASICLA_00270	23.7	10.3		
contig_1	51488	51619	+	VFASICLA_00275	5.3	10.1		
contig_1	52404	53291	+	VFASICLA_00285	35.1	10.2	PF00117.31|GATase, PF00988.25|CPSase_sm_chain	PFAM:PF00117.31, PFAM:PF00988.25
contig_1	56376	56909	+	VFASICLA_00295	21.4	9.9		
contig_1	60414	60989	+	VFASICLA_00325	23.0	10.1		
contig_1	62237	63199	+	VFASICLA_00335	38.9	10.3	PF00155.24|Aminotran_1_2	PFAM:PF00155.24
contig_1	63750	64343	+	VFASICLA_00345	23.2	9.8	PF00117.31|GATase, PF01174.22|SNO	PFAM:PF00117.31, PFAM:PF01174.22
contig_1	64340	65026	+	VFASICLA_00350	26.7	10.2		
contig_1	65706	66002	+	VFASICLA_00360	11.7	9.8		
contig_1	68603	69484	-	VFASICLA_00385	35.2	10.1	PF01409.23|tRNA-synt_2d	PFAM:PF01409.23
contig_1	69794	69934	-	VFASICLA_00395	5.7	10.9		
contig_1	69931	70386	-	VFASICLA_00400	17.7	10.1	PF00707.25|IF3_C, PF05198.19|IF3_N	PFAM:PF00707.25, PFAM:PF05198.19
contig_1	71877	72179	+	VFASICLA_00425	12.2	10.3		
contig_1	72147	72620	-	VFASICLA_00430	19.0	9.8		
contig_1	72617	73096	-	VFASICLA_00435	19.8	10.2		
contig_1	73084	73569	-	VFASICLA_00440	19.9	10.3		
contig_1	74356	75372	+	VFASICLA_00450	39.9	10.2	PF07687.17|M20_dimer	PFAM:PF07687.17
contig_1	75359	76618	-	VFASICLA_00455	50.4	10.0	PF14821.9|Thr_synth_N	PFAM:PF14821.9
contig_1	76615	77733	-	VFASICLA_00460	44.1	10.3	PF00742.22|Homoserine_dh	PFAM:PF00742.22
contig_1	77730	78923	-	VFASICLA_00465	46.8	10.0	PF00772.24|DnaB, PF03796.18|DnaB_C	PFAM:PF00772.24, PFAM:PF03796.18
contig_1	78924	79367	-	VFASICLA_00470	18.1	10.1		
contig_1	80795	81847	-	VFASICLA_00485	43.4	10.2	PF00749.24|tRNA-synt_1c, PF00749.24|tRNA-synt_1c	PFAM:PF00749.24, PFAM:PF00749.24
contig_1	81897	83162	+	VFASICLA_00490	49.9	10.2	PF00071.25|Ras	PFAM:PF00071.25
contig_1	84900	85136	+	VFASICLA_00500	9.3	10.1		
contig_1	85133	86686	+	VFASICLA_00505	57.7	9.8		
contig_1	86704	87966	+	VFASICLA_00510	50.1	10.3		
contig_1	87950	89011	-	VFASICLA_00515	43.7	10.0		
contig_1	89129	89749	+	VFASICLA_00520	24.5	10.1		
contig_1	89730	90710	-	VFASICLA_00525	38.0	9.6	PF00226.34|DnaJ, PF00684.22|DnaJ_CXXCXGXG, PF01556.21|DnaJ_C	PFAM:PF00226.34, PFAM:PF00684.22, PFAM:PF01556.21
