#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
VFTETSUL	1258	1644	+	OMFODB_00010	15.0	10.5	PF00298.22|Ribosomal_L11	PFAM:PF00298.22
VFTETSUL	1634	2278	+	OMFODB_00015	25.7	10.2		
VFTETSUL	2271	2717	+	OMFODB_00020	18.1	10.3		
VFTETSUL	2695	3054	+	OMFODB_00025	13.9	9.3	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
VFTETSUL	3033	7196	+	OMFODB_00030	162.9	9.9	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04561.17|RNA_pol_Rpb2_2, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04561.17, PFAM:PF04565.19
VFTETSUL	7172	11098	+	OMFODB_00035	152.8	9.9	PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20
VFTETSUL	11095	11490	+	OMFODB_00040	14.7	10.5		
VFTETSUL	11459	11932	+	OMFODB_00045	18.5	10.1	PF00177.24|Ribosomal_S7	PFAM:PF00177.24
VFTETSUL	13974	14270	+	OMFODB_00055	11.6	10.5	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
VFTETSUL	14767	15102	+	OMFODB_00065	13.6	9.8		
VFTETSUL	15095	15790	-	OMFODB_00070	28.3	10.4	PF00398.23|RrnaAD	PFAM:PF00398.23
VFTETSUL	15787	16890	-	OMFODB_00075	44.2	10.3		
VFTETSUL	17276	17611	-	OMFODB_00085	13.1	10.5		
VFTETSUL	17598	18401	-	OMFODB_00090	32.0	10.3	PF01678.22|DAP_epimerase	PFAM:PF01678.22
VFTETSUL	18402	19043	-	OMFODB_00095	25.0	10.4		
VFTETSUL	19033	20667	-	OMFODB_00100	64.1	10.2	PF00009.30|GTP_EFTU, PF10662.12|PduV-EutP	PFAM:PF00009.30, PFAM:PF10662.12
VFTETSUL	21648	22151	+	OMFODB_00110	20.2	9.9		
VFTETSUL	22148	22708	-	OMFODB_00115	21.8	10.2	PF05175.17|MTS, PF08241.15|Methyltransf_11, PF13649.9|Methyltransf_25, PF13847.9|Methyltransf_31	PFAM:PF05175.17, PFAM:PF08241.15, PFAM:PF13649.9, PFAM:PF13847.9
VFTETSUL	22794	23930	+	OMFODB_00120	43.8	9.9	PF00266.22|Aminotran_5	PFAM:PF00266.22
VFTETSUL	23922	25220	-	OMFODB_00125	51.9	10.2	PF00152.23|tRNA-synt_2	PFAM:PF00152.23
VFTETSUL	25227	25925	-	OMFODB_00130	27.6	10.2	PF03462.21|PCRF	PFAM:PF03462.21
VFTETSUL	25903	26811	-	OMFODB_00135	35.4	10.2	PF00701.25|DHDPS	PFAM:PF00701.25
VFTETSUL	29230	29370	-	OMFODB_00145	5.5	10.5		
VFTETSUL	29352	29546	-	OMFODB_00150	7.6	11.2		
VFTETSUL	29566	31785	+	OMFODB_00155	88.0	10.0	PF01717.21|Meth_synt_2, PF08267.15|Meth_synt_1	PFAM:PF01717.21, PFAM:PF08267.15
VFTETSUL	31993	32796	+	OMFODB_00160	32.4	10.2		
VFTETSUL	32793	33926	+	OMFODB_00165	43.9	9.7	PF01053.23|Cys_Met_Meta_PP	PFAM:PF01053.23
VFTETSUL	34755	35303	-	OMFODB_00175	21.1	10.2	PF00117.31|GATase	PFAM:PF00117.31
VFTETSUL	35300	36586	-	OMFODB_00180	51.2	10.4		
VFTETSUL	36798	38258	-	OMFODB_00185	58.9	10.1	PF00749.24|tRNA-synt_1c	PFAM:PF00749.24
VFTETSUL	38260	39171	-	OMFODB_00190	36.4	10.4		
VFTETSUL	43806	43976	+	OMFODB_00200	6.8	11.3	PF00312.25|Ribosomal_S15	PFAM:PF00312.25
VFTETSUL	44051	44782	+	OMFODB_00205	30.1	9.8		
VFTETSUL	44779	45819	+	OMFODB_00210	39.7	9.9	PF01118.27|Semialdhyde_dh, PF02774.21|Semialdhyde_dhC	PFAM:PF01118.27, PFAM:PF02774.21
VFTETSUL	46084	46341	+	OMFODB_00215	10.1	10.2		
VFTETSUL	46322	46540	+	OMFODB_00220	8.8	10.1		
VFTETSUL	47298	47921	+	OMFODB_00235	24.1	10.0		
VFTETSUL	49700	50500	+	OMFODB_00250	32.0	9.8	PF13177.9|DNA_pol3_delta2	PFAM:PF13177.9
VFTETSUL	50472	51512	+	OMFODB_00255	41.4	9.9	PF00004.32|AAA, PF05496.15|RuvB_N, PF13177.9|DNA_pol3_delta2	PFAM:PF00004.32, PFAM:PF05496.15, PFAM:PF13177.9
VFTETSUL	51667	52266	+	OMFODB_00265	23.7	9.8		
VFTETSUL	52263	53486	+	OMFODB_00270	47.5	9.9		
VFTETSUL	53473	54438	+	OMFODB_00275	38.6	9.9	PF00155.24|Aminotran_1_2	PFAM:PF00155.24
VFTETSUL	54435	55028	+	OMFODB_00280	23.5	9.4		
VFTETSUL	55025	55621	+	OMFODB_00285	23.2	9.8	PF00117.31|GATase	PFAM:PF00117.31
VFTETSUL	55618	56331	+	OMFODB_00290	27.9	10.2		
VFTETSUL	57064	57357	+	OMFODB_00300	11.5	9.3		
VFTETSUL	57338	57601	+	OMFODB_00305	10.6	9.9		
VFTETSUL	58082	58243	-	OMFODB_00315	6.6	10.9		
VFTETSUL	58224	58682	-	OMFODB_00320	18.1	10.2	PF05198.19|IF3_N	PFAM:PF05198.19
VFTETSUL	59899	60018	+	OMFODB_00330	5.1	10.5		
VFTETSUL	60496	61029	-	OMFODB_00345	21.6	10.0		
VFTETSUL	61026	61982	-	OMFODB_00350	38.9	10.4		
VFTETSUL	62116	63075	+	OMFODB_00355	37.5	10.1	PF00155.24|Aminotran_1_2	PFAM:PF00155.24
VFTETSUL	63835	64956	+	OMFODB_00365	43.5	9.9	PF07687.17|M20_dimer	PFAM:PF07687.17
VFTETSUL	64953	66239	-	OMFODB_00370	51.0	10.2	PF14821.9|Thr_synth_N	PFAM:PF14821.9
VFTETSUL	66236	67411	-	OMFODB_00375	46.0	10.3	PF00742.22|Homoserine_dh, PF03447.19|NAD_binding_3	PFAM:PF00742.22, PFAM:PF03447.19
VFTETSUL	67401	68627	-	OMFODB_00380	48.4	10.4	PF03796.18|DnaB_C, PF08423.14|Rad51, PF13481.9|AAA_25	PFAM:PF03796.18, PFAM:PF08423.14, PFAM:PF13481.9
VFTETSUL	68620	68799	-	OMFODB_00385	7.2	10.3		
VFTETSUL	68796	69101	-	OMFODB_00390	12.3	10.0	PF01250.20|Ribosomal_S6	PFAM:PF01250.20
VFTETSUL	69506	70816	+	OMFODB_00400	50.9	9.9		
VFTETSUL	70816	72669	+	OMFODB_00405	71.1	9.7	PF13932.9|GIDA_C	PFAM:PF13932.9
VFTETSUL	72718	73992	+	OMFODB_00410	51.2	10.1		
VFTETSUL	73989	75194	+	OMFODB_00415	48.5	10.1		
VFTETSUL	75191	76498	-	OMFODB_00420	52.9	10.3	PF02767.19|DNA_pol3_beta_2, PF02768.18|DNA_pol3_beta_3	PFAM:PF02767.19, PFAM:PF02768.18
VFTETSUL	76839	77870	-	OMFODB_00425	40.5	9.6	PF00226.34|DnaJ, PF00684.22|DnaJ_CXXCXGXG, PF01556.21|DnaJ_C	PFAM:PF00226.34, PFAM:PF00684.22, PFAM:PF01556.21
VFTETSUL	79671	80111	-	OMFODB_00435	17.3	10.0		
VFTETSUL	80143	81093	+	OMFODB_00440	36.9	9.7	PF00793.23|DAHP_synth_1	PFAM:PF00793.23
VFTETSUL	81064	82053	-	OMFODB_00445	39.3	10.2	PF03054.19|tRNA_Me_trans	PFAM:PF03054.19
VFTETSUL	82067	82654	-	OMFODB_00450	23.9	10.7		
VFTETSUL	82692	83354	-	OMFODB_00455	26.1	10.2	PF01113.23|DapB_N, PF05173.17|DapB_C	PFAM:PF01113.23, PFAM:PF05173.17
VFTETSUL	83360	84091	-	OMFODB_00460	29.1	10.5	PF08501.14|Shikimate_dh_N	PFAM:PF08501.14
VFTETSUL	84102	84536	+	OMFODB_00465	16.8	9.6	PF01220.22|DHquinase_II	PFAM:PF01220.22
VFTETSUL	84533	84901	-	OMFODB_00470	14.6	10.6		
VFTETSUL	84891	85139	-	OMFODB_00475	9.1	10.8		
VFTETSUL	85118	85444	-	OMFODB_00480	13.2	10.4		
VFTETSUL	85441	86241	-	OMFODB_00485	31.5	10.3		
VFTETSUL	90885	91298	+	OMFODB_00515	15.2	10.9		
VFTETSUL	91288	91887	+	OMFODB_00520	23.9	10.5		
VFTETSUL	91880	92062	+	OMFODB_00525	6.9	10.2		
VFTETSUL	93097	93414	+	OMFODB_00540	12.6	11.0	PF00237.22|Ribosomal_L22	PFAM:PF00237.22
VFTETSUL	93414	94055	+	OMFODB_00545	25.4	10.0	PF00189.23|Ribosomal_S3_C, PF07650.20|KH_2	PFAM:PF00189.23, PFAM:PF07650.20
VFTETSUL	94569	94775	+	OMFODB_00555	7.8	10.3	PF00238.22|Ribosomal_L14	PFAM:PF00238.22
VFTETSUL	94765	95316	+	OMFODB_00560	21.3	10.1	PF00281.22|Ribosomal_L5, PF00673.24|Ribosomal_L5_C	PFAM:PF00281.22, PFAM:PF00673.24
VFTETSUL	95618	95989	+	OMFODB_00570	14.6	10.1	PF00410.22|Ribosomal_S8	PFAM:PF00410.22
VFTETSUL	95982	96515	+	OMFODB_00575	21.0	10.1		
VFTETSUL	96478	96810	+	OMFODB_00580	13.2	10.3		
VFTETSUL	96814	97245	+	OMFODB_00585	16.3	10.5	PF00333.23|Ribosomal_S5, PF03719.18|Ribosomal_S5_C	PFAM:PF00333.23, PFAM:PF03719.18
VFTETSUL	97238	97588	+	OMFODB_00590	13.4	10.5		
VFTETSUL	97790	97903	+	OMFODB_00600	4.4	10.7	PF00444.21|Ribosomal_L36	PFAM:PF00444.21
VFTETSUL	98589	99146	+	OMFODB_00615	22.8	10.3	PF01479.28|S4	PFAM:PF01479.28
VFTETSUL	99109	99759	+	OMFODB_00620	25.3	9.7	PF01000.29|RNA_pol_A_bac, PF01193.27|RNA_pol_L	PFAM:PF01000.29, PFAM:PF01193.27
VFTETSUL	99749	100054	+	OMFODB_00625	12.5	10.7		
VFTETSUL	100044	101192	-	OMFODB_00630	45.0	10.2	PF00278.25|Orn_DAP_Arg_deC, PF02784.19|Orn_Arg_deC_N	PFAM:PF00278.25, PFAM:PF02784.19
VFTETSUL	101194	101625	+	OMFODB_00635	17.2	9.5		
VFTETSUL	101618	102646	+	OMFODB_00640	39.7	10.1	PF01761.23|DHQ_synthase	PFAM:PF01761.23
